,BSU_02790
SRX8138083,0.44226630085460616
SRX8138084,-0.2988532876561969
SRX8138085,-0.14341301319841016
SRX8138086,-0.05318730196534549
SRX8138087,-3.810060143649707e-05
SRX8138088,-0.33313455699785344
ERX4111143,-0.1744804678213998
ERX4111144,-0.08968107551287874
ERX4111145,0.2191707266212033
ERX4111146,0.2057724415617983
ERX4111148,0.048236384290385466
ERX4111149,0.15559929741904988
ERX4111150,0.3754860246835925
ERX4111151,0.17448046782139934
ERX4111152,0.03345061778850012
ERX4111153,0.06166824818282635
ERX4111154,0.3000053390354461
ERX4111156,0.015137290341779241
ERX4111157,0.3686764261531512
ERX4111158,0.20333448889223016
SRX5577041,-0.16724989376259725
SRX5577042,-0.00012609440507116434
SRX5577043,0.07492918279957195
SRX5577044,0.09244680536809646
SRX5577045,-0.5506406463547568
SRX5577046,-0.06554993213668414
SRX5577047,0.0452352409923078
SRX5577048,-0.014831061133045331
SRX5577049,0.6568362102258494
SRX5577050,0.3167679542889141
SRX5577051,1.0010999824500724
SRX5577052,1.2435489412652423
SRX5577053,1.6453154255710274
SRX5577054,0.43770929815641857
SRX5577055,1.956435814462277
SRX5577056,0.6937626313487337
SRX5577057,0.8273195369029569
SRX5577058,0.6643641350687579
SRX5577059,0.4564012547254608
SRX5577060,0.4663509517540003
SRX5577061,2.8377625867370377
SRX5577062,0.6197776249902311
SRX5577063,0.6209247768680415
SRX5577064,1.7626696949737353
SRX5577065,0.6714203194015393
SRX5577066,1.740157922573493
SRX5577067,2.4136895211001823
SRX5577068,1.7384130766859816
SRX533166,0.10033855365177136
SRX533171,-0.10033855365177224
SRX533786,-0.3561523468658043
SRX533787,-0.5068018638163774
SRX533789,-0.07955472757198477
SRX533791,-0.2140889761406788
SRX533792,-0.10812841181555566
SRX533793,-0.16644936837505053
SRX533794,-0.1839321212555252
SRX533795,-0.2255726811457173
SRX4703435,-0.10001368492725904
SRX4703436,0.06481783713425092
SRX4703437,0.035195847793008106
SRX4703438,-0.32341061129741444
SRX4703439,-0.4839030451730326
SRX4703440,-0.644863699086133
SRX6902408,-0.20720270857325174
SRX6902409,-0.03848975020595535
SRX6902410,-0.12180988984290494
SRX6902411,-0.3082764525899253
SRX6902412,-0.4483459349776453
SRX6902413,-0.12921141505569
SRX6902414,0.01909608989150069
SRX6902415,-0.0190960898914998
SRX5278698,0.24736813582422454
SRX5278699,-0.23825947329083694
SRX5278700,-0.0091086625333876
SRX5278701,-0.03431152539282989
SRX5278702,0.1850321007195728
SRX5278703,0.12420332346115436
SRX5278704,-0.5013489785512144
SRX5278705,0.029126136074226764
SRX5278707,-0.4423041979032929
SRX5278708,0.2411578312618428
SRX5278709,0.544226908980197
SRX5278710,0.20035232985265994
SRX5278711,0.7293145007970803
SRX5278713,0.04618166816938318
SRX5278714,0.04556190325315024
SRX5278715,-0.680261816688128
SRX5278716,0.2356637360745899
SRX5278717,-0.35059441859627816
SRX5278718,0.12832299896311028
SRX5278719,0.21657627797532708
SRX5278720,-0.14563119495797494
SRX5278721,-0.16257548316751744
SRX1254783,-0.6935648573381692
SRX1254784,-0.0007951943537292118
SRX1254785,0.31447859968158376
SRX1254786,-0.21558714219260766
SRX1473807,0.14267628146775113
SRX1473808,-0.1639130070223227
SRX1473809,0.021236725554570682
SRX7520944,0.37666659717078455
SRX7520945,0.3818444086314488
SRX7520946,-0.3810507412437048
SRX7520947,-0.3774602645585281
SRX7520948,1.173009733357913
SRX7520949,1.2254234319001438
SRX7520950,1.5229409419679727
SRX7520951,1.5571688858155173
SRX959206,-0.67406110979719
SRX959207,-0.4940024300400281
SRX959208,0.0335772815714841
SRX959209,-0.518295019250671
SRX959210,-0.5806513791163734
SRX959211,-0.5271910512621898
SRX959212,0.31335683079696786
SRX959213,-0.10679044147097948
SRX959214,0.15238704401151534
SRX959215,0.035029880977171864
SRX959216,-0.2117217985345765
SRX959217,-0.18226151578009908
SRX3269802,-0.008877315793710316
SRX3269803,0.008877315793709872
SRX3269804,-1.6294363235715907
SRX3269805,-0.8406032186606711
SRX3269806,-0.7023476546904517
SRX3269807,0.33488791615864955
SRX3269808,0.5852426398853674
SRX3269809,0.3901977515482056
SRX3269810,-0.01875957522309513
SRX3269811,-0.06260309582252876
SRX2529102,0.11981759810816416
SRX2529103,-0.11981759810816328
SRX2529104,0.8748074308852436
SRX2529105,0.6090206163168084
ERX1981712,-0.6534689869767645
ERX1981713,-0.9133411801416136
ERX1981714,-0.7346187332879537
ERX1981715,-0.11473538707220855
ERX1981716,-0.005144221235518387
ERX1981717,0.1198796083077278
ERX2274784,0.0607438954441788
ERX2274785,0.3597966132779695
ERX2274786,-0.039698701248833235
ERX2274787,0.6866301924080744
ERX2274788,0.17949164629290015
ERX2274789,-0.3980759694016691
ERX2274790,-0.311320917689323
ERX2274791,0.6841099835683573
ERX2274792,-0.010414819533377528
ERX2274793,0.054641794069738125
ERX2274794,-0.3548826151556308
ERX2274795,0.19991583154698445
ERX2274796,0.0236681247571342
ERX2274797,-0.34740735665350675
ERX2274798,0.323739231896373
ERX2274799,0.2279980539189341
ERX2274800,-0.8505528722487901
ERX2274801,0.7541289003878644
ERX1819430,-0.6653392746092015
ERX1819431,-0.695298577512117
ERX1819432,-0.4764166426795722
ERX1819433,-0.7015742827741218
ERX1819434,-0.24351565849130985
ERX1819435,0.2279650224818295
ERX1819436,-0.3399458377757556
ERX1819437,0.06141128892132031
ERX1819438,-0.0653502004352493
ERX1819439,0.1929961213603648
ERX1819440,0.0367726614905326
ERX1819441,0.05179215494525824
ERX1819442,0.3088658589265578
ERX1819443,-0.1982472405329752
ERX1819444,0.3446950497187964
ERX1819445,-0.10026370563893704
ERX3440914,-0.23305097264764285
ERX3440915,-0.4022741387582043
ERX3440916,-0.29948627203027023
ERX3440917,0.13610842746148055
ERX3440918,-0.3634558108583432
ERX3440919,-0.6161845771483979
ERX3440920,-0.6353781599778596
ERX3440921,-0.8421387961328279
ERX3440922,-0.8009606393123838
ERX3440923,-0.8556987427996385
ERX3440924,-0.4470468467418707
ERX3440925,0.13316623078131862
ERX3440926,-0.5174409431941447
ERX3440927,-0.4114454364916851
ERX3440928,-1.5827515457271044
ERX3440929,-1.674439800506176
ERX3440930,-1.1830213576727728
ERX3440931,-1.1266685544292994
ERX3440932,-0.9738703240764996
ERX3440933,-1.2902824188490838
ERX3440934,-0.33635012256589913
ERX3440935,-0.5100077748361089
ERX3440936,0.09988474186632512
ERX3440937,-0.5027344426367497
ERX3440938,-0.18172903607459112
ERX3440939,0.11463365561591933
ERX3440940,0.03136858980778001
ERX3440941,-0.2639976252201546
ERX3440942,0.02443079942900184
ERX3440943,0.09234434449208706
SRX5347612,-0.3770448309185364
SRX5347613,-0.04597519832293751
SRX5347614,0.4230200292414743
SRX5347615,-0.3998636854540618
SRX5347616,-0.11188181675325247
SRX5347617,-0.1999361442629568
SRX5347618,-0.18338470245947125
SRX5347619,-0.1910565186836073
SRX5347620,0.1263063208241051
SRX5347621,-0.05652343912635072
SRX5347622,-0.26805812058276546
SRX5347623,0.4130867299600802
SRX8170783,0.4422663914293441
SRX8170784,-0.29885328733691985
SRX8170785,-0.14341310409242336
SRX8170786,-0.5279638339988955
SRX8170787,-0.8956874285041883
SRX8170788,-0.7553218186686381
SRX5177009,0.05872681048584784
SRX5177010,0.04541883688104331
SRX5177011,0.9777151034116596
SRX5177012,0.8744709887338078
SRX7354731,-0.005753662187497621
SRX7354732,0.005753662187497621
SRX7354733,0.5516157532322534
SRX7354734,1.039560737389607
SRX7354735,1.6331176267597067
SRX7354736,1.651315307577118
SRX7354737,1.6962558585381131
SRX7354738,1.82530710851992
SRX2508581,-0.14546290408393325
SRX2508582,-0.1979670116582093
SRX2508583,0.042832386536138856
SRX2508584,-0.02502310385235873
SRX2508585,0.03589178409064786
SRX2508586,-0.2393745059613304
SRX2508587,0.09707330471401132
SRX2508588,0.16817327284644756
SRX2508589,0.10957111999328628
SRX2508590,0.06905497045140452
SRX2508591,0.33826367049344563
SRX2508592,-0.2349613126449728
SRX1736086,0.3110083206224701
SRX1736087,-0.4407493288621831
SRX1736088,0.12974100823971346
SRX1736089,-2.4089020245886155
SRX1736090,-2.4399124261765186
SRX1736091,-2.1589273972830174
SRX1736092,-0.2679465696631631
SRX1736093,-0.3926879465008843
SRX1736094,0.13579375149022388
SRX1736095,-2.2771098384408868
SRX1736096,-2.60465202723462
SRX1736097,-2.2231560242673347
SRX7176371,0.05036846081219526
SRX7176372,-0.08771219865276603
SRX7176373,0.037343737840571656
SRX7176374,-0.07446955486587559
SRX7176375,-0.0964351812065818
SRX7176376,-0.035928467756756184
