k,name,in_iM,gene_weight,regulator,function,category
60,YonO-2,False,0.04711371222351645,YonO,,Prophages
56,SigW,False,0.029276321079147287,SigW,,Stress Response
28,YlxR-1,False,0.02402301330104693,YlxR,,AA/Nucleotide Metabolism
40,ComK/LevR/NusA,False,0.023765827668682998,ComK/LevR/NusA,,Cellular Processes
62,SG_5,False,-0.02151596160953333,,,Single Gene
44,AcoR,False,-0.01793532907987265,AcoR,,Carbon Metabolism
5,Fnr,False,-0.01452535003033992,Fnr,,Misc. Metabolism
42,SigB-3,False,-0.012623599806919114,SigB,,Stress Response
15,CodY,False,-0.011975129001091505,CodY,,AA/Nucleotide Metabolism
6,ybc-operon,False,-0.011705665147655324,,,Prophages
58,Rok,False,-0.011222374076084049,Rok,,Cellular Processes
30,ImmR,False,-0.011220356736494826,ImmR,,Cellular Processes
32,TnrA-2,False,-0.0110295689391016,TnrA,,AA/Nucleotide Metabolism
66,CcpA-2,False,0.010238926065161491,CcpA,,Carbon Metabolism
64,FapR,False,-0.010228391353101222,FapR,,Misc. Metabolism
24,PhoP,False,0.010143799648950458,PhoP,,Misc. Metabolism
49,CcpA-1,False,-0.009470775134752054,CcpA,,Carbon Metabolism
57,SigE,False,0.009445272000441115,SigE,,Lifestyles
14,SigV,False,-0.00933045606106094,SigV,,Stress Response
51,uncharacterized-4,False,-0.009217304874855071,,,Uncharacterized
36,SigK,False,-0.0088737236914392,SigK,,Lifestyles
21,CymR-2,False,-0.008770015853266887,CymR,,Misc. Metabolism
7,YvaF,False,-0.008502457312149157,,,Other
34,YlxR-2,False,-0.008442788285173662,YlxR,,AA/Nucleotide Metabolism
19,carbon metabolism/skin element,False,0.007921205275631841,,,Carbon Metabolism
17,SG_1,False,-0.007692513474341032,,,Single Gene
2,WalR,False,-0.007480185435343659,WalR,,Cellular Processes
48,Fur,False,-0.006967546715753682,Fur,,Homeostasis
16,ManR,False,-0.006823837748020551,ManR,,Carbon Metabolism
71,yxi-operon,False,-0.006708825956782388,,,Other
67,KipR,False,0.006423422241372737,KipR,,Misc. Metabolism
33,SwrA,False,-0.005921174076530786,SwrA,,Lifestyles
52,ykzB-related,False,-0.005912974317843199,,,Lifestyles
10,SigM,False,-0.005671780348645781,SigM,,Stress Response
45,LnrK,False,-0.005403736825713421,LnrK,,Cellular Processes
50,CcpN,False,0.005322028566239759,CcpN,,Cellular Processes
61,early-biofilm,False,-0.0051780059710299356,,,Lifestyles
31,SigD,False,0.004537505313341714,SigD,,Lifestyles
39,Thi-box,False,-0.004358888995004291,Thi-box,,Misc. Metabolism
23,SG_3,False,0.0043017232466434005,,,Single Gene
1,uncharacterized-1,False,0.0042811543960140225,,,Uncharacterized
25,SigB-2,False,0.004240879418104728,SigB,,Stress Response
38,Zur,False,0.004025753715107899,Zur,,Homeostasis
26,YonO-1,False,0.003966235838356164,YonO,,Prophages
4,Rex,False,-0.00373288903906681,Rex,,Misc. Metabolism
0,S-box,False,-0.0036308789170996203,S-box,,AA/Nucleotide Metabolism
43,FruR,False,0.003582061040689616,FruR,,Carbon Metabolism
29,MtlR,False,-0.003478889068259888,MtlR,,Carbon Metabolism
3,uncharacterized-2,False,-0.003388586040172524,,,Uncharacterized
37,SigI,False,-0.0032088372276113048,SigI,,Stress Response
41,SPbeta-2,False,0.0026091019643066913,,,Prophages
8,SPbeta-1,False,-0.0025143940256183977,,,Prophages
53,SG_4,False,0.0025064476481696843,,,Single Gene
63,MntR,False,0.002350157199195455,MntR,,Homeostasis
18,CymR-1,False,-0.0019765539233923693,CymR,,AA/Nucleotide Metabolism
70,uncharacterized-6,False,-0.0018594032357561558,,,Uncharacterized
13,PyrR,False,-0.0018124869881468086,PyrR,,AA/Nucleotide Metabolism
54,G-box,False,-0.0015941175240743255,G-box,,AA/Nucleotide Metabolism
55,ResD,False,0.0015746387891671652,ResD,,Misc. Metabolism
35,ComA,False,0.0010964367599947957,ComA,,Cellular Processes
22,stringent response,False,-0.0009254889971393316,stringent response,,Cellular Processes
27,TnrA-1,False,-0.0007954870142490088,TnrA,,AA/Nucleotide Metabolism
68,uncharacterized-5,False,0.000783995671725341,,,Uncharacterized
46,DegU,False,-0.000736661863852716,DegU,,Other
59,GlpP,False,0.0006862800422745961,GlpP,,Carbon Metabolism
9,uncharacterized-3,False,-0.0006374518324960081,,,Uncharacterized
65,AbrB,False,0.0006192108930166433,AbrB,,Lifestyles
47,Xre/Xpf,False,0.0006116421959403786,Xre/Xpf,,Prophages
12,SigB-1,False,0.0005388273599409013,SigB,,Stress Response
20,SG_2,False,0.00023957459736088232,,,Single Gene
69,putative-cssRS,False,-0.00019734436139582005,,,Lifestyles
11,EAR riboswitch,False,-5.539416803214874e-05,EAR riboswitch,,Lifestyles
