,A,FruR
R2,,0.7246133581864547
xmin,,-5.7128564456625455
xmid,,
xmax,,3.55381599547872
ystart,,-13.433408788912226
yend,,8.271257399114544
amb:ctrl:1,-1.5217636091721372,-0.32508328898185024
amb:ctrl:2,0.6214279247375836,0.07859767851876409
amb:ctrl:3,0.9003356844345377,0.2464856104630861
amb:amb:1,-0.7020208806562077,-0.22148241973518168
amb:amb:2,-0.3879973778365965,-0.18210219551897566
amb:amb:3,-0.04317508520607959,0.1290316790342141
ave1:ctrl_5m:1,-0.10774317724385024,-0.07189855749034191
ave1:vdave1_5m:1,-0.5149357015414301,-0.3989593279378969
ave1:ctrl_20m:1,0.28712716207632605,0.4117352819925788
ave1:vdave1_20m:1,-1.681594188269668,-0.4066255383920905
ave1:supernatant_5m:1,0.28665355380125984,0.14382235471164506
ave1:vnave1_20m:1,-0.8534066864999325,0.021694458109131176
ave1:supernatant_20m:1,-0.5245121346643057,0.3052980766251423
ave1:ctrl_5m:2,0.1077431772438508,0.07189855749034191
ave1:vdave1_5m:2,0.0009068871919632283,-0.015975302284903847
ave1:ctrl_20m:2,0.17920942327318454,0.4308734591066683
ave1:vdave1_20m:2,-1.0803127960622645,-0.2048631810309569
ave1:supernatant_5m:2,-0.7111308952520932,-0.24352446617479906
ave1:vnave1_20m:2,-1.2625608940620479,0.3002208818114198
ave1:supernatant_20m:2,-0.6572900664807181,0.3901115887887219
biofilm_time:8h:1,0.22018696254881687,-0.11207032262298533
biofilm_time:8h:2,-0.03869077335664473,0.07006707548089519
biofilm_time:8h:3,-0.15425696473949213,0.08270609898356351
biofilm_time:8h:4,-0.02723922445267713,-0.04070285184147515
biofilm_time:12h:1,2.0313260979945995,0.16124720579310114
biofilm_time:12h:2,2.2106287039371844,0.6963302841834382
biofilm_time:12h:3,0.93030471098497,0.517671254014628
biofilm_time:12h:4,1.330514389121467,0.5505185048265924
biofilm_time:16h:1,0.763568816893848,0.5755065708622684
biofilm_time:16h:2,2.4283762803527784,0.4334537172183017
biofilm_time:16h:3,0.5580009127047427,0.6552162834194428
biofilm_time:16h:4,0.3162999571518696,0.7945808320391743
biofilm_time:20h:1,-3.5168757799865866,-0.2645988539654027
biofilm_time:20h:2,-2.698839144872266,-0.6445515103316648
biofilm_time:20h:3,-3.5239287814671285,-0.049598135341025966
biofilm_time:20h:4,-3.539585834453112,-0.6476130641101054
biofilm_time:24h:1,-2.630390183286894,-0.3981281937345385
biofilm_time:24h:2,-2.865572817326353,-0.6112458107704724
biofilm_time:24h:3,-3.95005718802172,-1.0490987067271431
biofilm_time:24h:4,-4.1041756144412815,-0.8918094204178262
biofilm_time:28h:1,-3.1878209403666915,0.3730232521115831
biofilm_time:28h:2,-4.4347017126869925,-0.7011801760145246
biofilm_time:28h:3,-3.757304184696812,-0.2800401467460452
biofilm_time:28h:4,-3.916716292161373,-0.20036077105670191
biofilm_time:32h:1,-3.5981046718631133,0.08349874092810873
biofilm_time:32h:2,-4.5327785403515115,0.10340336367242298
biofilm_time:32h:3,-3.67322117918724,0.6580281169286949
biofilm_time:32h:4,-4.109233733227464,0.3920044551642574
codY:wt:1,-0.4703411944146627,-0.28870682908015777
codY:wt:2,0.47034119441466704,0.28870682908015777
codY:ctrl:1,0.294136071972392,0.19036377575732374
codY:ctrl:2,0.3206754712255704,0.08408649011787794
codY:codYR61K:1,-0.32880692585295257,0.12459865967807016
codY:codYR61K:2,0.4657815132636769,0.2763390027952841
codY:codYR61H:1,0.2890607843671653,-0.01853105352355744
codY:codYR61H:2,-0.009846969033070505,0.1878048975609232
codY:codYF71Y:1,0.4358345064245024,0.09942261049373258
codY:codYF71Y:2,0.8396120568533145,0.15174374496454224
decay:wt:1,0.07814875357610282,0.1131470557356522
decay:wt:2,-0.03583756050208112,0.2355445330448527
decay:wt:3,-0.04231119307403062,-0.34869158878050394
decay:delpnpA:1,4.652675315695512,1.6992850364449916
decay:delpnpA:2,5.340084149230564,1.9448368938674718
decay:delpnpA:3,6.119621729146958,2.0640753611974985
ecm_tasA:deltasA:1,3.8231427296767633,1.2309361618959516
ecm_tasA:deltasA:2,1.8174607451496712,0.8058516062968444
ecm_tasA:deltasA:3,2.6426056500193758,1.218309808855242
ecm_tasA:delcssRS:1,-1.3326320116662311,0.0570637045930873
ecm_tasA:delcssRS:2,0.4513300956149965,0.35890593430080475
ecm_tasA:delcssRS:3,-0.2536761611311085,0.32396035117761546
ecm_tasA:wt:1,-0.10293710177806673,-0.2234791278767956
ecm_tasA:wt:2,0.10293710177806843,0.2234791278767956
heatshock:wt_37C:1,-1.2845823652856387,-0.4970765877000476
heatshock:wt_37C:2,0.8232722972070364,0.3728307578664398
heatshock:wt_37C:3,0.4613100680785937,0.12424582983360775
