locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
BSU_39210,0.1474779310179628,yxiF,conserved protein of unknown function,No COG annotation,Op3033,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39210
BSU_39190,0.1412500537379162,yxiG,conserved hypothetical protein,No COG annotation,Op3031,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39190
BSU_39170,0.13322758773303414,yxzG,putative nucleic acid binding protein,No COG annotation,Op3029,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39170
BSU_39180,0.13090333553909214,yxiH,conserved protein of unknown function,No COG annotation,Op3030,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39180
BSU_39200,0.13015175892171044,yxzC,putative nucleic acid binding protein,No COG annotation,Op3032,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39200
BSU_39160,0.127598804281691,yxiI,conserved protein of unknown function,Function unknown,Op3028,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39160
BSU_39140,0.11687571832845314,yxiK,conserved protein of unknown function,No COG annotation,Op3026,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39140
BSU_39150,0.11555224458407765,yxiJ,conserved protein of unknown function,Function unknown,Op3027,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39150
BSU_39139,0.11350357254379186,yxzJ,conserved protein of unknown function,No COG annotation,Op3025,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39139
BSU_39129,0.11127892420871112,yxzI,hypothetical protein,No COG annotation,Op3024,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39129
BSU_39120,0.10703827126778057,yxiM,esterase (lipoprotein),Amino acid transport and metabolism,Op3023,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39120
