,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,AB569_EDTA_NaNO2__EDTA_NaNo2_wt,0.0,0.1015335518060308,2.0,0.0,0.071795063,1.0,-0.071795063,,,,,,,,,,,,
1,AB569_EDTA_NaNO2__NaNO2,-0.255687041,0.3892588436758107,2.0,2.0,0.019560527,3.0,-0.530934609,,,,,,,,,,,,
2,AB569_EDTA_NaNO2__EDTA,-0.10962758833333332,0.3719927146164585,3.0,4.0,0.134224793,5.0,0.074682391,6.0,-0.537789949,,,,,,,,,,
3,AB569_EDTA_NaNO2__NaNO2_EDTA,-0.94300743,0.07202156923816092,2.0,7.0,-0.9939343700000001,8.0,-0.89208049,,,,,,,,,,,,
4,Anthranilate_metabolism_GntR_AntP__GntR_AntP_wt,4.999999997368221e-10,0.04993364855128578,2.0,9.0,0.035308422,10.0,-0.035308421,,,,,,,,,,,,
5,Anthranilate_metabolism_GntR_AntP__antP,0.031381627,0.1208560266620532,2.0,11.0,0.11683974300000001,12.0,-0.054076489000000005,,,,,,,,,,,,
6,Antibiotics_impregnated_catheters__PA01_Planktonic_Ctrl,0.0,0.36801824550929757,2.0,13.0,-0.260228197,14.0,0.260228197,,,,,,,,,,,,
7,Antibiotics_impregnated_catheters__PA01_Biofilm_Ctrl,-0.31217941549999995,0.4190985842612429,4.0,15.0,-0.874062321,16.0,-0.36275154,17.0,0.09678647800000001,18.0,-0.108690279,,,,,,,,
8,Antibiotics_impregnated_catheters__PA01_Planktonic_Clin-Rif,-2.23407858875,0.12850932002119084,4.0,19.0,-2.17545672,20.0,-2.3942171610000003,21.0,-2.27081375,22.0,-2.095826724,,,,,,,,
9,Antibiotics_impregnated_catheters__PA01_Biofilm_Clin-Rif,0.14002394266666665,0.15054350993122573,3.0,23.0,0.245542853,24.0,-0.032371076,25.0,0.206900051,,,,,,,,,,
10,Pseudomonas_culture_Cisplatin_Bile__PAO1_untreated,0.0,0.13365308255340766,2.0,26.0,0.09450700100000001,27.0,-0.09450700100000001,,,,,,,,,,,,
11,Pseudomonas_culture_Cisplatin_Bile__PAO1_cisplatin,-0.7935388955,0.2917333520035609,2.0,28.0,-0.999825527,29.0,-0.5872522640000001,,,,,,,,,,,,
12,Pseudomonas_culture_Cisplatin_Bile__PAO1_bile,-0.10385029400000001,0.027631470267070486,2.0,30.0,-0.12338869400000001,31.0,-0.084311894,,,,,,,,,,,,
13,Catabolite_repression__del_hfq_crc_wt,-4.999999999536625e-10,0.005005434248644617,2.0,32.0,0.0035393760000000003,33.0,-0.0035393770000000002,,,,,,,,,,,,
14,Catabolite_repression__delHfq,-0.026777516500000004,0.10658799279725234,2.0,34.0,0.048591576000000004,35.0,-0.10214660900000001,,,,,,,,,,,,
15,Catabolite_repression__deldcrc,-0.0336524445,0.050166531341242444,2.0,36.0,-0.069125539,37.0,0.00182065,,,,,,,,,,,,
16,Diallyl_disulphide_treatment__PAO1_ctrl_wt,5.782411586589357e-19,0.0885375132773303,3.0,38.0,0.09511644300000001,39.0,-0.080016471,40.0,-0.015099972000000001,,,,,,,,,,
