,PA3236
SRX7442752,-0.046700284
SRX7442753,0.046700284
SRX7442754,2.4315688570000002
SRX7442755,2.780285369
SRX7442756,0.48988480900000003
SRX7442757,1.1444505870000001
SRX7442758,0.785807385
SRX7442759,2.455104454
SRX7442761,2.688820357
SRX7874204,0.106216342
SRX7874205,-0.106216342
SRX7874206,0.486063226
SRX7874207,0.648326827
SRX8639787,0.049882677
SRX8639788,-0.049882677
SRX8639789,-0.28103067
SRX8639790,0.232297634
SRX8639791,0.060379306
SRX8639792,0.257303895
SRX8639793,-3.451986991
SRX8639794,-3.001040454
SRX8639795,-3.228830616
SRX8639796,-3.528765211
SRX8639797,0.20389879800000002
SRX8639798,0.499176463
SRX8639800,0.34001545
SRX1156127,0.21634303200000002
SRX1156135,-0.21634303200000002
SRX1156136,0.137601904
SRX1156137,-0.073768084
SRX1156138,0.222911242
SRX1156140,0.420227287
ERX2195929,0.141121515
ERX2195930,-0.141121515
ERX2195931,0.08164903800000001
ERX2195932,0.192701171
ERX2195933,1.470452066
ERX2195934,1.109862535
SRX4579961,0.36238242600000004
SRX4579962,-0.173177935
SRX4579963,-0.189204492
SRX4579964,-0.319494015
SRX4579965,-0.746972107
SRX4579966,-0.263544746
SRX5630349,-0.050690837
SRX5630350,0.050690837
SRX5630351,-0.012360803
SRX5630352,-0.8859343080000001
SRX1411278,-0.18410984100000002
SRX1411287,0.17231058500000002
SRX1411289,-0.22845921900000002
SRX1411279,0.131202377
SRX1411280,0.052907464
SRX1411281,0.124384009
SRX1411282,0.342928185
SRX1411283,0.094757667
SRX1411284,-0.13776505
SRX1411285,-0.07094950900000001
SRX1411286,-0.20937533900000002
SRX1411288,0.19967309200000002
SRX2711962,-0.052128441000000005
SRX2711963,0.052128441000000005
SRX2711964,0.17462383
SRX2711965,0.23060603100000002
SRX2711966,0.20365881400000002
SRX2711967,-0.13876406300000002
ERX3558798,-0.767406357
ERX3558799,-0.569902146
ERX3558800,-0.487231615
ERX3558801,-0.519487695
ERX3558802,0.068406045
ERX3558803,-0.000534602
ERX3558804,0.028235316000000003
ERX3558805,-0.096106759
ERX3593017,0.5247163450000001
ERX3593018,0.402157452
ERX3593020,0.036369997
ERX3593021,-0.032565158000000004
ERX3593022,-0.003804838
SRX7058492,0.20841495200000001
SRX7058494,0.15576503800000002
SRX7058495,0.302542922
SRX7058509,-0.20841495200000001
SRX2662717,-2.284538926
SRX2662718,-2.452246015
SRX2662721,0.17355925700000002
SRX2662722,-0.17355925700000002
SRX8143226,0.09204493300000001
SRX8143227,-0.09204493300000001
SRX8143228,-0.42564722800000004
SRX8143229,0.033656022
ERX2456848,1.978307526
ERX2456849,2.48591572
ERX2456850,1.1770588339999999
ERX2456851,-2.705196761
ERX2456852,-2.391706181
ERX2456853,-1.8945151550000001
ERX2456854,2.141648708
ERX2456855,3.1435803
ERX2456856,1.9147600740000001
ERX2456857,-2.695537884
ERX2456858,-2.200564428
ERX2456859,-2.3038867720000002
SRX540108,0.331735732
SRX540109,-0.33173573300000003
SRX540110,-0.42301292300000004
SRX540111,-0.21210434600000003
SRX540112,0.679942633
SRX540113,-0.24847046600000003
SRX540114,2.089915223
SRX540115,2.327376611
SRX1737662,-0.9657990860000001
SRX1737664,-0.307819167
SRX1737665,-0.350916624
SRX1737667,-0.10546764400000001
SRX1737668,0.03078499
SRX1737670,0.074682654
SRX1516139,-0.07393732700000001
SRX1516140,0.07393732800000001
SRX1516141,-0.16719742
SRX1516142,0.06899300600000001
SRX591667,-0.14004456
SRX591668,0.0018762820000000002
SRX591669,0.787612808
SRX591670,1.428660461
SRX591671,0.7668563270000001
SRX591675,0.14004456
SRX591676,0.17378580100000002
SRX591677,0.279994277
SRX591678,0.59826305
SRX591679,-0.171657089
SRX2520351,-1.428910356
SRX2520352,-1.134539951
SRX2520353,-0.4047559
SRX2520354,-0.20858224900000003
SRX2520355,0.6732999820000001
SRX2520356,0.92730959
SRX2520357,0.9628407330000001
SRX2520358,-0.077191727
SRX2520359,-0.121642312
SRX2520360,0.087427129
SRX2652927,0.751869432
SRX2652931,0.542387375
SRX2652933,0.332496031
SRX2652935,-0.359688084
SRX2652937,0.027192052
SRX2940624,0.16720553400000002
SRX2940626,-1.4068526399999999
SRX2940627,0.038961909
SRX2940628,-0.119317532
SRX2940629,0.080355624
SRX3763712,-0.174658095
SRX3763714,0.174658095
SRX3763715,0.368912599
SRX3763716,0.252034296
SRX3763717,0.43608852800000003
ERX2259197,-0.79007681
ERX2259198,-1.994289577
ERX2259199,0.185050832
ERX2259200,-0.185050832
SRX6976948,-0.077389838
SRX6976949,0.08691702100000001
SRX6976950,-0.009527182
SRX6976951,-0.0018086250000000001
SRX6976952,0.24585957
SRX6976953,0.27769443600000004
SRX4342817,0.6046893440000001
SRX4342818,0.052439374000000004
SRX4342819,1.802366095
SRX4342820,-0.31669678100000004
SRX4342821,-0.34043193800000005
SRX4342822,1.989625824
ERX2300159,0.603210044
ERX2300160,-0.603210044
ERX2300161,0.7321112310000001
ERX2300162,-0.434550282
ERX2300163,2.846782235
ERX2300164,3.153823315
ERX2300165,-0.4457616
ERX2300166,-0.7460067420000001
ERX2300167,0.169258283
ERX2300168,0.349158499
ERX2300169,-0.8231484370000001
ERX2300170,-0.409229567
ERX2068556,-1.008825338
ERX2068557,-0.46709031300000003
ERX2068558,0.20098522100000002
ERX2068559,1.480624925
ERX2068560,-0.7762655940000001
ERX2068561,-0.704359331
SRX6747256,-0.066223709
SRX6747257,0.037106994000000004
SRX6747258,0.391361442
SRX6747259,0.049589957000000004
SRX6747260,-0.411834684
SRX6747265,-0.555441959
SRX6747266,-0.060118912000000004
SRX6747268,0.483865411
SRX6747269,0.23093464200000002
SRX6747953,0.162560807
SRX6747954,-0.053710111000000005
SRX6747955,-0.10885069700000001
SRX6747957,0.19747550400000002
SRX6747958,0.44963382500000004
SRX7747527,-0.8624148840000001
SRX7747528,-0.9218499330000001
SRX7747537,-0.56282235
SRX7747538,-0.011351652
SRX7747540,0.011351652
ERX2813653,-0.087115828
ERX2813654,0.087115828
ERX2813656,0.520122866
ERX2813657,0.663283664
ERX2813658,0.265168091
Paeru_0017,1.248294288
Paeru_0018,1.471111784
Paeru_0019,1.40928922
Paeru_0020,1.750141667
Paeru_0033,0.223509223
Paeru_0034,-0.5176008360000001
Paeru_0035,-0.46798810900000004
Paeru_0036,-0.46440713
Paeru_0037,-0.277485763
Paeru_0038,-0.177310567
Paeru_0039,-0.312165083
Paeru_0040,-0.046855047000000004
Paeru_0041,0.143151139
Paeru_0042,3.548260762
Paeru_0043,3.424686508
Paeru_0044,-0.9203520190000001
Paeru_0045,-1.021870033
Paeru_0046,-0.200712982
Paeru_0047,-0.35213682900000004
Paeru_0048,0.096809869
Paeru_0049,0.037201899000000004
Paeru_0050,0.302010175
Paeru_0051,0.08055313800000001
Paeru_0052,-0.7323999240000001
Paeru_0053,-0.6935916999999999
Paeru_0056,-0.114231281
Paeru_0057,-0.013972408
Paeru_0058,-0.037443671000000005
Paeru_0059,-0.345987719
Paeru_0060,0.6692904080000001
Paeru_0061,0.25740535000000003
Paeru_0062,-0.034661993
Paeru_0063,0.24335704300000002
Paeru_0064,0.033867957000000004
Paeru_0065,0.145820311
Paeru_0066,0.157760948
Paeru_0068,-0.173863443
Paeru_0069,0.336680205
Paeru_0070,0.266487346
Paeru_0071,0.12463705400000001
Paeru_0072,0.15301309200000002
Paeru_0073,-0.19418954300000002
Paeru_0074,0.518281718
Paeru_0075,-0.037183189000000005
Paeru_0077,-0.517961807
Paeru_0106,1.732591044
Paeru_0107,2.492750235
Paeru_0111,0.569719133
Paeru_0112,0.9878726950000001
Paeru_0131,0.631064241
Paeru_0132,0.8482403540000001
Paeru_0133,-0.46847472100000004
Paeru_0134,0.037004586
Paeru_0135,-0.258505156
Paeru_0136,-0.6092864680000001
Paeru_0137,-0.11508230300000001
Paeru_0138,-0.168415628
Paeru_0161,0.092703637
Paeru_0162,0.06639183500000001
Paeru_0166,1.202528028
Paeru_0167,1.411683076
Paeru_0220,0.650180874
Paeru_0221,0.299115546
Paeru_0258,0.8275961930000001
Paeru_0259,1.205337077
Paeru_0260,0.448828037
Paeru_0261,2.493665555
Paeru_0262,-0.501792044
Paeru_0263,-0.711779755
Paeru_0264,1.071696345
Paeru_0265,0.453573062
Paeru_0266,0.15092586800000002
Paeru_0267,0.10592145
Paeru_0268,-0.135574575
Paeru_0269,0.42631071
Paeru_0270,0.277048846
Paeru_0271,0.700845817
Paeru_0282,0.147512373
Paeru_0283,0.9201049920000001
Paeru_0284,-0.20558250900000002
Paeru_0285,-1.5664763380000002
Paeru_0286,0.09628048
Paeru_0287,0.10402177400000001
SRX6923929,0.144217117
SRX6923930,-0.020782945
SRX6923932,0.598855804
SRX6923933,0.44073186900000005
SRX6923934,-0.900605936
SRX6923935,0.45987406700000005
SRX7940213,0.152301192
SRX7940214,0.003700404
SRX7940215,-0.15600159500000002
SRX7940216,-0.685393145
SRX7940217,-0.112814486
SRX3169722,0.1937351
SRX3169723,-0.14298887300000002
SRX3169725,0.015011647000000001
SRX3169726,0.077695056
SRX3169728,-0.092706704
SRX6853212,0.30899191200000004
SRX6853213,-0.30899191200000004
SRX6853214,0.0031193310000000004
SRX6853215,-0.059029454
ERX541575,-1.8994583299999999
ERX541576,-2.620444929
ERX541577,-2.427276174
ERX541578,-1.5291512630000001
ERX541585,-2.018764223
ERX541586,-1.462828087
ERX541587,0.27685964
ERX541588,-0.27685964
ERX541593,-1.554481974
ERX541594,-1.3390309120000001
ERX541595,-0.9793391990000001
ERX541596,-0.8381581810000001
SRX3324112,-0.350143001
SRX3324113,0.350143001
SRX3324116,0.060420736
SRX3324117,-0.244811823
SRX7058493,0.112552205
SRX7058498,0.41607125
SRX7058499,0.196067285
SRX7058500,-0.20500378200000002
SRX7058501,-0.12241568500000001
SRX7058502,-0.542918985
SRX7058503,-0.461897106
SRX7058504,-0.146143193
SRX7058505,0.367042666
SRX7058506,0.43784002
SRX7058508,0.061063571000000004
SRX7058510,-0.148539205
SRX7058511,0.18213019400000002
SRX7058512,-0.007065031
SRX7058513,0.122793542
SRX7058514,0.21707547
SRX7058515,-0.02976271
SRX6874325,-0.143875208
SRX6874326,0.439686032
SRX6874327,0.195421064
SRX6874328,-0.237626038
SRX6874329,-0.253605851
SRX6874330,-0.095241488
SRX6874331,0.91592842
SRX6874332,1.028839491
SRX6874333,0.282473124
SRX6874334,0.126921101
SRX2255950,-1.701468975
SRX2255951,-1.22268154
SRX2255954,-0.123034395
SRX2255955,0.123034394
