k,name,in_iM,gene_weight,regulator,function,category
92,RpoS-2,True,0.043753569000000006,RpoS/MmsR,General stress response,Stress Response
94,Cell Division,False,-0.029173073100000002,,Cell wall biosynthesis,Structural Components
57,Uncharacterized-7,False,0.027435122200000002,,,Uncharacterized
61,Uncharacterized-9,False,0.027151968300000003,,,Uncharacterized
28,PA1226,False,0.0268034968,PA1226,Lipopolysaccharide synthesis,Structural Components
73,AmrZ,False,-0.0257524891,AmrZ/AlgR,Exopolysaccharide biosynthesis,Structural Components
11,AHL,False,0.0252395557,AHL,AHL synthesis,Quorum Sensing
93,PprB,False,0.0247021556,PprB,Flp pilus assembly protein,Structural Components
78,MexS,False,0.0201530161,GlcC/MexS,RND efflux pump,Stress Response
84,PhhR,False,0.0197467981,PhhR/HmgR,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid and Nucleotide Biosynthesis
60,ErbR-2,False,-0.019368750900000002,ErbR,PQQ biosynthesis,Miscellaneous Metabolism
3,EatR,False,-0.018590766,EatR,Ethanolamine utilization,Amino Acid and Nucleotide Biosynthesis
25,EsrC,False,-0.0179275882,NfxB/EsrC,RND efflux pump,Defense Mechanisms
35,XisF4,False,0.0168843033,XisF4,Excision of Pf4 prophage,Prophages
23,HexR-2,False,-0.0167899483,HexR,Glucose metabolism,Carbon Source Utilization
95,MdcR,False,-0.0159398141,MdcR,Malonate synthesis,Miscellaneous Metabolism
26,RsmA,False,-0.015734325400000002,RsmA,2-ketogluconate metabolism,Carbon Source Utilization
52,PchR,False,-0.015472546600000001,PchR,Pyochelin synthesis,Biosynthetic Gene Cluster
50,Zur-2,False,0.014846103400000001,NrdR/Cobalamin/Zur,Zinc uptake,Metal Homeostasis
91,CysB-2,False,-0.014779228600000001,CysB/YdfF,ABC transporter (Sulphur metabolism),Metal Homeostasis
43,k-opioid,False,-0.0145745132,k-opioid,Nonribosomal peptide synthetase (Pyoveridine),Biosynthetic Gene Cluster
5,HexR-1,False,0.0143549048,HexR/GltR,Glucose metabolism,Carbon Source Utilization
27,FpvR,False,-0.014301489700000001,FpvR,Ferripyoveridine system,Metal Homeostasis
85,MvfR,False,0.0140805183,MvfR,PQS signalling,Miscellaneous Metabolism
59,Uncharacterized-8,False,-0.0140012988,,Iron ABC permease,Metal Homeostasis
96,LexA,False,0.013673012600000001,LexA/GbuR,SOS response for DNA protection and repair,Stress Response
15,LasR,False,0.0126311784,LasR/MvfR,Pyochelin biosynthesis and Secretion (I) system,Metal Homeostasis
41,Uncharacterized-5,False,0.0117089616,,,Uncharacterized
