locus,gene_weight,gene_name,gene_product,cog,regulator,PvdS,link
PA2412,0.2552531375,PA2412,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2412&e1=1&assembly=complete
PA2386,0.2401577791,pvdA,L-ornithine N5-oxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2386&e1=1&assembly=complete
PA2411,0.2341828914,PA2411,thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2411&e1=1&assembly=complete
PA2413,0.2120780682,pvdH,diaminobutyrate--2-oxoglutarate aminotransferase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2413&e1=1&assembly=complete
PA2425,0.2017836975,pvdG,pyoverdine biosynthesis protein PvdG,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2425&e1=1&assembly=complete
PA2385,0.1865809387,pvdQ,acyl-homoserine lactone acylase PvdQ,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2385&e1=1&assembly=complete
PA2424,0.181636124,pvdL,peptide synthase,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2424&e1=1&assembly=complete
PA2393,0.17476259730000002,PA2393,dipeptidase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2393&e1=1&assembly=complete
PA2392,0.1718406881,pvdP,pyoverdine biosynthesis protein PvdP,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2392&e1=1&assembly=complete
PA2395,0.1673890144,pvdO,pyoverdine biosynthesis protein PvdO,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2395&e1=1&assembly=complete
PA2402,0.1662131684,PA2402,peptide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2402&e1=1&assembly=complete
PA2394,0.16359009500000002,pvdN,pyoverdine biosynthesis protein PvdN,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2394&e1=1&assembly=complete
PA2427,0.1569083015,PA2427,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2427&e1=1&assembly=complete
PA2396,0.1480394009,pvdF,pyoverdine synthetase F,Nucleotide transport and metabolism,PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2396&e1=1&assembly=complete
PA2400,0.1457373972,pvdJ,pyoverdine biosynthesis protein PvdJ,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2400&e1=1&assembly=complete
PA2399,0.1431605773,pvdD,pyoverdine synthetase D,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2399&e1=1&assembly=complete
PA2426,0.13048820090000002,pvdS,extracytoplasmic-function sigma-70 factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2426&e1=1&assembly=complete
PA2384,0.12300596,PA2384,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2384&e1=1&assembly=complete
PA2397,0.09350592840000001,pvdE,pyoverdine biosynthesis protein PvdE,Inorganic ion transport and metabolism,PvdS,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2397&e1=1&assembly=complete
PA2389,0.0896778191,pvdR,pyoverdine biosynthesis protein PvdR,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2389&e1=1&assembly=complete
PA2398,0.0780205904,fpvA,ferripyoverdine receptor,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2398&e1=1&assembly=complete
PA2390,0.0764943684,pvdT,pyoverdine biosynthesis protein PvdT,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2390&e1=1&assembly=complete
PA2391,0.0754761315,opmQ,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2391&e1=1&assembly=complete
PA2408,0.0734187915,PA2408,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2408&e1=1&assembly=complete
PA2403,0.06965824080000001,PA2403,hypothetical protein,Function unknown,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2403&e1=1&assembly=complete
PA2409,0.0680024391,PA2409,ABC transporter permease,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2409&e1=1&assembly=complete
PA2531,0.0607685216,PA2531,aminotransferase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2531&e1=1&assembly=complete
PA2407,0.0601992837,PA2407,adhesion protein,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2407&e1=1&assembly=complete
PA2410,0.0588503155,PA2410,hypothetical protein,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2410&e1=1&assembly=complete
PA4709,0.0583909945,PA4709,hemin degrading factor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4709&e1=1&assembly=complete
PA2404,0.056847158200000004,PA2404,hypothetical protein,Function unknown,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2404&e1=1&assembly=complete
PA2405,0.056419188200000005,PA2405,hypothetical protein,No COG annotation,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2405&e1=1&assembly=complete
PA4710,0.051151318800000005,phuR,heme/hemoglobin uptake outer membrane receptor PhuR,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4710&e1=1&assembly=complete
