,A,purR
R2,,0.23463791697867253
xmin,,0.8895091249132879
xmid,,
xmax,,9.11451587689065
ystart,,-25.226893632858125
yend,,-1.3528499937872809
control__wt_glc__1,-0.362792533456,8.826350248299551
control__wt_glc__2,0.362792533456,8.76739001931077
fur__wt_dpd__1,-4.11021920336,8.31744269458771
fur__wt_dpd__2,-5.94978742051,8.12121405937392
fur__wt_fe__1,0.183255880756,8.499779676820701
fur__wt_fe__2,0.17502459479600002,8.40370712373698
fur__delfur_dpd__1,-4.716779907209999,8.34003577657807
fur__delfur_dpd__2,-4.77589774605,8.317834842326489
fur__delfur_fe2__1,-1.21175482299,8.43836401407117
fur__delfur_fe2__2,-1.1392172885299998,8.34534627159346
acid__wt_ph5__1,-0.567431115345,8.59427096731358
acid__wt_ph5__2,-0.7561301644380001,8.49973159950468
acid__delgadx_ph5__1,-1.0167895033,8.50746414286612
acid__delgadx_ph5__2,-0.9159749419550001,8.4209639256036
acid__delgadw_ph5__1,-0.505230896902,8.39752744419816
acid__delgadw_ph5__2,-0.305145945387,8.33634706199741
acid__delgade_ph5__1,-0.9513670862450001,8.51373632914671
acid__delgade_ph5__2,-0.7102575497490001,8.51547468388446
oxidative__wt_pq__1,-8.8307968659,7.663159702501299
oxidative__wt_pq__2,-9.05182901757,7.60546431353458
oxidative__deloxyr_pq__1,-8.29363894125,7.99943576436721
oxidative__deloxyr_pq__2,-8.66503345988,8.06926833470698
oxidative__delsoxr_pq__1,-6.50988411826,7.895438229997491
oxidative__delsoxr_pq__2,-7.030357147310001,8.000927867650171
oxidative__delsoxs_pq__1,-13.2763458143,7.26168587444783
oxidative__delsoxs_pq__2,-12.991792439500001,7.22276804340462
nac_ntrc__wt_csn__1,-4.05848534555,8.36538071977384
nac_ntrc__wt_csn__2,-4.36767189851,8.40207384967688
nac_ntrc__wt_cytd__1,-5.028747556030001,8.48517466486459
nac_ntrc__wt_cytd__2,-4.86216911971,8.45073937193313
nac_ntrc__wt_gln__1,-3.5166809906800003,8.28896623153961
nac_ntrc__wt_gln__2,-2.63313891915,8.28150532367723
nac_ntrc__bw_delnac_csn__1,-3.2418471502599995,8.15953534876208
nac_ntrc__bw_delnac_csn__2,-2.39567403695,8.34986569368278
nac_ntrc__bw_delnac_cytd__1,-3.4816542670199997,8.57716548930907
nac_ntrc__bw_delnac_cytd__2,-2.7437109814599996,8.482707209048769
nac_ntrc__bw_delnac_gln__1,-1.35745683996,8.34075778466787
nac_ntrc__bw_delnac_gln__2,-1.8829692674400003,8.33414793911144
nac_ntrc__bw_delnac_nh4__1,0.530801273383,8.95306327830559
nac_ntrc__bw_delnac_nh4__2,0.651723413487,8.874644616162131
misc__wt_no_te__1,-2.7777680050700004,8.4123149502325
misc__wt_no_te__2,-0.6479919529420001,8.62727264901983
misc__bw_delcbl__1,0.318105573176,8.676558372429191
misc__bw_delcbl__2,-0.0031078935415700002,8.67996019773659
misc__bw_delfabr__1,1.12584901287,8.67505372330924
misc__bw_delfabr__2,1.21502383588,8.76485539478535
misc__bw_delfadr__1,-0.677112835061,8.76809271759453
misc__bw_delfadr__2,-0.233498371708,8.725099658462371
misc__nitr_031__1,0.6878828838109999,8.42183994436118
omics__wt_glu__1,1.53572904063,8.144978085240691
omics__wt_glu__2,1.7321819969599999,8.22205691719663
omics__wt_gly__1,0.9847613963240001,8.639090498584759
omics__wt_gly__2,1.15710702669,8.60318701662742
omics__wt_thr__1,-8.11835381452,7.20633470696615
omics__wt_thr__2,-8.31481874417,6.89916123958083
omics__bw_ac__1,-3.55392834701,8.52219743410974
omics__bw_ac__2,-3.64963588583,8.46969027205194
omics__bw_fum__1,-2.38943579862,8.93481309169917
omics__bw_fum__2,-2.94399288394,8.86343627995938
omics__bw_glc__1,-2.30883470289,8.93227929551041
omics__bw_glc__2,-2.00895227257,8.858695013218462
