,Value,list
TF,cpxR,
reg_genes,62,"['fabZ' 'lpxA' 'csgE' 'lpxD' 'ygaU' 'ompC' 'baeR' 'csgF' 'iceT' 'sbmA'
 'marA' 'degP' 'yidQ' 'csgG' 'rpoE' 'aroG' 'slt' 'yaiW' 'psd' 'spy' 'motB'
 'tsr' 'mzrA' 'ppiA' 'rpoH' 'bamE' 'csgA' 'csgD' 'motA' 'bacA' 'srkA'
 'rseB' 'yqaE' 'mscM' 'rseA' 'mdtA' 'baeS' 'mdtC' 'ompF' 'ldtD' 'cheW'
 'ung' 'cpxA' 'marR' 'skp' 'rseC' 'mdtB' 'dsbA' 'ppiD' 'acrD' 'cpxR'
 'yqjA' 'dsbC' 'cheA']"
comp_genes,17,['alx' 'yjfN' 'mdtJ' 'raiA' 'yagU' 'htpX' 'yobB' 'asr' 'yliI']
both_genes,8,['ftnB' 'yebE' 'dgcZ' 'ldtC' 'tomB' 'cpxP' 'yccA' 'hha']
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,37,
comp_ops,16,
both_ops,7,
