,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,AB0057_PGcoculture__PGAB,0.8602772711000001,0.370302590468235,3.0,0.0,0.9891629452,1.0,1.1489142703,2.0,0.44275459780000004,,
1,AB0057_PGcoculture__AB ,-2.5000002068509275e-11,0.1168518337079222,4.0,3.0,0.0809877514,4.0,-0.0088965259,5.0,0.0899034179,6.0,-0.1619946435
2,AB0057_PGcoculture__ABPG,0.07056680585,0.22781782700868694,4.0,7.0,0.062440775000000004,8.0,-0.1797231844,9.0,0.3724049924,10.0,0.0271446404
3,AB5075_AZI__AZI_000,0.0,0.06996823749445502,2.0,11.0,0.0494750152,17.0,-0.0494750152,,,,
4,AB5075_AZI__preculture,-0.0010998145500000014,0.05486229545826626,2.0,12.0,0.0376936866,13.0,-0.0398933157,,,,
5,AB5075_AZI__AZI_040,0.32790438605,0.1644899068211804,2.0,14.0,0.4442163146,18.0,0.2115924575,,,,
6,AB5075_AZI__AZI_028,0.6449567241,0.12680553812472173,2.0,15.0,0.5552916682,19.0,0.73462178,,,,
7,AB5075_AZI__AZI_003,0.021526859250000002,0.046133433616999814,2.0,16.0,0.054148123000000006,20.0,-0.0110944045,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,0.10831482723333336,0.0749245922420092,3.0,21.0,0.1251534846,28.0,0.1733872616,29.0,0.0264037355,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,0.0,0.11633792875819662,3.0,22.0,-0.1001934954,23.0,-0.0273981636,24.0,0.127591659,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,-0.27984597120000004,0.22532191084638847,3.0,25.0,-0.5393838437,26.0,-0.16588946870000001,27.0,-0.1342646012,,
11,AB5075_VIR-O_LSO__VIR-O,3.333331758762862e-11,0.30867327564462893,3.0,30.0,0.0835900604,32.0,-0.34185955230000004,34.0,0.258269492,,
12,AB5075_VIR-O_LSO__LSO,-0.3322510294,0.4072232676077202,3.0,31.0,-0.2659041212,33.0,-0.7685737803,35.0,0.0377248133,,
13,AB5075_Zinc__Control,0.0,0.485507109111767,3.0,36.0,0.1512026643,37.0,-0.5431165391,38.0,0.3919138748,,
14,AB5075_Zinc__Zinc,0.51010564645,0.32000427837829487,2.0,39.0,0.7363828417,40.0,0.2838284512,,,,
