k,name,in_iM,gene_weight,regulator,function,category
40,LldR,False,0.0144940884,LldR,Transcription factor associated with lactate utilization,Carbon metabolism
9,ABUW_1645,False,0.0133020034,ABUW_1645,Key regulator of the VIR-O/AV-T high frequency phenotypic switch,Virulence
36,ppGpp,False,0.0110451853,,Stringent response iModulon identified by comparing to E.coli PRECISE 2.0 iModulome,Stress
11,Acetoin/butanediol,False,-0.0102084172,,Acetoin and butanediol catabolic pathways ,Energy metabolism
47,Heavy metal resistance,False,0.0092549029,,ISPpu12 gene cluster/heavy metal resistance,Stress
4,Fur-2,False,0.008912989500000001,Fur,Iron homeostasis,Inorganic ions
37,Unc-10,False,0.008897086200000001,,Uncharacterized iModulon 10,Uncharacterized
22,Translation,False,-0.0086735119,,Translational machinery,Functional
35,KpdD-KpdE,False,0.0083444829,KpdE,Two-component system regulating pottassium homeostasis,Inorganic ions
26,Unc-4,False,-0.0081474537,,Uncharacterized iModulon 4,Uncharacterized
29,Unc-6,False,-0.0073168991000000004,,Uncharacterized iModulon 6,Uncharacterized
46,Urease/Ammonia,False,-0.0071133593,,Manually annotated iModulon containing urease and ammonia transport genes,Amino acid metabolism
5,Pnt,False,0.0067222359,,Pnt operon encoding subunits of NADP transhydrogenase,Energy metabolism
32,Unc-8,False,-0.0066587829,,Uncharacterized iModulon 8,Uncharacterized
16,HGT,False,-0.0065858806,AbaM,Manually annotated iModulon capturing genomic transposase genes and plasmid encoded genes associated with conjugation.,Plasmid
12,Motility,False,-0.005636322500000001,,Fimbrial subunits,Virulence
13,Unc-1,False,-0.0053854265,Phage region 1,Uncharacterized iModulon 1,Uncharacterized
10,Prophage,False,-0.0045729507,Phage region 3,Enriched with PHASter data for three prophage regions,Virulence
0,Fur-1,False,-0.0043222952,Fur,Iron homeostasis,Inorganic ions
34,Leucine,False,-0.0035747463000000003,ABUW_1645,Manually annotated iModulon with genes associated with Leucine degradation,Amino acid metabolism
27,Unc-5,False,-0.0031823038000000003,,Uncharacterized iModulon 5,Uncharacterized
17,adeB KO,False,-0.0026035505000000002,AdeR,Effect of adeB knockout,Genomic
6,GigA-GigB KO,False,-0.0024483744000000003,,Single gene iModulon capturing gigA and gigB knockouts,Genomic
24,Unc-3,False,-0.0023612617,,Uncharacterized iModulon 3,Uncharacterized
48,Unc-13,False,0.0023135182,,Uncharacterized iModulon 13,Uncharacterized
45,Fe-S Cluster,False,0.0021524332,,Fe-S cluster assembly,Energy metabolism
18,Tyrosine,False,-0.0021140530000000003,,Tyrosine transport and metabolism,Amino acid metabolism
25,GigA-GigB,False,-0.0020944196,,iModulon associated with decreased activity in gigA and gigB mutants,Virulence
44,Unc-12,False,-0.0019600033,,Uncharacterized iModulon 12,Uncharacterized
21,Unc-2,False,-0.0017748737,,Uncharacterized iModulon 2,Uncharacterized
19,mumR,False,-0.0016769729,mumR,"Contains the mumR regulon homologs from ATCC 17978 associated with manganese import and urea metabolism <a href=""https://doi.org/10.1128/mBio.01475-16"" target=""blank"">[link]</a>",Inorganic ions
43,AMR,False,-0.0016653627000000001,,Antimicrobial resistance island on p1AB5075 plasmid,Plasmid
1,NDH-1,False,-0.0014129776000000001,,NADPH dehyrogenase I operon,Energy metabolism
38,Unc-11,False,-0.0013964862,,Uncharacterized iModulon 11,Uncharacterized
7,Cbl/GigC,False,0.0011585511,,Sulfur transport and cysteine metabolism,Inorganic ions
14,GacA-GacS,False,-0.0009368296,ABUW_1645,iModulon associated with decreased activity in GacA mutant - potential stationary phase response,Virulence
41,cyd,False,0.0009148940000000001,,Consists of cyd operon,Energy metabolism
23,Amino acid,False,0.0009141475,,Manually annotated iModulon with genes associated with amino acids,Amino acid metabolism
39,RpoH,False,-0.0008779817,,"iModulon containing various heat shock proteins, chaperones, and DNA repair genes identified by comparing to E.coli PRECISE 2.0 iModulome",Stress
28,PaaX,False,-0.0008653822,GacA,"Phenylacetic acid pathway genes <a href=""https://doi.org/10.1093/infdis/jiu024"" target=""blank"">[link]</a>",Virulence
30,Unc-7,False,-0.0007721724,,Uncharacterized iModulon 7,Uncharacterized
3,PhoR-PhoB,False,-0.0007529165,,Two-component system regulating inorganic phosphate levels,Inorganic ions
8,R7 mutant,False,0.0007116379000000001,AbaM,iModulon capturing the loss of the p1AB5075 plasmid,Plasmid
20,Lipoprotein,False,-0.0007085743,,Increased activity in colistin and LL-37 treatment,Virulence
33,Unc-9,False,0.0005575657,,Uncharacterized iModulon 9,Uncharacterized
2,BfmR-BfmS,False,-0.0004597386,BfmR,Two-component system regulating the pili chaperone-usher assembly system,Virulence
31,Type IV Pili,False,0.00043163880000000003,,Manually annotated iModulon with genes associated with type IV pili ,Virulence
42,ABUW_1645 OE,False,0.00026815220000000003,,iModulon capturing the overexpression of ABUW_1645 in AB5075_VIR-O_AV-T project,Genomic
15,CRISPR,False,-0.0001694757,,Endogenous CRISPR-Cas system,Stress
