,ABUW_4071
SRX3737100,0.0
SRX3737101,0.0
SRX3737103,0.0
SRX3737104,0.0
SRX3737105,0.0
SRX3737106,0.0
SRX3737107,0.0
SRX3737108,0.0
SRX3737109,0.0
SRX3737110,0.0
SRX3737111,0.0
Abaum_0017,0.025751057600000002
Abaum_0018,-1.2517403139
Abaum_0019,-0.5708072901
Abaum_0020,2.3331138155
Abaum_0021,0.8734441782
Abaum_0022,0.14630448940000002
Abaum_0023,-0.025751057600000002
Abaum_0024,2.0286723103
Abaum_0025,-0.0003499728
Abaum_0026,-0.347327323
SRX3141471,-0.3411296185
SRX3141472,0.8229946587
SRX3141473,-0.6030057069
SRX3141474,-0.2199889518
SRX3141475,0.3239141158
SRX3141476,-0.6001935345
SRX3141477,0.2356470457
SRX3141478,0.7476510044
SRX3141479,0.0082714334
SRX8944518,-0.2528631586
SRX8944519,-0.9598032674
SRX8944520,-0.2060692359
SRX8944521,-1.1487568373
SRX8944522,0.4589323945
SRX8944523,-0.30643163900000003
SRX5930997,-0.7783644539
SRX5930998,-0.0710201176
SRX5930999,0.8493845714
SRX5931001,2.9552917504
SRX5931002,2.9991493232
SRX4488546,0.7212731091
SRX4488547,-0.731667351
SRX4488548,2.6273393612
SRX4488549,0.010394242000000001
SRX4488550,2.3146376154
SRX4488551,1.7358205930000001
SRX4488552,-0.312943796
SRX4488553,5.1663404472
SRX4488554,2.4401617275
SRX4488555,4.8664487919
SRX4488556,1.7699943231000002
SRX4488557,1.0442448949
SRX2568047,1.8723065292
SRX2568048,1.7600866728
SRX2568049,1.2328707176
SRX2568050,-2.131369186
SRX2568051,-3.0871422033
SRX2568052,-3.2778421416
SRX2568053,1.8827558866
SRX2568054,-0.032032361
SRX2568055,1.6909477099
SRX2568056,-2.634863996
SRX2568057,-2.050591187
SRX2568058,-1.8320256188
SRX2568059,2.7321508749000003
SRX2568060,2.3206662591000002
SRX2568061,2.5686464723
SRX2568062,-0.0494942149
SRX2568063,-0.1822568413
SRX2568064,0.2317510563
Abaum_0001,0.1448796374
Abaum_0002,-1.3920430646
Abaum_0003,-0.9713295580000001
Abaum_0004,-1.5525783583
Abaum_0005,-1.011529437
Abaum_0006,-0.7442874059
Abaum_0007,-0.1095174139
Abaum_0008,-1.595466101
Abaum_0009,-0.3743762684
Abaum_0010,-0.4664608934
Abaum_0011,0.0384374859
Abaum_0012,-0.0384374859
Abaum_0013,-1.1047303449
Abaum_0014,-1.0917983241
Abaum_0015,-0.9745565580000001
Abaum_0016,-1.6381913078
ERX1221046,0.0
ERX1221048,0.0
ERX1221049,0.0
ERX1221050,0.0
ERX1221052,0.0
ERX1221053,0.0
ABNM035,1.0993258495
ABNM036,-1.0993258495
ABNM037,0.0375766575
ABNM038,-0.4072988905
ABNM041,-0.3577099205
ABNM042,-1.8837220955
ABNM019,0.43919999460000003
ABNM020,-0.43919999460000003
ABNM021,2.1141769821
ABNM022,3.608326729
ABNM023,1.8433018171
ABNM024,2.6642266096
ABNM025,2.3097869952
ABNM026,2.8842241078
ABNM027,-0.3051069927
ABNM028,0.3051069927
ABNM029,0.0763695575
ABNM030,0.039242859000000005
ABNM031,0.10057905240000001
ABNM032,-0.12720839650000001
ABNM033,-0.0980036651
ABNM034,0.07373051580000001
ABNM001,0.047702695600000004
ABNM002,-0.047702695600000004
ABNM003,-0.161202588
ABNM004,1.4398791221
ABNM005,-1.2011526097
ABNM006,-0.8716779641
ABNM007,-0.32671219890000003
ABNM008,-0.3216753445
ABNM009,0.4905201957
ABNM010,-0.1316045825
ABNM043,-0.28327359350000003
ABNM044,0.28327359350000003
ABNM045,-4.9327554985
ABNM046,-4.9327554985
ABNM047,2.3322858205
ABNM048,2.0609702115
ABNM011,-0.2921314679
ABNM012,0.2921314679
ABNM013,-0.2618073817
ABNM014,0.3094244861
ABNM015,-1.4225184842
ABNM016,-1.4154050006
ABNM017,-1.9004605034000002
ABNM018,-0.9584081147
