,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,AB0057_PGcoculture__PGAB,-6.497302434800001,0.17101159867047597,3.0,0.0,-6.6427262672000005,1.0,-6.3089017178999995,2.0,-6.5402793193,,
1,AB0057_PGcoculture__AB ,0.0,0.19364985565732695,4.0,3.0,-0.10284304720000001,4.0,-0.0862977998,5.0,-0.10112023440000001,6.0,0.2902610814
2,AB0057_PGcoculture__ABPG,-0.111174212175,0.1742681129627836,4.0,7.0,-0.3594510655,8.0,-0.1034684916,9.0,-0.006220257000000001,10.0,0.024442965400000002
3,AB5075_AZI__AZI_000,0.0,0.1186236245100739,2.0,11.0,-0.0838795693,17.0,0.0838795693,,,,
4,AB5075_AZI__preculture,-13.7213405127,0.11139007444933571,2.0,12.0,-13.6425758357,13.0,-13.8001051897,,,,
5,AB5075_AZI__AZI_040,-18.85264355385,1.6400099806765405,2.0,14.0,-17.6929813753,18.0,-20.0123057324,,,,
6,AB5075_AZI__AZI_028,-0.7664556420499999,0.6558369271636998,2.0,15.0,-0.3027089035,19.0,-1.2302023806,,,,
7,AB5075_AZI__AZI_003,-1.3259972415999999,1.525693365703115,2.0,16.0,-2.4048253665,20.0,-0.2471691167,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,-5.3478440968,0.8153849136889592,3.0,21.0,-5.7444217452,28.0,-5.8890802445,29.0,-4.4100303007,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,-1.4802973661668753e-16,2.216630653321144,3.0,22.0,-1.9492973443000001,23.0,-0.4618858213,24.0,2.4111831656,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,-1.7792138931666666,2.0887512747427364,3.0,25.0,-3.8802066785,26.0,-1.7545117658,27.0,0.2970767648,,
11,AB5075_VIR-O_LSO__VIR-O,7.401486830834377e-17,0.9656064814092092,3.0,30.0,0.19445596880000002,32.0,0.8535801109000001,34.0,-1.0480360797,,
12,AB5075_VIR-O_LSO__LSO,-1.0236305193666666,2.437423428071334,3.0,31.0,-0.5630949652,33.0,-3.6584696138,35.0,1.1506730209,,
13,AB5075_Zinc__Control,0.0,3.9241273699407184,3.0,36.0,-2.0327097016,37.0,4.5234682033,38.0,-2.4907585017000002,,
14,AB5075_Zinc__Zinc,5.36775124505,1.0806535183664243,2.0,39.0,6.131888676,40.0,4.6036138141,,,,
15,AB5075_biofilm+abx__planktonic,-3.700743415417188e-17,0.8615446378159048,3.0,41.0,-0.6842607014000001,42.0,-0.2832492399,44.0,0.9675099413,,
16,AB5075_biofilm+abx__biofilm,-1.3214490529333334,1.0768131699610815,3.0,43.0,-2.5170359593000002,45.0,-1.0193844705,46.0,-0.427926729,,
17,AB5075_biofilm+abx__cip_biofilm,1.9409206142333335,3.22411106473964,3.0,47.0,4.5558415374,48.0,-1.6614327821,50.0,2.9283530874,,
18,AB5075_biofilm+abx__tet_biofilm,-4.809819927366667,1.4741297764079102,3.0,49.0,-5.2582284066,51.0,-6.0076761557,52.0,-3.1635552198,,
19,AB5075_gigAB__kan_gigB,7.761229247933334,2.230992327734299,3.0,53.0,10.3283807639,54.0,6.6637356948,55.0,6.2915712851,,
20,AB5075_gigAB__gigB,9.452258191566667,1.3437487248390574,3.0,56.0,8.0252888663,57.0,9.6380312435,58.0,10.6934544649,,
21,AB5075_gigAB__kan_gigA,6.366821958866666,2.1490363214122006,3.0,59.0,5.0000549362,60.0,5.2565170803,61.0,8.8438938601,,
22,AB5075_gigAB__gigA,7.220659588933334,3.006032940701133,3.0,62.0,9.9926218213,63.0,4.0254236324,64.0,7.6439333131,,
23,AB5075_gigAB__kan_WT,7.139374539266666,0.2674746441487021,3.0,65.0,7.1035229797,66.0,7.4229668102,67.0,6.8916338279,,
24,AB5075_gigAB__WT,-3.700743415417188e-17,2.1316912249148325,3.0,68.0,-1.586290817,69.0,2.4231357647,70.0,-0.8368449477000001,,
25,AB5075_med__CA-MHB,0.69604964325,1.1193117065316267,2.0,71.0,-0.0954232547,72.0,1.4875225412,,,,
26,AB5075_med__CA-MHB_pH6,-7.51961846045,16.1730773555302,2.0,73.0,3.9164742103,74.0,-18.9557111312,,,,
27,AB5075_med__RPMI+_pH7,-19.8770827554,0.025499738341841,2.0,75.0,-19.8951137933,76.0,-19.8590517175,,,,
28,AB5075_med__RPMI+_pH6,-9.63235753495,17.594579088568768,2.0,77.0,-22.0736037206,78.0,2.8088886507,,,,
29,AB5075_med__RPMI+_-HCO3,0.8702301830999999,0.8060084996549355,2.0,79.0,0.3002961073,80.0,1.4401642588999999,,,,
30,AB5075_med__LB,0.0,0.2518814094826396,2.0,81.0,0.17810705270000002,82.0,-0.17810705270000002,,,,
31,AB5075_med__M9+AA,-2.89786520915,0.9803519824640428,2.0,83.0,-2.2046516744,84.0,-3.5910787439,,,,
32,AB5075_med__M9-AA,-0.26011140475,0.6813747044562584,2.0,85.0,-0.7419160788,86.0,0.2216932693,,,,
33,AYE_adeB__WT,0.0,0.3775095237388484,3.0,87.0,0.010421970000000001,88.0,-0.3826125979,89.0,0.3721906279,,
34,AYE_adeB__adeB,2.7010094853,3.4079394448995446,3.0,90.0,6.6338359776,91.0,0.6175146599,92.0,0.8516778184,,
35,COL__0ug/ml,0.0,0.2680993653913025,2.0,93.0,-0.1895748793,94.0,0.1895748793,,,,
36,COL__0.25ug/ml,-1.0740864355000002,3.893261261446907,2.0,95.0,1.6788650033999999,96.0,-3.8270378744,,,,
37,COL__1ug/ml,-1.9758534915500001,1.7378354097919635,2.0,97.0,-3.2046886944,98.0,-0.7470182887,,,,
38,H2O2__0ug/ml,0.0,1.277784569939844,2.0,99.0,0.9035301343000001,100.0,-0.9035301343000001,,,,
39,H2O2__1.25ug/ml,-8.527435841399999,6.830289476641048,2.0,101.0,-3.697691835,102.0,-13.3571798478,,,,
40,H2O2__2.5ug/ml,-14.8782480111,2.377630918598784,2.0,103.0,-13.1970090654,104.0,-16.5594869568,,,,
41,H2O2__5ug/ml,-12.57905251635,1.8980525210037869,2.0,105.0,-11.2369267077,106.0,-13.921178325,,,,
42,MRP__0ug/ml,0.0,6.217571980461785,2.0,107.0,4.3964873099,108.0,-4.3964873099,,,,
43,MRP__25ug/ml,-0.5088214528500001,3.3449142099600575,2.0,109.0,1.8563900675,110.0,-2.8740329732000003,,,,
44,MRP__100ug/ml,-1.31357819745,2.757340782502869,2.0,111.0,0.6361561679000001,112.0,-3.2633125628,,,,
45,MRP__200ug/ml,-2.0335076473000004,6.037747299122101,2.0,113.0,2.235824411,114.0,-6.3028397056,,,,
46,growth__2h,0.0,1.4365359445365264,2.0,115.0,-1.0157843078,116.0,1.0157843078,,,,
47,growth__4h,16.54199021125,0.23071993182732492,2.0,117.0,16.7051338396,118.0,16.3788465829,,,,
48,growth__6h,11.70261101845,0.6058208438210209,2.0,119.0,11.2742309916,120.0,12.1309910453,,,,
49,growth__8h,10.34678445545,0.7900691860323351,2.0,121.0,9.7881211764,122.0,10.905447734500001,,,,
50,growth__10h,8.38803654325,4.853424663515715,2.0,123.0,11.8199260348,124.0,4.9561470517,,,,
51,mutants__WT,0.0,0.5171841763224734,2.0,125.0,-0.36570443820000004,126.0,0.36570443820000004,,,,
52,mutants__R7,3.4413371554500003,0.44855400681884194,2.0,127.0,3.1241615755,128.0,3.7585127354,,,,
53,mutants__gacA,-0.10453918965,0.23989519060381934,2.0,129.0,0.0650923264,130.0,-0.2741707057,,,,
54,vacJ_LL-37__WT,0.0,1.228512409741442,2.0,131.0,-0.8686894557,132.0,0.8686894557,,,,
55,vacJ_LL-37__WT+LL-37,-0.1111833292,0.028912810969926737,2.0,133.0,-0.1316277739,134.0,-0.0907388845,,,,
56,vacJ_LL-37__vacJ,-3.7957624523,1.7071271289103074,2.0,135.0,-5.0028836215,136.0,-2.5886412831,,,,
57,vacJ_LL-37__vacJ+LL-37,-1.52575387015,0.3938868642761911,2.0,137.0,-1.8042739429,138.0,-1.2472337974,,,,
