,40
AB0057_PGcoculture__PGAB__1.0,8.7649061239
AB0057_PGcoculture__PGAB__2.0,6.6266613145
AB0057_PGcoculture__PGAB__3.0,6.8386731815
AB0057_PGcoculture__AB __1.0,-0.48620728360000004
AB0057_PGcoculture__AB __2.0,0.011050209200000001
AB0057_PGcoculture__AB __3.0,0.0430939012
AB0057_PGcoculture__AB __4.0,0.4320631733
AB0057_PGcoculture__ABPG__1.0,3.4632278614
AB0057_PGcoculture__ABPG__2.0,3.3837526423
AB0057_PGcoculture__ABPG__3.0,2.0628750608
AB0057_PGcoculture__ABPG__4.0,3.198139481
AB5075_AZI__AZI_000__1.0,0.0977065698
AB5075_AZI__preculture__1.0,14.7455906388
AB5075_AZI__preculture__2.0,14.7221119101
AB5075_AZI__AZI_040__1.0,9.0264383783
AB5075_AZI__AZI_028__1.0,10.7277106112
AB5075_AZI__AZI_003__1.0,0.9516704873
AB5075_AZI__AZI_000__2.0,-0.0977065698
AB5075_AZI__AZI_040__2.0,9.497340458
AB5075_AZI__AZI_028__2.0,11.5352898607
AB5075_AZI__AZI_003__2.0,1.2137152214
AB5075_VIR-O_AV-T__AV-T/vector__1.0,1.4574601506
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,-0.1861846338
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,0.2828756026
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-0.0966909688
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,3.2320345442
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,4.4526193353
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,3.5976468195
AB5075_VIR-O_AV-T__AV-T/vector__2.0,1.6357199034
AB5075_VIR-O_AV-T__AV-T/vector__3.0,2.7271030823
AB5075_VIR-O_LSO__VIR-O__1.0,-0.0393207108
AB5075_VIR-O_LSO__LSO__1.0,0.08678138710000001
AB5075_VIR-O_LSO__VIR-O__2.0,0.2883994912
AB5075_VIR-O_LSO__LSO__2.0,1.3663003754
AB5075_VIR-O_LSO__VIR-O__3.0,-0.2490787804
AB5075_VIR-O_LSO__LSO__3.0,-2.0934126292
AB5075_Zinc__Control__1.0,-0.5606946464
AB5075_Zinc__Control__2.0,0.9089505915
AB5075_Zinc__Control__3.0,-0.348255945
AB5075_Zinc__Zinc__1.0,6.8975961048
AB5075_Zinc__Zinc__2.0,7.6552614864
AB5075_biofilm+abx__planktonic__1.0,1.0649401138
AB5075_biofilm+abx__planktonic__2.0,-0.9529569821
AB5075_biofilm+abx__biofilm__1.0,0.6285010701
AB5075_biofilm+abx__planktonic__3.0,-0.1119831317
AB5075_biofilm+abx__biofilm__2.0,-1.0410459195
AB5075_biofilm+abx__biofilm__3.0,-0.42231435850000004
AB5075_biofilm+abx__cip_biofilm__1.0,-5.1822517412
AB5075_biofilm+abx__cip_biofilm__2.0,-0.3157974974
AB5075_biofilm+abx__tet_biofilm__1.0,-2.2432192884
AB5075_biofilm+abx__cip_biofilm__3.0,-4.0572035161
AB5075_biofilm+abx__tet_biofilm__2.0,-4.2326205408
AB5075_biofilm+abx__tet_biofilm__3.0,-4.2442501617
AB5075_gigAB__kan_gigB__1.0,-7.9657044317
AB5075_gigAB__kan_gigB__2.0,-8.9953217495
AB5075_gigAB__kan_gigB__3.0,-11.2595253915
AB5075_gigAB__gigB__1.0,-6.9847065375
AB5075_gigAB__gigB__2.0,-10.2393556922
AB5075_gigAB__gigB__3.0,-16.4819843604
AB5075_gigAB__kan_gigA__1.0,-12.6238998347
AB5075_gigAB__kan_gigA__2.0,-12.8290969885
AB5075_gigAB__kan_gigA__3.0,-9.8701505461
AB5075_gigAB__gigA__1.0,-10.8843821468
AB5075_gigAB__gigA__2.0,-8.0860824196
AB5075_gigAB__gigA__3.0,-6.1363719806
AB5075_gigAB__kan_WT__1.0,-2.4697853504
AB5075_gigAB__kan_WT__2.0,-1.7250102326999999
AB5075_gigAB__kan_WT__3.0,-2.4803456345
AB5075_gigAB__WT__1.0,0.4984734498
AB5075_gigAB__WT__2.0,1.6520732689000002
AB5075_gigAB__WT__3.0,-2.1505467187
AB5075_med__CA-MHB__1.0,6.0934098322
AB5075_med__CA-MHB__2.0,11.282115589
AB5075_med__CA-MHB_pH6__1.0,11.498204101
AB5075_med__CA-MHB_pH6__2.0,-0.4185820631
AB5075_med__RPMI+_pH7__1.0,-1.733909616
AB5075_med__RPMI+_pH7__2.0,-3.4327878038
