,A,AbaM
R2,,0.02991203467518677
xmin,,-5.1706580062
xmid,,
xmax,,3.0449946243
ystart,,-6.158833966154086
yend,,1.6028325557908052
AB0057_PGcoculture__PGAB__1.0,-0.41283827970000003,0.5026040931
AB0057_PGcoculture__PGAB__2.0,0.14276910950000002,0.5203073583
AB0057_PGcoculture__PGAB__3.0,1.5950047914,0.2272040563
AB0057_PGcoculture__AB __1.0,-0.5761082227000001,0.1682312932
AB0057_PGcoculture__AB __2.0,0.24681354330000002,0.0348464266
AB0057_PGcoculture__AB __3.0,-0.26651481390000004,0.1083248488
AB0057_PGcoculture__AB __4.0,0.5958094933,-0.3114025686
AB0057_PGcoculture__ABPG__1.0,2.3058136374,-0.8163337793000001
AB0057_PGcoculture__ABPG__2.0,2.2877310493,-1.1675504765
AB0057_PGcoculture__ABPG__3.0,-0.3382635918,0.1903859837
AB0057_PGcoculture__ABPG__4.0,1.5189371919,-1.0535721429
AB5075_AZI__AZI_000__1.0,-0.031021200500000002,-0.0345463307
AB5075_AZI__preculture__1.0,-0.18493888390000002,-0.9726137458
AB5075_AZI__preculture__2.0,-0.0635555553,-0.589138951
AB5075_AZI__AZI_040__1.0,8.5090511872,0.1844085727
AB5075_AZI__AZI_028__1.0,4.2723499480000005,0.4498393412
AB5075_AZI__AZI_003__1.0,0.20477709090000001,-0.3413144929
AB5075_AZI__AZI_000__2.0,0.031021200500000002,0.0345463307
AB5075_AZI__AZI_040__2.0,8.2227343453,-0.1727263157
AB5075_AZI__AZI_028__2.0,3.24902963,0.4222683867
AB5075_AZI__AZI_003__2.0,-0.41690012730000003,-0.32233687050000004
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-1.6172629966,-0.17513569410000002
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,1.6907207102,0.20346273480000002
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,-0.27505148630000004,-0.5007556414000001
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-1.4156692239,0.2972929066
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,0.5538483441000001,-0.7950550018
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,-1.3403503328,-0.5569463708
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,-1.382948344,-0.0090806486
AB5075_VIR-O_AV-T__AV-T/vector__2.0,1.4041926374,-0.2527644854
AB5075_VIR-O_AV-T__AV-T/vector__3.0,-0.4398188525,0.2794694082
