k,name,in_iM,gene_weight,regulator,function,category
22,stringent response,False,0.024918415077403926,stringent response,,Cellular Processes
0,S-box,False,-0.018414825592768302,S-box,,AA/Nucleotide Metabolism
51,uncharacterized-4,False,-0.0180570974078647,,,Uncharacterized
24,PhoP,False,-0.01598783770854574,PhoP,,Misc. Metabolism
33,SwrA,False,-0.01491642901522688,SwrA,,Lifestyles
45,LnrK,False,0.013617402674961428,LnrK,,Cellular Processes
67,KipR,False,-0.01341593435740449,KipR,,Misc. Metabolism
69,putative-cssRS,False,0.01296506593351932,,,Lifestyles
43,FruR,False,-0.011259472420891887,FruR,,Carbon Metabolism
46,DegU,False,0.009544561994839482,DegU,,Other
17,SG_1,False,0.00865275243684983,,,Single Gene
11,EAR riboswitch,False,-0.008566603848355394,EAR riboswitch,,Lifestyles
55,ResD,False,0.008487397893228077,ResD,,Misc. Metabolism
20,SG_2,False,-0.008423934059588576,,,Single Gene
5,Fnr,False,-0.00813706024277289,Fnr,,Misc. Metabolism
48,Fur,False,-0.007787509802782722,Fur,,Homeostasis
50,CcpN,False,-0.007448671371955628,CcpN,,Cellular Processes
52,ykzB-related,False,-0.006832304534218543,,,Lifestyles
54,G-box,False,-0.006305184744022251,G-box,,AA/Nucleotide Metabolism
62,SG_5,False,0.0062095248625936355,,,Single Gene
8,SPbeta-1,False,0.0057893282649529474,,,Prophages
13,PyrR,False,-0.005721234885503821,PyrR,,AA/Nucleotide Metabolism
71,yxi-operon,False,0.0055073630427281105,,,Other
66,CcpA-2,False,0.0054199399594864976,CcpA,,Carbon Metabolism
65,AbrB,False,-0.005270955210266332,AbrB,,Lifestyles
12,SigB-1,False,-0.0052545659722319565,SigB,,Stress Response
47,Xre/Xpf,False,-0.005241783544450356,Xre/Xpf,,Prophages
1,uncharacterized-1,False,-0.004990964680178953,,,Uncharacterized
29,MtlR,False,-0.0049781893917198025,MtlR,,Carbon Metabolism
23,SG_3,False,-0.004792603361788096,,,Single Gene
32,TnrA-2,False,0.0044342568760132785,TnrA,,AA/Nucleotide Metabolism
61,early-biofilm,False,-0.004302434983974064,,,Lifestyles
10,SigM,False,0.004066275465141472,SigM,,Stress Response
44,AcoR,False,-0.003815809755627197,AcoR,,Carbon Metabolism
28,YlxR-1,False,-0.003634168443843461,YlxR,,AA/Nucleotide Metabolism
56,SigW,False,0.0034532651753763715,SigW,,Stress Response
31,SigD,False,0.003369042015840228,SigD,,Lifestyles
59,GlpP,False,0.003167862178308829,GlpP,,Carbon Metabolism
6,ybc-operon,False,0.0031355298353781392,,,Prophages
39,Thi-box,False,0.003126335676395237,Thi-box,,Misc. Metabolism
63,MntR,False,-0.002959852328038052,MntR,,Homeostasis
70,uncharacterized-6,False,0.002944104989105821,,,Uncharacterized
16,ManR,False,-0.0028940292729965783,ManR,,Carbon Metabolism
41,SPbeta-2,False,0.0028361811785511,,,Prophages
27,TnrA-1,False,-0.0026980515102537463,TnrA,,AA/Nucleotide Metabolism
64,FapR,False,0.002541953686355769,FapR,,Misc. Metabolism
57,SigE,False,-0.0025261935205689967,SigE,,Lifestyles
35,ComA,False,-0.002335679493018587,ComA,,Cellular Processes
2,WalR,False,0.002327487896507236,WalR,,Cellular Processes
36,SigK,False,-0.002090808608164326,SigK,,Lifestyles
37,SigI,False,-0.0020386884603271326,SigI,,Stress Response
60,YonO-2,False,-0.001997526710874335,YonO,,Prophages
15,CodY,False,0.0019870707656769147,CodY,,AA/Nucleotide Metabolism
4,Rex,False,0.0019364240190021872,Rex,,Misc. Metabolism
18,CymR-1,False,0.0016958937576345716,CymR,,AA/Nucleotide Metabolism
9,uncharacterized-3,False,0.001660732512182905,,,Uncharacterized
7,YvaF,False,0.001563564440990067,,,Other
34,YlxR-2,False,0.0014697713962044544,YlxR,,AA/Nucleotide Metabolism
68,uncharacterized-5,False,-0.001462320244105127,,,Uncharacterized
40,ComK/LevR/NusA,False,0.0014046883884194401,ComK/LevR/NusA,,Cellular Processes
14,SigV,False,0.0012968830047529046,SigV,,Stress Response
42,SigB-3,False,-0.0012637555870305894,SigB,,Stress Response
26,YonO-1,False,0.0010462654243843497,YonO,,Prophages
19,carbon metabolism/skin element,False,0.0009715836383500148,,,Carbon Metabolism
53,SG_4,False,0.0008903884631846976,,,Single Gene
30,ImmR,False,-0.0007860517937778061,ImmR,,Cellular Processes
49,CcpA-1,False,0.0006606812698867941,CcpA,,Carbon Metabolism
21,CymR-2,False,0.0005855326626058888,CymR,,Misc. Metabolism
58,Rok,False,-0.0004573556472457528,Rok,,Cellular Processes
38,Zur,False,0.00044239639729248896,Zur,,Homeostasis
3,uncharacterized-2,False,-0.0003158618177369338,,,Uncharacterized
25,SigB-2,False,3.4737253497147605e-06,SigB,,Stress Response
