locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
BSU_23616,0.1498380214943585,mciZ,cell division inhibitor,No COG annotation,Op1893,SigE,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_23616
BSU_01790,0.14684084070685074,ybbU,hypothetical protein,No COG annotation,Op134,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01790
BSU_27786,0.12802993925825418,BSU_27786,hypothetical protein,No COG annotation,Op2223,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27786
BSU_21638,0.1269399612965116,BSU_21638,hypothetical protein%3B phage SPbeta,No COG annotation,Op1736,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21638
BSU_31725,0.1239328265305031,BSU_31725,hypothetical protein,No COG annotation,Op2494,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31725
BSU_20690,0.121284335080657,yoqB,conserved hypothetical protein%3B phage SPbeta,No COG annotation,Op1636,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_20690
BSU_31720,0.1180936674664987,degQ,pleiotropic regulator,No COG annotation,Op2493,"SigA,ComA,DegU",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31720
BSU_12672,0.11645598176636075,xkzB,phage PBSX%3B conserved hypothetical protein,No COG annotation,Op982,Xpf,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12672
BSU_40460,0.11365960772662087,yyzB,conserved protein of unknown function,No COG annotation,Op3102,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_40460
BSU_05899,0.11035011376393652,ydhUn,Mn catalase fragment%3B N-terminal part of YhdU,Inorganic ion transport and metabolism,Op460,Fur,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_05899
BSU_22869,0.1076386872204714,ypzI,putative sporulation-related protein,Function unknown,Op1841,"SigG,SigF",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_22869
BSU_22000,0.1025491899811266,sspL,small acid-soluble spore protein,No COG annotation,Op1774,SigG,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_22000
