sample,BSU04160
LBexp_1,10.4209
LBexp_2,10.4373
LBexp_3,10.3174
LBtran_1,11.0114
LBtran_2,10.1351
LBtran_3,10.0322
LBstat_1,10.7512
LBstat_2,10.5899
LBstat_3,10.5509
LBGexp_1,9.8312
LBGexp_2,8.5442
LBGexp_3,9.5084
LBGtran_2,8.5067
LBGtran_3,8.4791
LBGstat_1,8.7212
LBGstat_2,8.4938
LBGstat_3,8.3869
S0_1,12.5606
S0_2,11.8596
S0_3,11.655
S1_1,10.8199
S1_2,10.8926
S1_3,11.0913
S2_1,11.1475
S2_2,10.9644
S2_3,10.8531
S3_1,10.7911
S3_2,10.6662
S4_1,10.8862
S4_2,10.9846
S4_3,10.528
S5_1,11.0912
S5_2,11.4042
S5_3,11.4047
S6_1,11.0446
S6_2,10.6045
S6_3,11.0489
S6/t_1,11.0099
S6/t_2,9.9622
S6_4,10.0118
S6_5,10.5314
S6_6,10.4724
S7_4,10.4737
S7_5,10.392
S7_6,10.3652
S8_4,10.2451
S8_5,10.1783
G135_1,11.3034
G135_3,9.4376
G150_1,10.8545
G150_2,10.1916
G150_3,11.5786
G180_1,9.8299
G180_2,10.1745
G180_3,9.6933
C30_1,9.2179
C30_2,9.4931
C90_1,8.5534
C90_2,8.6
BI_1,11.0196
BI_2,11.0055
BC_2,12.4473
BC/t_1,11.9897
BC/t_2,12.248
BC_1,12.0032
Sw_1,12.2062
Sw_2,12.6928
BT_1,9.3941
BT_2,8.8428
B36_1,9.7114
B36_2,9.2843
B60_1,10.7627
B60_2,10.4894
M9exp_1,9.126
M9exp_2,8.8799
M9exp_3,8.671
M9tran_1,9.4646
M9tran_2,9.356
M9tran_3,9.5757
M9stat_1,9.792
M9stat_2,9.445
M9stat_3,9.3109
M+G_1,9.3482
M+G_2,9.1854
M+G_3,9.0586
Glu_1,9.8042
Glu_2,10.136
Glu_3,9.8961
Fru_1,9.9181
Fru_2,10.4367
Fru_3,9.7346
Mal_1,10.4468
Mal_2,10.0113
Mal_3,10.3462
G+S_2,10.7189
G+S_3,10.5948
Pyr_1,9.9666
Pyr_2,10.6856
Pyr_3,10.4656
Gly_1,10.1173
Gly_2,10.7706
Gly_3,9.8393
Glucon_1,9.9081
Glucon_2,10.4822
Glucon_3,9.8303
aero_1,9.6996
aero_2,8.555
aero_3,9.4033
nit_1,9.9049
nit_2,9.9075
nit_3,9.8302
ferm_1,9.6243
ferm_2,9.6917
ferm_3,10.390999999999998
T-5.40H_1,9.9146
T-4.40H_1,9.9491
T-3.40H_1,9.9393
T-2.40H_1,9.8427
T-1.40H_1,9.5522
T-1.10H_1,9.5725
T-0.40H_1,9.363
T0.0H_1,10.1075
T0.30H_1,10.5673
T1.0H_1,10.0276
T1.30H_1,10.1327
T2.0H_1,10.0503
T2.30H_1,10.802
T3.0H_1,10.2758
T3.30H_1,10.6708
T4.0H_1,10.6332
T5.0H_1,10.1099
HPh_1,9.3367
HPh_2,9.0173
HPh_3,9.2294
LPh_1,9.2131
LPh_2,9.4886
LPh_3,9.1558
LPhT_1,8.9803
