,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,M9__M9exp,8.242333333333333,0.9889891421716078,3.0,0.0,8.9112,1.0,8.7095,2.0,7.1063,,,,,,,,,,
1,M9__M9tran,8.626533333333333,1.8829682958917109,3.0,3.0,7.475,4.0,7.6051,5.0,10.7995,,,,,,,,,,
2,M9__M9stat,8.1517,0.5837077093888685,3.0,6.0,8.8172,7.0,7.9114,8.0,7.7265,,,,,,,,,,
3,Carbon Transition__MG-0.1,9.868,3.5624642328029066,3.0,9.0,13.8404,10.0,8.8071,11.0,6.9565,,,,,,,,,,
4,Carbon Transition__MG-0.2,8.2874,1.2787319030977518,2.0,12.0,9.1916,13.0,7.3832,,,,,,,,,,,,
5,Carbon Transition__MG+5,10.221966666666667,3.06047832917231,3.0,14.0,13.538,15.0,9.622,16.0,7.5059,,,,,,,,,,
6,Carbon Transition__MG+10,10.268666666666666,3.10145809633684,3.0,17.0,13.5663,18.0,9.8295,19.0,7.4102,,,,,,,,,,
7,Carbon Transition__MG+15,10.0145,2.874668045183652,3.0,20.0,12.8108,21.0,10.1653,22.0,7.0674,,,,,,,,,,
8,Carbon Transition__MG+25,9.628766666666666,2.966727244512601,3.0,23.0,12.8365,24.0,9.0662,25.0,6.9836,,,,,,,,,,
9,Carbon Transition__MG+45,9.084266666666666,2.3356042308861604,3.0,26.0,11.6549,27.0,8.5053,28.0,7.0926,,,,,,,,,,
10,Carbon Transition__MG+60,7.9373000000000005,0.8594175818541298,2.0,29.0,8.545,30.0,7.3296,,,,,,,,,,,,
11,Carbon Transition__MG+90,7.11535,0.464357023205205,2.0,31.0,7.4437,32.0,6.787000000000001,,,,,,,,,,,,
12,Carbon Transition__MG+120,8.109666666666667,1.2957827762913563,3.0,33.0,9.5652,34.0,7.6821,35.0,7.0817,,,,,,,,,,
13,Carbon Transition__MG+150,8.20435,1.403536249977178,2.0,36.0,9.1968,37.0,7.2119,,,,,,,,,,,,
14,Carbon Transition__GM-0.1,7.572033333333334,0.1829502755759971,3.0,38.0,7.7134,39.0,7.3654,40.0,7.6373,,,,,,,,,,
15,Carbon Transition__GM-0.2,7.668533333333333,0.5479658231434996,3.0,41.0,8.1763,42.0,7.7416,43.0,7.0877,,,,,,,,,,
16,Carbon Transition__GM+5,7.238266666666667,0.5405403068535533,3.0,44.0,7.7148,45.0,6.6509,46.0,7.3491,,,,,,,,,,
17,Carbon Transition__GM+10,6.85565,0.14078496013424133,2.0,47.0,6.7561,48.0,6.9552,,,,,,,,,,,,
18,Carbon Transition__GM+15,7.323466666666666,0.33432293270628854,3.0,49.0,7.7095,50.0,7.1281,51.0,7.1328,,,,,,,,,,
19,Carbon Transition__GM+25,7.4602,0.4313907277631265,3.0,52.0,7.9082,53.0,7.0476,54.0,7.4248,,,,,,,,,,
20,Carbon Transition__GM+45,7.495666666666666,0.8907415581038827,3.0,55.0,8.1147,56.0,6.4748,57.0,7.8975,,,,,,,,,,
21,Carbon Transition__GM+60,7.4422999999999995,0.335769131993994,3.0,58.0,7.7693,59.0,7.0984,60.0,7.4592,,,,,,,,,,
22,Carbon Transition__GM+90,7.686800000000001,0.044803013291519075,3.0,61.0,7.6423,62.0,7.7319,63.0,7.6862,,,,,,,,,,
23,Carbon Transition__GM+120,8.174,0.05982123368838192,2.0,64.0,8.1317,65.0,8.2163,,,,,,,,,,,,
24,Carbon Transition__GM+150,7.709633333333333,0.2398025090221815,3.0,66.0,7.9488,67.0,7.4692,68.0,7.7109,,,,,,,,,,
25,Life Cycle__BT,16.41105,0.016758430714119803,2.0,69.0,16.4229,70.0,16.3992,,,,,,,,,,,,
26,Life Cycle__B36,16.0866,0.3221578495085901,2.0,71.0,16.3144,72.0,15.8588,,,,,,,,,,,,
27,Life Cycle__B60,13.639600000000002,0.4046065001949429,2.0,73.0,13.3535,74.0,13.9257,,,,,,,,,,,,
28,Life Cycle__S0,10.873033333333334,0.17514200904789595,3.0,75.0,10.909,76.0,11.0274,77.0,10.6827,,,,,,,,,,
29,Life Cycle__S1,10.984000000000002,0.4576707003949454,3.0,78.0,11.0126,79.0,11.4267,80.0,10.5127,,,,,,,,,,
30,Life Cycle__S2,10.719433333333333,0.35993647124643185,3.0,81.0,10.9772,82.0,10.8729,83.0,10.3082,,,,,,,,,,
31,Life Cycle__S3,9.88255,0.20272751416618298,2.0,84.0,9.7392,85.0,10.0259,,,,,,,,,,,,
32,Life Cycle__S4,9.829033333333333,0.7969830884864079,3.0,86.0,9.7332,87.0,10.6696,88.0,9.0843,,,,,,,,,,
33,Life Cycle__S5,9.467033333333333,0.6355116862287696,3.0,89.0,9.225,90.0,10.188,91.0,8.9881,,,,,,,,,,
34,Life Cycle__S6,12.873962500000001,1.2565833767317511,8.0,92.0,11.9928,93.0,12.2045,94.0,13.3125,95.0,11.7375,96.0,11.1452,97.0,14.4287,98.0,14.1314,99.0,14.0391
35,Life Cycle__S7,15.645733333333332,0.5845433203222264,3.0,100.0,16.2518,101.0,15.6,102.0,15.0854,,,,,,,,,,
36,Life Cycle__S8,16.28085,0.11122789668064345,2.0,103.0,16.2022,104.0,16.3595,,,,,,,,,,,,
37,Life Cycle__G135,8.293800000000001,0.06194255403194165,2.0,105.0,8.3376,106.0,8.25,,,,,,,,,,,,
38,Life Cycle__G150,8.0192,0.5801770677991334,3.0,107.0,7.9935,108.0,7.4523,109.0,8.6118,,,,,,,,,,
39,Life Cycle__G180,7.978133333333332,0.3818596775431171,3.0,110.0,8.1594,111.0,7.5394,112.0,8.2356,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,7.8243,,1.0,113.0,7.8243,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,7.8035,,1.0,114.0,7.8035,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,7.4662,,1.0,115.0,7.4662,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,7.3179,,1.0,116.0,7.3179,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,7.2171,,1.0,117.0,7.2171,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,6.8689,,1.0,118.0,6.8689,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,6.9472,,1.0,119.0,6.9472,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,6.8828,,1.0,120.0,6.8828,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,7.6898,,1.0,121.0,7.6898,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,7.2951,,1.0,122.0,7.2951,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,7.7486,,1.0,123.0,7.7486,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,8.0038,,1.0,124.0,8.0038,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,7.6139,,1.0,125.0,7.6139,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,7.4546,,1.0,126.0,7.4546,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,7.9296,,1.0,127.0,7.9296,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,7.7821,,1.0,128.0,7.7821,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,7.8505,,1.0,129.0,7.8505,,,,,,,,,,,,,,
57,LB__LBexp,7.126133333333333,0.07074470533780808,3.0,130.0,7.0452,131.0,7.1762,132.0,7.157,,,,,,,,,,
58,LB__LBtran,7.1985,0.1386532725902998,3.0,133.0,7.2777,134.0,7.0384,135.0,7.2794,,,,,,,,,,
59,LB__LBstat,7.3212,0.18148793348319345,3.0,136.0,7.1141,137.0,7.397,138.0,7.4525,,,,,,,,,,
60,LB__LBGexp,7.0825000000000005,0.11355760652637947,3.0,139.0,6.9638,140.0,7.1901,141.0,7.0936,,,,,,,,,,
61,LB__LBGtran,7.50445,0.04221427483683711,2.0,142.0,7.5343,143.0,7.4746,,,,,,,,,,,,
62,LB__LBGstat,7.400566666666667,0.24836107451316394,3.0,144.0,7.2886,145.0,7.2279,146.0,7.6852,,,,,,,,,,
63,Stress Time Course__Mt0,7.27425,0.13286536418495223,2.0,147.0,7.1803,148.0,7.3682,,,,,,,,,,,,
64,Stress Time Course__M0t45,7.242566666666668,0.20982598345613274,3.0,149.0,7.0738,150.0,7.4775,151.0,7.1764,,,,,,,,,,
65,Stress Time Course__M0t90,7.166033333333334,0.2546325653433458,3.0,152.0,7.3967,153.0,6.8928,154.0,7.2086,,,,,,,,,,
66,Stress Time Course__M40t45,7.176533333333334,0.22469958463097614,3.0,155.0,7.3283,156.0,7.2829,157.0,6.9184,,,,,,,,,,
67,Stress Time Course__M40t90,7.089266666666667,0.17949123469777967,3.0,158.0,7.0519,159.0,6.9314,160.0,7.2845,,,,,,,,,,
68,Stress Time Course__dia0,6.849933333333333,0.21716561268610945,3.0,161.0,6.949,162.0,6.9999,163.0,6.6009,,,,,,,,,,
69,Stress Time Course__dia5,7.209966666666666,0.16503012856243376,3.0,164.0,7.1882,165.0,7.3848,166.0,7.0569,,,,,,,,,,
70,Stress Time Course__dia15,7.188199999999999,0.1430742464596614,3.0,167.0,7.0674,168.0,7.151,169.0,7.3462,,,,,,,,,,
