,BSU40140
M9exp_1,14.1392
M9exp_2,13.6411
M9exp_3,13.4785
M9tran_1,14.2598
M9tran_2,14.3859
M9tran_3,14.8074
M9stat_1,11.3857
M9stat_2,11.5895
M9stat_3,11.4088
MG-0.1_1,12.4271
MG-0.1_2,11.2095
MG-0.1_3,12.7478
MG-0.2_2,11.8782
MG-0.2_3,12.19
MG+5_1,12.5427
MG+5_2,12.0387
MG+5_3,12.2392
MG+10_1,13.3279
MG+10_2,12.2697
MG+10_3,10.8993
MG+15_1,12.794
MG+15_2,13.3273
MG+15_3,12.7961
MG+25_1,13.4437
MG+25_2,12.3525
MG+25_3,13.1806
MG+45_1,13.4564
MG+45_2,11.7819
MG+45_3,13.2428
MG+60_2,12.3979
MG+60_3,12.219
MG+90_2,12.3056
MG+90_3,13.5345
MG+120_1,12.6537
MG+120_2,14.2941
MG+120_3,13.7522
MG+150_1,14.3506
MG+150_3,14.3639
GM-0.1_1,12.6375
GM-0.1_2,13.1356
GM-0.1_3,13.9612
GM-0.2_1,12.2059
GM-0.2_2,12.8459
GM-0.2_3,13.7303
GM+5_1,12.9798
GM+5_2,12.6572
GM+5_3,13.5469
GM+10_2,12.3417
GM+10_3,12.2796
GM+15_1,12.7852
GM+15_2,12.4428
GM+15_3,13.2423
GM+25_1,13.6594
GM+25_2,13.1162
GM+25_3,12.7451
GM+45_1,13.7162
GM+45_2,12.0193
GM+45_3,12.5564
GM+60_1,13.8424
GM+60_2,12.0589
GM+60_3,12.7226
GM+90_1,14.1361
GM+90_2,13.7934
GM+90_3,14.1412
GM+120_1,12.7238
GM+120_3,14.1935
GM+150_1,14.8946
GM+150_2,14.0609
GM+150_3,14.8949
BT_1,11.5144
BT_2,11.0709
B36_1,12.3488
B36_2,12.3629
B60_1,12.6079
B60_2,12.7789
S0_1,12.1517
S0_2,12.2244
S0_3,11.4778
S1_1,14.4903
S1_2,14.0712
S1_3,14.0637
S2_1,13.8068
S2_2,13.5557
S2_3,13.1286
S3_1,13.329
S3_2,12.9373
S4_1,12.6544
S4_2,11.8431
S4_3,11.6358
S5_1,11.6431
S5_2,11.5485
S5_3,11.7101
S6_1,10.5855
S6_2,9.0102
S6_3,10.6011
S6/t_1,10.2835
S6/t_2,8.4958
S6_4,9.7697
S6_5,10.3006
S6_6,10.6349
S7_4,10.8678
S7_5,10.5193
S7_6,10.824000000000002
S8_4,10.2429
S8_5,10.3857
G135_1,10.4243
G135_3,9.0959
G150_1,10.8031
G150_2,10.8636
G150_3,10.7514
G180_1,9.9572
G180_2,10.0989
G180_3,9.8564
T-5.40H_1,14.6845
T-4.40H_1,14.7835
T-3.40H_1,15.0039
T-2.40H_1,14.8378
T-1.40H_1,14.6673
T-1.10H_1,14.3882
T-0.40H_1,14.8468
T0.0H_1,14.6826
T0.30H_1,12.7632
T1.0H_1,12.309
T1.30H_1,11.9639
T2.0H_1,11.7087
T2.30H_1,12.7856
T3.0H_1,12.0311
T3.30H_1,12.4893
T4.0H_1,12.5082
T5.0H_1,11.6094
LBexp_1,11.3439
LBexp_2,11.8572
LBexp_3,11.8495
LBtran_1,11.9711
LBtran_2,12.1158
LBtran_3,11.759
LBstat_1,12.1107
LBstat_2,11.7592
LBstat_3,11.4648
LBGexp_1,11.5262
LBGexp_2,10.8329
LBGexp_3,11.449000000000002
LBGtran_2,10.3312
LBGtran_3,10.6802
LBGstat_1,9.0963
LBGstat_2,9.6162
LBGstat_3,9.5826
Mt0_1,11.544
Mt0_3,11.768
M0t45_1,11.5356
M0t45_2,12.4707
M0t45_3,12.2434
M0t90_1,10.303
M0t90_2,11.992
M0t90_3,11.4001
M40t45_1,11.5307
M40t45_2,12.9129
M40t45_3,12.4156
M40t90_1,10.8307
M40t90_2,11.9934
M40t90_3,11.8612
dia0_1,11.6311
dia0_2,12.1287
dia0_3,11.4569
dia5_1,10.6991
dia5_2,11.9874
dia5_3,11.425999999999998
dia15_1,11.1187
dia15_2,11.7382
dia15_3,10.3872
C30_1,10.9495
C30_2,11.1285
C90_1,12.3267
C90_2,11.9348
SMM_1,14.3075
SMM_2,14.5804
SMM_3,14.6602
Salt_1,13.5537
Salt_2,13.7699
Salt_3,13.9978
M+G_1,14.4603
M+G_2,14.286
M+G_3,14.2968
Glu_1,14.1094
Glu_2,13.7764
Glu_3,13.91
Fru_1,12.2159
Fru_2,15.2803
Fru_3,13.8285
Mal_1,13.8527
Mal_2,13.52
Mal_3,13.5023
G+S_2,14.4212
G+S_3,14.2129
Pyr_1,13.3531
Pyr_2,14.4039
Pyr_3,14.119000000000002
Gly_1,10.7131
Gly_2,12.1618
Gly_3,10.7049
Glucon_1,12.5588
Glucon_2,12.9247
Glucon_3,10.5893
BI_1,12.755999999999998
BI_2,12.823
BC_2,12.046
BC/t_1,11.642
BC/t_2,12.0209
BC_1,11.6715
Sw_1,10.743
Sw_2,11.2642
BMM_1,13.2879
BMM_2,13.0293
BMM_3,13.0956
Heat_1,13.7136
Heat_2,12.9003
Heat_3,13.1364
Cold_1,14.1162
Cold_2,14.1115
Cold_3,13.5016
Etha_1,9.9714
Etha_2,10.7178
Etha_3,10.4852
SMMPr_1,14.5704
SMMPr_2,14.7664
SMMPr_3,15.1266
HiTm_1,12.7091
HiTm_2,13.3606
HiTm_3,13.604
LoTm_1,14.8543
LoTm_2,14.1464
LoTm_3,14.251
HiOs_1,14.319
HiOs_2,14.3096
HiOs_3,14.556
Oxctl_1,10.6205
Oxctl_2,10.6199
Oxctl_3,11.6985
Diami_1,9.3515
Diami_2,9.9804
Diami_3,9.6398
Paraq_1,10.4262
Paraq_2,11.3946
Paraq_3,9.6161
H2O2_1,10.9726
H2O2_2,11.2858
H2O2_3,10.6758
HPh_1,13.0798
HPh_2,12.3279
HPh_3,12.7789
LPh_1,12.3671
LPh_2,12.7722
LPh_3,12.5103
LPhT_1,12.6606
LPhT_2,12.5706
LPhT_3,12.9703
aero_1,14.5849
aero_2,15.0419
aero_3,14.8816
nit_1,14.9245
nit_2,15.378
nit_3,14.6913
ferm_1,14.7766
ferm_2,14.1753
ferm_3,14.7309
