,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,-0.005133333333331436,0.12911438081535856,3.0,0.0,0.11720000000000219,1.0,0.007500000000002061,2.0,-0.14009999999999856,,,,,,,,,,
1,LB__LBtran,-0.022966666666665247,0.1301332137977595,3.0,3.0,-0.17049999999999876,4.0,0.07550000000000168,5.0,0.026100000000001344,,,,,,,,,,
2,LB__LBstat,-0.34066666666666556,0.2661112611922563,3.0,6.0,-0.04609999999999914,7.0,-0.41219999999999857,8.0,-0.563699999999999,,,,,,,,,,
3,LB__LBGexp,-0.35476666666666407,0.20045000207865638,3.0,9.0,-0.5551999999999975,10.0,-0.35479999999999734,11.0,-0.15429999999999744,,,,,,,,,,
4,LB__LBGtran,0.17270000000000163,0.3852317743904314,2.0,12.0,-0.09969999999999857,13.0,0.4451000000000018,,,,,,,,,,,,
5,LB__LBGstat,-1.9679999999999982,0.924083096912827,3.0,14.0,-2.572899999999999,15.0,-2.4267999999999983,16.0,-0.9042999999999974,,,,,,,,,,
6,Life Cycle__S0,-0.43476666666666536,0.02574982200585699,3.0,17.0,-0.45729999999999826,18.0,-0.40669999999999895,19.0,-0.4402999999999988,,,,,,,,,,
7,Life Cycle__S1,0.2414000000000017,0.08855184921841,3.0,20.0,0.3332000000000015,21.0,0.1565000000000012,22.0,0.23450000000000237,,,,,,,,,,
8,Life Cycle__S2,-0.43956666666666483,0.23866917130901763,3.0,23.0,-0.30669999999999753,24.0,-0.29689999999999905,25.0,-0.7150999999999978,,,,,,,,,,
9,Life Cycle__S3,0.7710500000000016,0.07728677118368914,2.0,26.0,0.7164000000000019,27.0,0.8257000000000012,,,,,,,,,,,,
10,Life Cycle__S4,1.2553000000000012,0.3494351441970309,3.0,28.0,1.597100000000001,29.0,1.2701000000000011,30.0,0.8987000000000016,,,,,,,,,,
11,Life Cycle__S5,1.1679666666666677,0.1380773816862608,3.0,31.0,1.008700000000001,32.0,1.2540000000000013,33.0,1.241200000000001,,,,,,,,,,
12,Life Cycle__S6,-0.5864999999999985,1.55163947764016,8.0,34.0,0.3774000000000015,35.0,-2.7053999999999974,36.0,0.7913000000000014,37.0,0.1595000000000013,38.0,-3.353399999999999,39.0,-0.39149999999999885,40.0,0.19660000000000188,41.0,0.23350000000000115
13,Life Cycle__S7,-0.268899999999998,0.12356176593105224,3.0,42.0,-0.20379999999999754,43.0,-0.41139999999999866,44.0,-0.19149999999999778,,,,,,,,,,
14,Life Cycle__S8,-1.3947999999999983,1.1300980576923392,2.0,45.0,-0.595699999999999,46.0,-2.1938999999999975,,,,,,,,,,,,
15,Life Cycle__G135,-1.0281499999999983,1.196778227158231,2.0,47.0,-0.18189999999999884,48.0,-1.8743999999999978,,,,,,,,,,,,
16,Life Cycle__G150,-0.08953333333333191,0.172184736063721,3.0,49.0,-0.2796999999999983,50.0,0.055800000000001404,51.0,-0.04469999999999885,,,,,,,,,,
17,Life Cycle__G180,-0.4333333333333318,0.6229312749680606,3.0,52.0,-0.272199999999998,53.0,0.09320000000000128,54.0,-1.1209999999999987,,,,,,,,,,
18,Stress Time Course__C30,-0.34894999999999854,0.033728993462597584,2.0,55.0,-0.372799999999998,56.0,-0.32509999999999906,,,,,,,,,,,,
19,Stress Time Course__C90,-0.15389999999999837,0.20477812383162422,2.0,57.0,-0.2986999999999984,58.0,-0.009099999999998332,,,,,,,,,,,,
20,Biofilm__BI,0.08085000000000164,0.037688791437243074,2.0,59.0,0.1075000000000017,60.0,0.05420000000000158,,,,,,,,,,,,
21,Biofilm__BC,-0.8609999999999984,0.5803581250687662,4.0,61.0,-0.30879999999999797,62.0,-1.3915999999999986,63.0,-0.4114999999999984,64.0,-1.3320999999999987,,,,,,,,
22,Biofilm__Sw,-1.8113499999999982,0.35390694398386746,2.0,65.0,-2.0615999999999985,66.0,-1.561099999999998,,,,,,,,,,,,
23,Life Cycle__BT,-0.8762999999999987,0.36967542520432717,2.0,67.0,-0.6148999999999987,68.0,-1.1376999999999988,,,,,,,,,,,,
24,Life Cycle__B36,-1.9115499999999983,0.017748380207781172,2.0,69.0,-1.8989999999999991,70.0,-1.9240999999999975,,,,,,,,,,,,
25,Life Cycle__B60,-0.7921999999999985,0.4043236574824689,2.0,71.0,-1.0780999999999992,72.0,-0.5062999999999978,,,,,,,,,,,,
26,M9__M9exp,1.1842378929335002e-15,0.3129073824632455,3.0,73.0,0.33340000000000103,74.0,-0.04609999999999914,75.0,-0.28729999999999833,,,,,,,,,,
27,M9__M9tran,-0.2829999999999983,0.220752870876009,3.0,76.0,-0.5030999999999981,77.0,-0.2842999999999982,78.0,-0.061599999999998545,,,,,,,,,,
28,M9__M9stat,-1.9856666666666651,0.5040039318629697,3.0,79.0,-1.4135999999999989,80.0,-2.1790999999999983,81.0,-2.3642999999999983,,,,,,,,,,
29,Supplement__M+G,-0.08789999999999824,0.06381974616057288,3.0,82.0,-0.1374999999999975,83.0,-0.01589999999999847,84.0,-0.11029999999999873,,,,,,,,,,
30,Supplement__Glu,0.30526666666666813,0.15725095654187024,3.0,85.0,0.46220000000000105,86.0,0.14770000000000216,87.0,0.30590000000000117,,,,,,,,,,
31,Supplement__Fru,0.06303333333333445,0.1584511386305989,3.0,88.0,-0.02099999999999902,89.0,0.2458000000000009,90.0,-0.03569999999999851,,,,,,,,,,
32,Supplement__Mal,-0.49463333333333165,0.44137862808855305,3.0,91.0,-0.9128999999999987,92.0,-0.5376999999999974,93.0,-0.033299999999998775,,,,,,,,,,
33,Supplement__G+S,0.022100000000001785,0.32979460274540584,2.0,94.0,-0.2110999999999983,95.0,0.25530000000000186,,,,,,,,,,,,
34,Supplement__Pyr,-0.20033333333333184,0.24766655675188232,3.0,96.0,-0.4822999999999986,97.0,-0.017999999999998906,98.0,-0.10069999999999801,,,,,,,,,,
