,BSU_35550
LBexp_1,0.28190000000000004
LBexp_2,-0.042100000000000005
LBexp_3,-0.13340000000000002
LBtran_1,-0.5538000000000001
LBtran_2,-0.1927
LBtran_3,-0.0339
LBstat_1,0.001
LBstat_2,-0.1019
LBstat_3,-0.0834
LBGexp_1,0.0873
LBGexp_2,-0.0551
LBGexp_3,0.10250000000000001
LBGtran_2,-0.1832
LBGtran_3,0.1207
LBGstat_1,0.1898
LBGstat_2,-0.17070000000000002
LBGstat_3,-0.2253
S0_1,-0.3007
S0_2,-0.19590000000000002
S0_3,-0.0122
S1_1,0.0092
S1_2,0.0233
S1_3,0.10840000000000001
S2_1,0.1517
S2_2,0.055400000000000005
S2_3,-0.0031000000000000003
S3_1,3.6944
S3_2,3.5003
S4_1,3.4438
S4_2,3.2563
S4_3,2.8638
S5_1,3.2014
S5_2,3.2335
S5_3,3.3944
S6_1,2.4437
S6_2,0.6015
S6_3,2.5507
S6/t_1,2.4481
S6/t_2,0.1572
S6_4,2.4048
S6_5,3.0253
S6_6,3.1594
S7_4,2.5789
S7_5,2.3606
S7_6,2.7686
S8_4,1.9444
S8_5,1.2784
G135_1,0.19820000000000002
G135_3,-0.6532
G150_1,0.0201
G150_2,0.3068
G150_3,0.30710000000000004
G180_1,-0.0258
G180_2,0.4988
G180_3,-0.5836
C30_1,0.2281
C30_2,0.47800000000000004
C90_1,0.1502
C90_2,0.40140000000000003
BI_1,0.1585
BI_2,0.8362
BC_2,0.28750000000000003
BC/t_1,-0.014400000000000001
BC/t_2,0.3921
BC_1,-0.061900000000000004
Sw_1,-0.2848
Sw_2,0.2157
BT_1,1.0922
BT_2,0.4691
B36_1,1.5054
B36_2,1.2256
B60_1,1.001
B60_2,0.8776
M9exp_1,0.245
M9exp_2,0.0201
M9exp_3,-0.2651
M9tran_1,-0.1067
M9tran_2,-0.219
M9tran_3,-0.1514
M9stat_1,0.3855
M9stat_2,-0.2669
M9stat_3,-0.5208
M+G_1,0.0329
M+G_2,-0.0279
M+G_3,-0.1932
Glu_1,-0.015600000000000001
Glu_2,0.16820000000000002
Glu_3,0.2092
Fru_1,-0.0733
Fru_2,0.3249
Fru_3,-0.2414
Mal_1,-0.45840000000000003
Mal_2,-0.2267
Mal_3,-0.07730000000000001
G+S_2,1.1556
G+S_3,1.5051
Pyr_1,1.0427
Pyr_2,1.2008
Pyr_3,0.8439000000000001
Gly_1,0.0405
Gly_2,0.5311
Gly_3,-0.1015
Glucon_1,-0.005200000000000001
Glucon_2,0.1139
Glucon_3,-0.0386
aero_1,0.162
aero_2,-0.35960000000000003
aero_3,0.22640000000000002
nit_1,0.7419
nit_2,0.2641
nit_3,0.5
ferm_1,0.37620000000000003
ferm_2,-0.22870000000000001
ferm_3,0.9068
T-5.40H_1,0.6421
T-4.40H_1,0.44
T-3.40H_1,0.2846
T-2.40H_1,0.1504
T-1.40H_1,0.052500000000000005
T-1.10H_1,0.26530000000000004
T-0.40H_1,0.11750000000000001
T0.0H_1,0.08560000000000001
T0.30H_1,0.1328
T1.0H_1,0.14250000000000002
T1.30H_1,0.0171
T2.0H_1,-0.0162
T2.30H_1,0.2541
T3.0H_1,0.1784
T3.30H_1,0.8598
T4.0H_1,0.9609000000000001
T5.0H_1,0.7846000000000001
HPh_1,0.5382
HPh_2,-0.020300000000000002
HPh_3,0.0444
LPh_1,0.5675
LPh_2,0.6492
LPh_3,0.38020000000000004
LPhT_1,7.1385
LPhT_2,7.2995
LPhT_3,7.7857
SMMPr_1,0.0838
SMMPr_2,0.0162
SMMPr_3,-0.023200000000000002
HiTm_1,0.5286000000000001
HiTm_2,0.4883
HiTm_3,0.5696
LoTm_1,0.5444
LoTm_2,0.3326
LoTm_3,0.48460000000000003
HiOs_1,0.3231
HiOs_2,0.2677
HiOs_3,0.19140000000000001
BMM_1,0.2315
BMM_2,-0.036500000000000005
BMM_3,0.0162
Heat_1,0.9053
Heat_2,0.7866000000000001
Heat_3,0.7237
Cold_1,0.4656
Cold_2,-0.30310000000000004
Cold_3,-0.3905
Etha_1,-0.47700000000000004
Etha_2,-0.36150000000000004
Etha_3,-0.46690000000000004
SMM_1,-0.1681
SMM_2,-0.2765
SMM_3,-0.1443
Salt_1,0.11610000000000001
Salt_2,0.0762
Salt_3,0.18810000000000002
Mt0_1,0.16720000000000002
Mt0_3,0.2533
M0t45_1,0.1174
M0t45_2,0.145
M0t45_3,0.1106
M0t90_1,-0.5876
M0t90_2,0.0264
M0t90_3,-0.2795
M40t45_1,0.0008
M40t45_2,-0.3322
M40t45_3,0.1393
M40t90_1,-0.30610000000000004
M40t90_2,0.0422
M40t90_3,-0.1925
dia0_1,-0.17850000000000002
dia0_2,-0.06
dia0_3,0.0489
dia5_1,-0.5474
dia5_2,-0.3149
dia5_3,-0.5728
dia15_1,0.7792
dia15_2,0.731
dia15_3,-0.2497
Diami_1,0.3645
Diami_2,0.47600000000000003
Diami_3,0.6712
Paraq_1,0.46730000000000005
Paraq_2,0.535
Paraq_3,-0.2902
H2O2_1,0.48360000000000003
H2O2_2,0.7797000000000001
H2O2_3,0.8196
Oxctl_1,0.0472
Oxctl_2,-0.0049
Oxctl_3,0.31870000000000004
GM-0.1_1,-0.0689
GM-0.2_1,0.23440000000000003
GM+5_1,-0.45020000000000004
GM+15_1,0.0824
GM+25_1,-0.1273
GM+45_1,0.15910000000000002
GM+60_1,0.0246
GM+90_1,0.12150000000000001
GM+120_1,0.1272
GM+150_1,-0.168
GM-0.1_2,-0.0204
GM-0.2_2,0.2265
GM+5_2,-0.317
GM+10_2,-0.3083
GM+15_2,-0.2863
GM+25_2,-0.3546
GM+45_2,-0.8229000000000001
GM+60_2,-0.6558
GM+90_2,0.3158
GM+150_2,-0.6905
GM-0.1_3,0.003
GM-0.2_3,-0.3231
GM+5_3,-0.019100000000000002
GM+10_3,-0.7372000000000001
GM+15_3,-0.24380000000000002
GM+25_3,-0.3337
GM+45_3,-0.11040000000000001
GM+60_3,-0.2243
GM+90_3,-0.0947
GM+120_3,0.1622
GM+150_3,-0.24070000000000003
MG-0.1_1,0.027100000000000003
MG+5_1,-0.07050000000000001
MG+10_1,0.31920000000000004
MG+15_1,-0.399
MG+25_1,0.06770000000000001
MG+45_1,-0.1476
MG+120_1,-0.32480000000000003
MG+150_1,-0.17370000000000002
MG-0.1_2,-0.7055
MG-0.2_2,-0.419
MG+5_2,-0.4511
MG+10_2,-0.1311
MG+15_2,0.5838
MG+25_2,-0.293
MG+45_2,-0.4292
MG+60_2,-0.2492
MG+90_2,-0.5441
MG+120_2,-0.032
MG-0.1_3,0.3481
MG-0.2_3,-0.049300000000000004
MG+5_3,-0.1617
MG+10_3,-0.0036000000000000003
MG+15_3,0.08030000000000001
MG+25_3,0.11380000000000001
MG+45_3,0.40990000000000004
MG+60_3,0.039
MG+90_3,0.029400000000000003
MG+120_3,-0.2177
MG+150_3,-0.15510000000000002
