k,name,in_iM,gene_weight,regulator,function,category
57,Fur – Iron Limitation,True,0.07782391500000001,Fur,"Production and transport of siderophores for iron chelation, replacement of ferredoxins in the ETC with flavodoxins, RNA chaperones for iron-limited conditions, heme degradation",Elements
31,Noise – S1210,False,-0.03572539,,Noisy independent transcript S1210,Uncharacterized
32,CzrA – Toxic Cation Export,False,-0.03371293,CzrA,"Resistance to Zn, Cu, Co, Ni, and Cd",Elements
79,Alb – Antilisterial Bacteriocin,False,-0.029022186000000002,Rok + ResD + AbrB + SigA,"Produces and exports subtilosin, which kills anaerobic listeria bacteria",Lifestyles
26,Uncharacterized 6,False,-0.026975044,,5’ ends of tRNAs and independent transcripts,Uncharacterized
41,S-Box – Methionine,False,0.021029173,S-box,Methionine salvage and biosynthesis,Amino Acids
38,GlpP – Glycerol,False,0.02056224,GlpP,Glycerol uptake and utilization,Carbon
40,NadR / BirA – NAD and Biotin,False,-0.019668453000000002,[NadR] / [BirA],"Biosynthesis of NAD and biotin, plus safA & coxA sporulation proteins and repression of manganese uptake",Multi-Purpose
75,HutP – Histidine Utilization,False,-0.018558806,HutP,Histidine uptake and utilization,Amino Acids
9,ResD – Oxygen Limitation,False,0.01804044,ResD,"Anaerobic nitrate respiration, bacteriocin production, heme, cytochrome, and ATP synthesis, copper homeostasis",Oxygen Limitation
16,Ybc – Uncharacterized Operon,False,0.016691023000000003,,Contains one subunit of NADH dehydrogenase with several unknown genes. Categorized as prophage. Responds to heat shock.,Stress
6,MalR – Malate,False,-0.015751969,MalR,Malate uptake and utilization,Carbon
1,FadR – Fatty Acids,False,0.014850797,FadR,Fatty acid degradation,Carbon
37,Noise – Diamide 15,False,-0.014368446000000002,,Likely accounting for noise in the diamide after 15 minutes and LBG exponential conditions,Uncharacterized
8,Fnr – Nitrate Respiration,False,-0.013847157,Fnr + SigA,Nitrate respiration and nitrite extrusion,Oxygen Limitation
74,PhoP-2 – Phosphate Limitation 2,False,0.013758818,PhoP + SigA,"Degradation of wall teichoic acid to salvage phosphate, synthesis of teichuronic acid to replace wall, high-affinity phosphate uptake.",Elements
