,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,-4.006000000000001,0.30775654339103825,3.0,0.0,-4.302000000000001,1.0,-3.6877000000000013,2.0,-4.0283000000000015,,,,,,,,,,
1,LB__LBtran,-3.188733333333334,0.4604020887586562,3.0,3.0,-2.6644000000000005,4.0,-3.5269000000000013,5.0,-3.3749000000000002,,,,,,,,,,
2,LB__LBstat,-3.8537666666666675,0.612918545431065,3.0,6.0,-3.1762000000000015,7.0,-4.015500000000001,8.0,-4.3696,,,,,,,,,,
3,LB__LBGexp,-4.034300000000001,0.1392722154630991,3.0,9.0,-4.1233,10.0,-4.1058,11.0,-3.873800000000001,,,,,,,,,,
4,LB__LBGtran,-3.7959500000000013,0.14997734828966638,2.0,12.0,-3.6899000000000015,13.0,-3.902000000000001,,,,,,,,,,,,
5,LB__LBGstat,-4.344166666666668,0.3125796271885504,3.0,14.0,-4.0123000000000015,15.0,-4.633000000000001,16.0,-4.387200000000002,,,,,,,,,,
6,Life Cycle__S0,-2.3945000000000007,0.28073462558081486,3.0,17.0,-2.493400000000001,18.0,-2.612400000000001,19.0,-2.0777,,,,,,,,,,
7,Life Cycle__S1,-0.8425000000000011,0.7801509341146738,3.0,20.0,-0.9167000000000005,21.0,-1.5829000000000004,22.0,-0.02790000000000248,,,,,,,,,,
8,Life Cycle__S2,-1.9395000000000013,0.5813759626953977,3.0,23.0,-1.470600000000001,24.0,-1.7579000000000011,25.0,-2.5900000000000016,,,,,,,,,,
9,Life Cycle__S3,-1.2529000000000012,0.6665188519464401,2.0,26.0,-1.7242000000000015,27.0,-0.781600000000001,,,,,,,,,,,,
10,Life Cycle__S4,-0.9590333333333341,0.381828840363497,3.0,28.0,-0.7096000000000018,29.0,-0.7689000000000004,30.0,-1.3986,,,,,,,,,,
11,Life Cycle__S5,-1.3063333333333347,0.27868708856589147,3.0,31.0,-1.5676000000000005,32.0,-1.3384000000000018,33.0,-1.0130000000000017,,,,,,,,,,
12,Life Cycle__S6,-3.1902500000000007,1.2914622841680554,8.0,34.0,-2.4597000000000016,35.0,-4.768600000000001,36.0,-2.3256000000000014,37.0,-2.325100000000001,38.0,-5.5814,39.0,-3.3307,40.0,-2.533100000000001,41.0,-2.197800000000001
13,Life Cycle__S7,-2.6865333333333346,0.09295699722631597,3.0,42.0,-2.6098000000000017,43.0,-2.789900000000001,44.0,-2.6599000000000004,,,,,,,,,,
14,Life Cycle__S8,-3.9292000000000007,0.633284833230672,2.0,45.0,-3.4814000000000007,46.0,-4.377000000000001,,,,,,,,,,,,
15,Life Cycle__G135,-8.11675,0.6428307747766907,2.0,47.0,-7.6622,48.0,-8.5713,,,,,,,,,,,,
16,Life Cycle__G150,-6.868733333333335,0.2690383677718355,3.0,49.0,-7.122000000000002,50.0,-6.586300000000001,51.0,-6.897900000000002,,,,,,,,,,
17,Life Cycle__G180,-7.496933333333335,0.4342255443123232,3.0,52.0,-7.285300000000001,53.0,-7.209100000000001,54.0,-7.996400000000001,,,,,,,,,,
18,Stress Time Course__C30,-2.5096000000000007,0.07368052659963736,2.0,55.0,-2.5617,56.0,-2.4575000000000014,,,,,,,,,,,,
19,Stress Time Course__C90,-1.7260500000000008,0.13809795436573244,2.0,57.0,-1.8237000000000005,58.0,-1.628400000000001,,,,,,,,,,,,
20,Biofilm__BI,-3.889000000000001,0.07297341981845246,2.0,59.0,-3.8374000000000006,60.0,-3.9406000000000017,,,,,,,,,,,,
21,Biofilm__BC,-1.660375000000001,0.22810888299231172,4.0,61.0,-1.4619,62.0,-1.9261000000000017,63.0,-1.4787000000000017,64.0,-1.7748000000000008,,,,,,,,
22,Biofilm__Sw,-1.9208500000000006,0.24755808409340987,2.0,65.0,-2.0959000000000003,66.0,-1.745800000000001,,,,,,,,,,,,
23,Life Cycle__BT,-0.6633500000000021,0.629254324577908,2.0,67.0,-0.2184000000000026,68.0,-1.1083000000000016,,,,,,,,,,,,
24,Life Cycle__B36,-0.10125000000000028,0.04914392129246357,2.0,69.0,-0.13599999999999923,70.0,-0.06650000000000134,,,,,,,,,,,,
25,Life Cycle__B60,0.007899999999999352,0.06986214998122885,2.0,71.0,-0.041499999999999204,72.0,0.05729999999999791,,,,,,,,,,,,
26,M9__M9exp,-1.1842378929335002e-15,0.04056451651382111,3.0,73.0,0.04579999999999984,74.0,-0.014400000000001967,75.0,-0.03140000000000143,,,,,,,,,,
27,M9__M9tran,-0.5582000000000006,0.21706655661340335,3.0,76.0,-0.4145000000000003,77.0,-0.8079000000000001,78.0,-0.45220000000000127,,,,,,,,,,
28,M9__M9stat,-2.472633333333334,0.12205459161102188,3.0,79.0,-2.3536,80.0,-2.466800000000001,81.0,-2.5975,,,,,,,,,,
29,Supplement__M+G,-0.245866666666668,0.25638506846798537,3.0,82.0,-0.10040000000000049,83.0,-0.5419000000000018,84.0,-0.09530000000000172,,,,,,,,,,
30,Supplement__Glu,-0.2486666666666686,0.14639167781446308,3.0,85.0,-0.41350000000000264,86.0,-0.19870000000000232,87.0,-0.1338000000000008,,,,,,,,,,
31,Supplement__Fru,-0.24516666666666667,0.34097874322798105,3.0,88.0,-0.001300000000000523,89.0,-0.09939999999999927,90.0,-0.6348000000000003,,,,,,,,,,
32,Supplement__Mal,-0.5726000000000001,0.1344348541115733,3.0,91.0,-0.4435000000000002,92.0,-0.7118000000000002,93.0,-0.5625,,,,,,,,,,
33,Supplement__G+S,-0.6718000000000011,0.3214507427274039,2.0,94.0,-0.8991000000000007,95.0,-0.44450000000000145,,,,,,,,,,,,
34,Supplement__Pyr,-1.025833333333334,0.19227299168976777,3.0,96.0,-1.219800000000001,97.0,-1.022400000000001,98.0,-0.8353000000000002,,,,,,,,,,
35,Supplement__Gly,-0.6907000000000009,0.763880141121629,3.0,99.0,-0.5129000000000001,100.0,-0.03140000000000143,101.0,-1.527800000000001,,,,,,,,,,
36,Supplement__Glucon,-1.3356000000000012,0.5741725960022819,3.0,102.0,-1.3219000000000012,103.0,-0.7684000000000015,104.0,-1.916500000000001,,,,,,,,,,
37,Stressors__aero,-0.6833666666666675,0.3344295790347103,3.0,105.0,-0.3886000000000003,106.0,-1.046800000000001,107.0,-0.6147000000000009,,,,,,,,,,
38,Stressors__nit,-1.8181666666666676,0.5553049642613811,3.0,108.0,-1.8621000000000016,109.0,-1.2422000000000004,110.0,-2.350200000000001,,,,,,,,,,
39,Stressors__ferm,-1.684166666666668,0.21194653413852554,3.0,111.0,-1.4955000000000016,112.0,-1.6435000000000013,113.0,-1.9135000000000009,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,-0.17320000000000135,,1.0,114.0,-0.17320000000000135,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,-0.4436,,1.0,115.0,-0.4436,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,-0.3049999999999997,,1.0,116.0,-0.3049999999999997,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,-0.4651000000000014,,1.0,117.0,-0.4651000000000014,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,-0.3216000000000001,,1.0,118.0,-0.3216000000000001,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,-0.6431000000000004,,1.0,119.0,-0.6431000000000004,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,-0.46000000000000085,,1.0,120.0,-0.46000000000000085,,,,,,,,,,,,,,
