,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,12.250833333333333,0.43804476179191254,3.0,0.0,12.5181,1.0,12.4891,2.0,11.7453,,,,,,,,,,
1,LB__LBtran,12.372833333333334,0.16490392152199804,3.0,3.0,12.2034,4.0,12.3823,5.0,12.5328,,,,,,,,,,
2,LB__LBstat,11.748566666666667,0.08117452391811987,3.0,6.0,11.833,7.0,11.7416,8.0,11.6711,,,,,,,,,,
3,LB__LBGexp,12.266800000000002,0.22373513358433508,3.0,9.0,12.0824,10.0,12.5157,11.0,12.2023,,,,,,,,,,
4,LB__LBGtran,11.8056,0.8308504678941939,2.0,12.0,11.2181,13.0,12.3931,,,,,,,,,,,,
5,LB__LBGstat,11.295533333333333,0.5777624281080709,3.0,14.0,11.7197,15.0,10.6375,16.0,11.5294,,,,,,,,,,
6,Life Cycle__S0,11.637333333333332,0.04143818689727285,3.0,17.0,11.6822,18.0,11.6005,19.0,11.6293,,,,,,,,,,
7,Life Cycle__S1,13.532866666666669,0.1878612874791756,3.0,20.0,13.4581,21.0,13.7466,22.0,13.3939,,,,,,,,,,
8,Life Cycle__S2,11.750599999999999,0.07042357559794907,3.0,23.0,11.814,24.0,11.6748,25.0,11.763,,,,,,,,,,
9,Life Cycle__S3,12.3336,0.07226631303726505,2.0,26.0,12.2825,27.0,12.3847,,,,,,,,,,,,
10,Life Cycle__S4,12.193333333333335,0.1807840239991724,3.0,28.0,12.3816,29.0,12.0211,30.0,12.1773,,,,,,,,,,
11,Life Cycle__S5,12.202333333333334,0.39523375783621123,3.0,31.0,12.0405,32.0,11.9137,33.0,12.6528,,,,,,,,,,
12,Life Cycle__S6,11.394337499999999,0.7859432875532434,8.0,34.0,11.4424,35.0,10.1782,36.0,11.5245,37.0,11.6815,38.0,10.4042,39.0,11.2685,40.0,12.2792,41.0,12.3762
13,Life Cycle__S7,11.658333333333331,0.4664665940164771,3.0,42.0,12.1,43.0,11.7045,44.0,11.1705,,,,,,,,,,
14,Life Cycle__S8,11.238949999999999,0.644244988339063,2.0,45.0,11.6945,46.0,10.7834,,,,,,,,,,,,
15,Life Cycle__G135,10.90795,0.8990862722786949,2.0,47.0,11.5437,48.0,10.2722,,,,,,,,,,,,
16,Life Cycle__G150,12.193033333333332,0.5022350279832472,3.0,49.0,12.0222,50.0,12.7584,51.0,11.7985,,,,,,,,,,
