k,Name,in_iM,gene_weight,Regulator,Function,Category
38,GlpP – Glycerol,True,0.165219581,GlpP,Glycerol uptake and utilization,Carbon
7,SigB-1 – General Stress 1,True,0.052386116,SigB,"Survival of general stressors including ethanol, salt, paraquat, heat, and freeze-thaw",Stress
50,PyrR – Pyrimidines,False,-0.039316227,PyrR,Synthesis of pyrimidines,Other Organics
17,Uncharacterized 1,False,-0.037942952,,"Contains a SigE/SigG inhibitor, spore coat proteins, translational proteins, oxidative stress response, many RNAs",Uncharacterized
46,SigB-2 – General Stress 2,False,-0.036237165,SigB,Likely accounting for microarray saturation in the ethanol condition of I-modulon SigB 1 by negatively weighting highly expressed ethanol genes,Stress
75,HutP – Histidine Utilization,False,-0.033968763,HutP,Histidine uptake and utilization,Amino Acids
72,LevR – Levan and Fructose,False,-0.03366421,LevR,"Fuctose uptake and phosphorylation, degradation of the exopolysaccharide levan into fructose",Carbon
61,FrlR – Amino Sugars,False,0.033591144,FrlR,Amino sugar uptake and metabolism,Carbon
40,NadR / BirA – NAD and Biotin,False,0.028505765000000002,[NadR]  or  [BirA],"Biosynthesis of NAD and biotin, plus safA & coxA sporulation proteins and repression of manganese uptake",Multi-Purpose
48,SigE – Sporulation 2,False,0.028016283000000003,SigE,"Spore maturation through core dehydration, nutrient transport and utilization, septum degradation, inner cortex synthesis, and regulator activation",Sporulation
30,ManR – Mannose,False,0.02450782,ManR,Utilization of mannose for cell wall synthesis. Needed for exponential growth in LB media (absent glucose) or in the presence of fructose,Carbon
0,PchR – Pulcherrimin,False,-0.024163319000000003,PchR,Extracellular synthesis and import of pulcherrimin for iron acquisition,Elements
16,Ybc – Uncharacterized Operon,False,-0.023735624,,Contains one subunit of NADH dehydrogenase with several unknown genes. Categorized as prophage. Responds to heat shock.,Stress
8,Fnr – Nitrate Respiration,False,0.023670532,Fnr  and  SigA,Nitrate respiration and nitrite extrusion,Oxygen Limitation
15,GerE / GerR – Mid-late Spore Coat,False,-0.023378818000000003,[SigK  and  GerE]  or  [SigK  and  GerR],"Production of spore coat and crust proteins. Omitted from sporulation analysis because all genes are contained by SigK1 & 2, and activity levels are very noisy in non-sporulating conditions.",Sporulation
65,Xpf – PBSX Prophage,False,-0.022627921000000002,Xpf,Prophage element that induces production of bacteriocin and cell lysis in response to DNA-damaging agents,Mobile Genes
77,PhoP-1 – Phosphate Limitation 1,False,0.021684406,PhoP  and  SigA,"High-affinity phosphate uptake, teichuronic acid production pseudogene.",Elements
71,"TnrA + CodY – Leucine, Methionine, and Threonine",False,-0.020734589,[TnrA  and  CodY  and  ThrR]  or  [TnrA  and  CodY  and  T-box  and  CcpA  and  SigA],"Synthesis and salvage of leucine, methionine, threonine",Amino Acids
52,His – Histidine Synthesis,False,0.019884023,YlxR,Synthesis of histidine,Amino Acids
51,ComK – Competence,False,-0.019705339000000002,ComK,"DNA transport, pseudopilus, recombination machinery, and regulatory proteins for competence",Lifestyles
32,CzrA – Toxic Cation Export,False,-0.018704295000000003,CzrA,"Resistance to Zn, Cu, Co, Ni, and Cd",Elements
44,Rex – Overflow Metabolism,False,-0.017701853,Rex,Overflow metabolism (LDH) and cytochrome BD oxidation  for respiration in anaerobic conditions,Oxygen Limitation
1,FadR – Fatty Acids,False,-0.016859893,FadR,Fatty acid degradation,Carbon
6,MalR – Malate,False,-0.016657156,MalR,Malate uptake and utilization,Carbon
10,CcpA-2 – Low Glucose 2,False,-0.016053487,[CcpA  and  SigA]  or  [CcpN],"Uptake, utilization, and regulation of alternative carbon sources: TCA intermediates, ribose, maltodextrin, galacto-oligosaccharides, acetoin, gluconate, etc. Suppression of glucose pathways. Stationary phase.",Carbon
31,Noise – S1210,False,-0.015339062,,Noisy independent transcript S1210,Uncharacterized
78,Empty 3,False,0.014512593,,Contains no genes,Uncharacterized
45,Zur – Zinc Limitation,False,-0.014003864000000001,Zur,"Zinc uptake, zinc metallochaperones, alternatives to zinc-containing proteins",Elements
21,StrRes – Translation,False,-0.013675667,[stringent response]  or  [RplJ],"Production of ribosomes, translation initiation factors, ADP formation, protein processing and secretory machinery, DNA replication, RNA polymerase",Lifestyles
81,"MtlR / AnsR – Mannitol, Asparagine, and Aspartate",False,-0.01288498,[MtlR]  or  [AnsR  and  SigA],"Uptake and utilization of mannitol, degradation of asparagine and aspartate",Multi-Purpose
27,SknR – Skin Element,False,0.012541177,SknR,Prophage element that disrupts the SigK gene but also plays roles in preventing early germination and regulating proliferation. Unknown and toxin resistance genes.,Mobile Genes
43,Uncharacterized 2,False,-0.012478593000000001,,"Contains cold shock, sporulation onset, toxin, amino acid homeostasis, translataional, other proteins, many RNAs",Uncharacterized
23,SigD – Motility,False,0.011719664000000001,SigD,"Production of flagella components and export machinery, chemotaxis receptors, use of extracellular energy (polyglutamic acid), regulation of swarming, sporulation inhibitors, cell wall turnover",Lifestyles
18,ImmR – ICEBs1,False,-0.011602474000000002,ImmR,Mobile genetic element that participates in horizontal gene transfer,Mobile Genes
67,CymR / NsrR – Sulfur and Nitrate Respiration,False,-0.011408573,[SigA  and  CymR]  or  [ResD  and  SigA  and  NsrR],Import and utilization of sulfonate and cystine for cysteine production. Nitrite reduction,Multi-Purpose
80,LicR – Lichenan,False,0.011087972000000001,LicR,"Uptake, phosphorylation, and utilization of lechenin, a glucan found in soil",Carbon
74,PhoP-2 – Phosphate Limitation 2,False,0.010974655,PhoP  and  SigA,"Degradation of wall teichoic acid to salvage phosphate, synthesis of teichuronic acid to replace wall, high-affinity phosphate uptake.",Elements
20,"IolR / MelR – Inositol, Melibiose, and Acetoin",False,0.010663082,[IolR]  or  [MelR]  or  [AcoR],"Uptake and utilization of inositol, melibiose/raffinose, and acetoin",Multi-Purpose
66,SigG – Sporulation 4,False,0.010589872,SigG,"Calcium and nutrient delivery to the spore, endospore cortex maturation, lipoproteins, forespore-specific metabolic proteins, many unknown sporulation proteins, stress resistance, proteins required for germination",Sporulation
47,SigM – Membrane Stress,False,-0.010398613000000001,SigM,"General stress proteins, alarmones, lipid carriers and flippases, DNA repair, inhibition of septation. Contains many UTRs and some unknown proteins.",Stress
55,Noise – LBGexp_1,False,0.010297192,,Likely accounting for noise in the first sample of LBG_exp. Top few RNAs are 5' UTRs of glucose metabolism genes,Uncharacterized
33,Uncharacterized 3,False,0.009974132,,"Contains many poorly characterized RNAs with noisy activity but clear time correlations, especially in sporulation. May be indicative of overall decreased translational activity ",Uncharacterized
53,ComA – Surfactants,False,0.009895854,[ComA  and  CcpA  and  TnrA]  or  [Abh  and  SigA  and  ComA  and  Spx  and  PhoP  and  CodY  and  PerR],"Activated during transition to stationary phase (quorum sensing), production of surfactant and exoenzymes to improve nutrient delivery in the biofilm, ComS for activation of competence ",Lifestyles
54,DegU – Toxins and Colony Establishment,False,0.009660325,DegU,"Response to arrested flagellar motor. Secretion of yukE, a homolog of virulence factor EsxA. Production of antitoxins and putative toxin y-genes. Production of hydrophobic biofilm layer and lipoproteins for motility. Many unknown proteins.",Lifestyles
35,Spo0A – Sporulation 1,False,0.009089466000000001,[Spo0A]  or  [DnaA],"Initiation of sporulation through sigma factor, transcription factor, and regulatory protein expression, as well as septum formation and chromosome anchoring",Sporulation
28,Noise – S415,False,-0.00825848,,Noisy independent transcript S415,Uncharacterized
63,Noise – Carbon Source Transition 2,False,-0.007552886000000001,,Likely accounting for noise in carbon source transition and gluconnate experiments,Uncharacterized
79,Alb – Antilisterial Bacteriocin,False,-0.006877243000000001,Rok  and  ResD  and  AbrB  and  SigA,"Produces and exports subtilosin, which kills anaerobic listeria bacteria",Lifestyles
57,Fur – Iron Limitation,False,-0.006801759,Fur,"Production and transport of siderophores for iron chelation, replacement of ferredoxins in the ETC with flavodoxins, RNA chaperones for iron-limited conditions, heme degradation",Elements
