,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,16.467033333333333,0.004675824347998175,3.0,0.0,16.4685,1.0,16.4708,2.0,16.4618,,,,,,,,,,
1,LB__LBtran,15.376366666666668,1.1841185343255696,3.0,3.0,14.0734,4.0,15.6689,5.0,16.3868,,,,,,,,,,
2,LB__LBstat,14.712666666666669,0.14405000289251416,3.0,6.0,14.8567,7.0,14.7127,8.0,14.5686,,,,,,,,,,
3,LB__LBGexp,16.431233333333335,0.05653462066144432,3.0,9.0,16.366,10.0,16.466,11.0,16.4617,,,,,,,,,,
4,LB__LBGtran,16.1167,0.10465180361560882,2.0,12.0,16.0427,13.0,16.1907,,,,,,,,,,,,
5,LB__LBGstat,15.9758,0.79539897535765,3.0,14.0,16.4742,15.0,16.3947,16.0,15.0585,,,,,,,,,,
6,Life Cycle__S0,16.4208,0.04339827185499493,3.0,17.0,16.3708,18.0,16.4487,19.0,16.4429,,,,,,,,,,
7,Life Cycle__S1,15.7297,0.27528336310064233,3.0,20.0,15.6686,21.0,15.4901,22.0,16.0304,,,,,,,,,,
8,Life Cycle__S2,15.150999999999998,0.6794501600559091,3.0,23.0,15.3862,24.0,15.6816,25.0,14.3852,,,,,,,,,,
9,Life Cycle__S3,15.459050000000001,0.4260318356648955,2.0,26.0,15.1578,27.0,15.7603,,,,,,,,,,,,
10,Life Cycle__S4,15.459866666666665,0.22410533981441255,3.0,28.0,15.6439,29.0,15.2103,30.0,15.5254,,,,,,,,,,
11,Life Cycle__S5,15.190833333333336,0.6651361990850697,3.0,31.0,14.8156,32.0,14.7981,33.0,15.9588,,,,,,,,,,
12,Life Cycle__S6,13.5607875,3.020415560073765,8.0,34.0,14.8045,35.0,8.9178,36.0,15.0005,37.0,15.4912,38.0,8.4874,39.0,14.7351,40.0,15.7731,41.0,15.2767
13,Life Cycle__S7,14.896299999999998,0.2778220473612558,3.0,42.0,15.1623,43.0,14.608,44.0,14.9186,,,,,,,,,,
14,Life Cycle__S8,13.05425,2.179939495720008,2.0,45.0,14.5957,46.0,11.5128,,,,,,,,,,,,
15,Life Cycle__G135,16.43725,0.031324830406563905,2.0,47.0,16.4594,48.0,16.4151,,,,,,,,,,,,
16,Life Cycle__G150,16.470766666666666,0.006087144924621117,3.0,49.0,16.4729,50.0,16.4755,51.0,16.4639,,,,,,,,,,
17,Life Cycle__G180,16.4486,0.023759419184819157,3.0,52.0,16.4361,53.0,16.476,54.0,16.4337,,,,,,,,,,
18,Stress Time Course__C30,16.432850000000002,0.033728993462600096,2.0,55.0,16.409,56.0,16.4567,,,,,,,,,,,,
19,Stress Time Course__C90,15.5414,0.22966828252939048,2.0,57.0,15.379,58.0,15.7038,,,,,,,,,,,,
20,Biofilm__BI,16.322699999999998,0.21623325368684723,2.0,59.0,16.1698,60.0,16.4756,,,,,,,,,,,,
21,Biofilm__BC,15.349425,0.3910311954733706,4.0,61.0,15.4526,62.0,15.1679,63.0,15.8425,64.0,14.9347,,,,,,,,
22,Biofilm__Sw,15.34065,0.6295371672903831,2.0,65.0,14.8955,66.0,15.7858,,,,,,,,,,,,
23,Life Cycle__BT,15.6364,0.5127938377164849,2.0,67.0,15.999,68.0,15.2738,,,,,,,,,,,,
24,Life Cycle__B36,16.164099999999998,0.07820600999923329,2.0,69.0,16.2194,70.0,16.1088,,,,,,,,,,,,
25,Life Cycle__B60,15.910900000000002,0.22471853506108486,2.0,71.0,15.752,72.0,16.0698,,,,,,,,,,,,
26,M9__M9exp,16.470233333333336,0.011811999548480886,3.0,73.0,16.4767,74.0,16.4566,75.0,16.4774,,,,,,,,,,
27,M9__M9tran,16.197233333333333,0.3049160922833252,3.0,76.0,16.2951,77.0,15.8554,78.0,16.4412,,,,,,,,,,
28,M9__M9stat,13.6718,0.4329543971366958,3.0,79.0,14.1547,80.0,13.5424,81.0,13.3183,,,,,,,,,,
29,Supplement__M+G,16.347700000000003,0.1341259482725097,3.0,82.0,16.1946,83.0,16.404,84.0,16.4445,,,,,,,,,,
30,Supplement__Glu,16.3748,0.11930134114920844,3.0,85.0,16.2372,86.0,16.4379,87.0,16.4493,,,,,,,,,,
31,Supplement__Fru,16.402200000000004,0.08735485103873715,3.0,88.0,16.4576,89.0,16.4475,90.0,16.3015,,,,,,,,,,
32,Supplement__Mal,16.22196666666667,0.19099123889156044,3.0,91.0,16.2521,92.0,16.0177,93.0,16.3961,,,,,,,,,,
33,Supplement__G+S,16.2389,0.08089301576774091,2.0,94.0,16.1817,95.0,16.2961,,,,,,,,,,,,
34,Supplement__Pyr,15.975299999999999,0.5049238259381318,3.0,96.0,15.4171,97.0,16.4002,98.0,16.1086,,,,,,,,,,
35,Supplement__Gly,15.9722,0.4936440924390768,3.0,99.0,16.0399,100.0,16.4285,101.0,15.4482,,,,,,,,,,
36,Supplement__Glucon,15.695133333333331,0.7451104101630391,3.0,102.0,16.058,103.0,16.1893,104.0,14.8381,,,,,,,,,,
37,Stressors__aero,16.469033333333332,0.009434687770844486,3.0,105.0,16.4601,106.0,16.4681,107.0,16.4789,,,,,,,,,,
38,Stressors__nit,16.355866666666667,0.1660742404267835,3.0,108.0,16.4318,109.0,16.4704,110.0,16.1654,,,,,,,,,,
39,Stressors__ferm,16.365199999999998,0.09378928510229746,3.0,111.0,16.3711,112.0,16.4559,113.0,16.2686,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,16.3286,,1.0,114.0,16.3286,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,16.4517,,1.0,115.0,16.4517,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,16.4524,,1.0,116.0,16.4524,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,16.3963,,1.0,117.0,16.3963,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,16.4242,,1.0,118.0,16.4242,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,15.9618,,1.0,119.0,15.9618,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,16.1067,,1.0,120.0,16.1067,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,15.9431,,1.0,121.0,15.9431,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,14.3174,,1.0,122.0,14.3174,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,14.7932,,1.0,123.0,14.7932,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,14.9029,,1.0,124.0,14.9029,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,14.6625,,1.0,125.0,14.6625,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,15.5967,,1.0,126.0,15.5967,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,15.4533,,1.0,127.0,15.4533,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,15.7647,,1.0,128.0,15.7647,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,15.6115,,1.0,129.0,15.6115,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,15.0898,,1.0,130.0,15.0898,,,,,,,,,,,,,,
57,Stressors__HPh,16.433966666666667,0.004636090306856402,3.0,131.0,16.4317,132.0,16.4393,133.0,16.4309,,,,,,,,,,
58,Stressors__LPh,16.446033333333332,0.0069586876157315715,3.0,134.0,16.4499,135.0,16.438,136.0,16.4502,,,,,,,,,,
59,Stressors__LPhT,16.0532,0.20211652579638303,3.0,137.0,16.1297,138.0,15.824,139.0,16.2059,,,,,,,,,,
60,Stressors__SMMPr,16.359099999999998,0.024592885149977612,3.0,140.0,16.3311,141.0,16.369,142.0,16.3772,,,,,,,,,,
61,Stressors__HiTm,16.383999999999997,0.07714479891736141,3.0,143.0,16.4138,144.0,16.4418,145.0,16.2964,,,,,,,,,,
62,Stressors__LoTm,15.968666666666666,0.15834412945648882,3.0,146.0,15.9831,147.0,15.8036,148.0,16.1193,,,,,,,,,,
63,Stressors__HiOs,16.223766666666666,0.09168862161322638,3.0,149.0,16.306,150.0,16.1249,151.0,16.2404,,,,,,,,,,
64,Stressors__BMM,16.437066666666666,0.04710905786930404,3.0,152.0,16.4711,153.0,16.4568,154.0,16.3833,,,,,,,,,,
65,Stressors__Heat,16.25533333333333,0.10775385530612444,3.0,155.0,16.299,156.0,16.3344,157.0,16.1326,,,,,,,,,,
66,Stressors__Cold,16.108866666666668,0.32436621792864406,3.0,158.0,16.4672,159.0,16.0241,160.0,15.8353,,,,,,,,,,
67,Stressors__Etha,12.3604,0.21179412173145848,3.0,161.0,12.2759,162.0,12.2039,163.0,12.6014,,,,,,,,,,
68,Stress Time Course__SMM,16.44986666666667,0.021186395005600885,3.0,164.0,16.428,165.0,16.4513,166.0,16.4703,,,,,,,,,,
69,Stress Time Course__Salt,16.315366666666666,0.11454895605518736,3.0,167.0,16.4318,168.0,16.2028,169.0,16.3115,,,,,,,,,,
70,Stress Time Course__Mt0,16.4585,0.0,2.0,170.0,16.4585,171.0,16.4585,,,,,,,,,,,,
71,Stress Time Course__M0t45,16.145633333333333,0.07532372357586439,3.0,172.0,16.0787,173.0,16.2272,174.0,16.131,,,,,,,,,,
72,Stress Time Course__M0t90,13.107566666666665,1.0884927667804385,3.0,175.0,12.2981,176.0,14.345,177.0,12.6796,,,,,,,,,,
