,new_1683508_1683660
M9exp_1,13.3382
M9exp_2,12.9662
M9exp_3,12.8974
M9tran_1,13.2082
M9tran_2,13.3959
M9tran_3,13.27
M9stat_1,11.1591
M9stat_2,10.8028
M9stat_3,10.6029
MG-0.1_1,12.6901
MG-0.1_2,11.5991
MG-0.1_3,13.3449
MG-0.2_2,12.279000000000002
MG-0.2_3,12.8259
MG+5_1,12.987
MG+5_2,12.4205
MG+5_3,12.3187
MG+10_1,13.1104
MG+10_2,12.8342
MG+10_3,12.1754
MG+15_1,12.2367
MG+15_2,13.6069
MG+15_3,13.0651
MG+25_1,12.788
MG+25_2,12.6664
MG+25_3,13.2226
MG+45_1,13.4088
MG+45_2,12.0385
MG+45_3,13.319
MG+60_2,12.6562
MG+60_3,12.4219
MG+90_2,12.202
MG+90_3,13.1262
MG+120_1,11.5184
MG+120_2,12.8511
MG+120_3,12.5764
MG+150_1,13.0687
MG+150_3,12.9294
GM-0.1_1,12.6474
GM-0.1_2,12.6091
GM-0.1_3,13.0517
GM-0.2_1,12.6021
GM-0.2_2,13.3586
GM-0.2_3,12.9368
GM+5_1,12.6021
GM+5_2,12.6148
GM+5_3,13.0411
GM+10_2,12.7823
GM+10_3,11.9171
GM+15_1,12.8605
GM+15_2,12.918
GM+15_3,12.9599
GM+25_1,13.1195
GM+25_2,13.1197
GM+25_3,12.2986
GM+45_1,13.1988
GM+45_2,11.8023
GM+45_3,11.7866
GM+60_1,13.1943
GM+60_2,12.0275
GM+60_3,11.9889
GM+90_1,13.2807
GM+90_2,12.9252
GM+90_3,13.2921
GM+120_1,12.2435
GM+120_3,13.0206
GM+150_1,13.1255
GM+150_2,12.8579
GM+150_3,13.5612
BT_1,11.3241
BT_2,10.3885
B36_1,11.9263
B36_2,11.938
B60_1,12.5759
B60_2,13.0777
S0_1,12.9065
S0_2,13.2616
S0_3,13.2968
S1_1,13.9323
S1_2,13.5352
S1_3,14.1547
S2_1,13.7248
S2_2,13.3654
S2_3,13.2462
S3_1,13.6306
S3_2,13.6855
S4_1,14.0103
S4_2,13.0844
S4_3,12.9082
S5_1,12.8683
S5_2,12.9431
S5_3,13.5973
S6_1,11.8849
S6_2,8.1214
S6_3,12.7707
S6/t_1,11.8328
S6/t_2,7.9139
S6_4,11.2197
S6_5,12.0069
S6_6,11.9588
S7_4,11.4735
S7_5,11.2032
S7_6,11.3828
S8_4,10.8297
S8_5,9.8243
G135_1,13.4054
G135_3,11.3191
G150_1,13.2509
G150_2,13.6009
G150_3,13.7562
G180_1,13.3076
G180_2,13.7983
G180_3,12.4884
T-5.40H_1,13.9987
T-4.40H_1,14.0406
T-3.40H_1,13.7636
T-2.40H_1,13.277
T-1.40H_1,13.1283
T-1.10H_1,13.1175
T-0.40H_1,13.0453
T0.0H_1,12.7024
T0.30H_1,11.6312
T1.0H_1,11.4712
T1.30H_1,11.6207
T2.0H_1,11.6889
T2.30H_1,12.6536
T3.0H_1,12.431
T3.30H_1,12.9611
T4.0H_1,12.9761
T5.0H_1,12.4763
LBexp_1,13.9907
LBexp_2,13.3366
LBexp_3,12.8876
LBtran_1,11.7615
LBtran_2,11.1088
LBtran_3,10.8292
LBstat_1,12.192
LBstat_2,11.5844
LBstat_3,10.6151
LBGexp_1,13.3823
LBGexp_2,14.1324
LBGexp_3,13.3976
LBGtran_2,11.677
LBGtran_3,13.1932
LBGstat_1,12.6399
LBGstat_2,11.0609
LBGstat_3,12.5713
Mt0_1,13.2683
Mt0_3,13.4566
M0t45_1,12.3843
M0t45_2,12.2174
M0t45_3,12.5152
M0t90_1,11.4505
M0t90_2,12.7476
M0t90_3,12.2471
M40t45_1,11.7109
M40t45_2,11.3853
M40t45_3,12.7052
M40t90_1,10.9292
M40t90_2,12.2623
M40t90_3,11.8314
dia0_1,12.9419
dia0_2,13.2092
dia0_3,13.3574
dia5_1,13.2049
dia5_2,13.531
dia5_3,13.3628
dia15_1,14.54
dia15_2,14.9849
dia15_3,14.0593
C30_1,13.068
C30_2,13.019
C90_1,13.3095
C90_2,13.4575
SMM_1,13.0275
SMM_2,13.1238
SMM_3,13.0904
Salt_1,13.2496
Salt_2,13.1286
Salt_3,13.2655
M+G_1,12.8816
