,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,8.023633333333335,0.5087381677575741,3.0,0.0,7.449,1.0,8.2053,2.0,8.4166,,,,,,,,,,
1,LB__LBtran,9.231633333333333,0.4038058980913149,3.0,3.0,9.6476,4.0,9.2061,5.0,8.8412,,,,,,,,,,
2,LB__LBstat,10.858333333333334,0.08222495566027031,3.0,6.0,10.8954,7.0,10.9155,8.0,10.7641,,,,,,,,,,
3,LB__LBGexp,7.1575,0.06905157492773065,3.0,9.0,7.2297,10.0,7.0921,11.0,7.1507,,,,,,,,,,
4,LB__LBGtran,7.86775,0.04900249993622784,2.0,12.0,7.8331,13.0,7.9024,,,,,,,,,,,,
5,LB__LBGstat,7.3426333333333345,0.3824470725908794,3.0,14.0,7.0986,15.0,7.1459,16.0,7.7834,,,,,,,,,,
6,Life Cycle__S0,10.092766666666668,0.06511960790217729,3.0,17.0,10.1678,18.0,10.051,19.0,10.0595,,,,,,,,,,
7,Life Cycle__S1,11.322433333333334,0.1010141739229372,3.0,20.0,11.367,21.0,11.3935,22.0,11.2068,,,,,,,,,,
8,Life Cycle__S2,7.719966666666667,0.3149289179058244,3.0,23.0,7.8008,24.0,7.9866,25.0,7.3725,,,,,,,,,,
9,Life Cycle__S3,8.893550000000001,0.5759384732764434,2.0,26.0,8.4863,27.0,9.3008,,,,,,,,,,,,
10,Life Cycle__S4,9.207099999999999,0.5045693312122723,3.0,28.0,9.2371,29.0,9.696,30.0,8.6882,,,,,,,,,,
11,Life Cycle__S5,9.4547,0.306227170577662,3.0,31.0,9.5059,32.0,9.1261,33.0,9.7321,,,,,,,,,,
12,Life Cycle__S6,9.1069875,0.7677615932743336,8.0,34.0,9.4029,35.0,7.8142,36.0,9.4555,37.0,9.3801,38.0,7.96,39.0,9.3858,40.0,9.6791,41.0,9.7783
13,Life Cycle__S7,9.4356,0.1539554805779909,3.0,42.0,9.4649,43.0,9.2691,44.0,9.5728,,,,,,,,,,
14,Life Cycle__S8,9.163,0.2688419982071256,2.0,45.0,9.3531,46.0,8.9729,,,,,,,,,,,,
15,Life Cycle__G135,7.4361,0.09390378054157385,2.0,47.0,7.3697,48.0,7.5025,,,,,,,,,,,,
16,Life Cycle__G150,7.194033333333333,0.28426069607550997,3.0,49.0,7.2358,50.0,6.8911999999999995,51.0,7.4551,,,,,,,,,,
17,Life Cycle__G180,7.008466666666667,0.15856640039218056,3.0,52.0,7.1657,53.0,6.8486,54.0,7.0111,,,,,,,,,,
18,Stress Time Course__C30,9.03215,0.45728595539333966,2.0,55.0,8.7088,56.0,9.3555,,,,,,,,,,,,
19,Stress Time Course__C90,9.1968,0.5106725173729252,2.0,57.0,9.5579,58.0,8.8357,,,,,,,,,,,,
20,Biofilm__BI,9.337,0.08739839815465707,2.0,59.0,9.2752,60.0,9.3988,,,,,,,,,,,,
21,Biofilm__BC,9.999775,0.3740157516736429,4.0,61.0,10.2157,62.0,9.8675,63.0,10.3775,64.0,9.5384,,,,,,,,
22,Biofilm__Sw,10.3432,0.005091168824542581,2.0,65.0,10.3396,66.0,10.3468,,,,,,,,,,,,
23,Life Cycle__BT,8.0995,0.2503158005400379,2.0,67.0,8.2765,68.0,7.9225,,,,,,,,,,,,
24,Life Cycle__B36,10.42915,0.01887975105768078,2.0,69.0,10.4425,70.0,10.4158,,,,,,,,,,,,
25,Life Cycle__B60,10.04025,0.21983949827089774,2.0,71.0,9.8848,72.0,10.1957,,,,,,,,,,,,
26,M9__M9exp,9.143266666666667,0.3962178735662158,3.0,73.0,9.5623,74.0,9.0928,75.0,8.7747,,,,,,,,,,
27,M9__M9tran,8.751933333333334,0.19423877916969476,3.0,76.0,8.8154,77.0,8.5339,78.0,8.9065,,,,,,,,,,
28,M9__M9stat,8.270366666666666,0.06351884234881355,3.0,79.0,8.3411,80.0,8.2182,81.0,8.2518,,,,,,,,,,
29,Supplement__M+G,9.3008,0.082555496485697,3.0,82.0,9.3372,83.0,9.3589,84.0,9.2063,,,,,,,,,,
30,Supplement__Glu,9.238866666666667,0.3283854036545065,3.0,85.0,8.875,86.0,9.3284,87.0,9.5132,,,,,,,,,,
31,Supplement__Fru,9.296199999999999,0.44046499293360386,3.0,88.0,9.4926,89.0,9.6043,90.0,8.7917,,,,,,,,,,
32,Supplement__Mal,9.1196,0.1634696607936772,3.0,91.0,8.9357,92.0,9.1747,93.0,9.2484,,,,,,,,,,
