,new_3491558_3491654_c
LBexp_1,12.6923
LBexp_2,12.9213
LBexp_3,12.6988
LBtran_1,11.6716
LBtran_2,12.4491
LBtran_3,12.1481
LBstat_1,12.2556
LBstat_2,12.378
LBstat_3,12.1749
LBGexp_1,12.3445
LBGexp_2,12.3058
LBGexp_3,12.5851
LBGtran_2,11.8082
LBGtran_3,12.4952
LBGstat_1,11.7611
LBGstat_2,11.2851
LBGstat_3,11.1969
S0_1,13.0719
S0_2,13.1047
S0_3,13.0786
S1_1,12.7385
S1_2,12.3635
S1_3,12.9677
S2_1,11.6601
S2_2,11.449
S2_3,11.3148
S3_1,11.3633
S3_2,11.449300000000001
S4_1,10.9067
S4_2,10.5001
S4_3,10.3041
S5_1,10.3114
S5_2,10.1227
S5_3,10.3515
S6_1,9.9997
S6_2,7.986
S6_3,10.2628
S6/t_1,9.8673
S6/t_2,8.0486
S6_4,9.6059
S6_5,9.8861
S6_6,9.9339
S7_4,10.163
S7_5,10.0024
S7_6,10.4479
S8_4,9.9594
S8_5,10.0564
G135_1,10.7631
G135_3,9.6741
G150_1,11.2683
G150_2,11.3644
G150_3,11.7114
G180_1,10.8394
G180_2,11.1508
G180_3,10.7625
C30_1,13.1177
C30_2,13.275
C90_1,13.672
C90_2,13.3673
BI_1,11.4591
BI_2,12.3307
BC_2,9.9849
BC/t_1,9.7804
BC/t_2,10.4568
BC_1,9.635
Sw_1,11.3525
Sw_2,11.4199
BT_1,10.7833
BT_2,9.9827
B36_1,10.6646
B36_2,10.5877
B60_1,11.1615
B60_2,11.2737
M9exp_1,13.5911
M9exp_2,13.1738
M9exp_3,13.14
M9tran_1,12.4939
M9tran_2,12.6213
M9tran_3,13.0973
M9stat_1,10.5035
M9stat_2,9.8846
M9stat_3,9.7899
M+G_1,12.9338
M+G_2,13.4478
M+G_3,13.0923
Glu_1,13.7767
Glu_2,13.502
Glu_3,13.6147
Fru_1,13.186
Fru_2,13.7789
Fru_3,12.81
Mal_1,12.8301
Mal_2,12.9116
Mal_3,12.8841
G+S_2,12.4835
G+S_3,12.6353
Pyr_1,12.0069
Pyr_2,12.9797
Pyr_3,12.5256
Gly_1,12.377
Gly_2,13.2839
Gly_3,11.6022
Glucon_1,12.473700000000001
Glucon_2,12.8894
Glucon_3,11.1069
aero_1,13.8655
aero_2,12.6382
aero_3,13.6986
nit_1,13.2904
nit_2,13.6127
nit_3,13.0467
ferm_1,12.6521
ferm_2,12.6898
ferm_3,13.1226
T-5.40H_1,13.7393
T-4.40H_1,13.577
T-3.40H_1,13.3721
T-2.40H_1,13.0747
T-1.40H_1,13.0661
T-1.10H_1,12.8798
T-0.40H_1,13.0602
T0.0H_1,13.013
T0.30H_1,11.2598
T1.0H_1,11.2327
T1.30H_1,10.981300000000001
T2.0H_1,10.4368
T2.30H_1,11.0841
T3.0H_1,10.8557
T3.30H_1,10.8397
T4.0H_1,10.6588
T5.0H_1,9.7858
HPh_1,14.0362
HPh_2,13.4381
HPh_3,13.8609
LPh_1,13.8644
LPh_2,13.878
LPh_3,13.8139
LPhT_1,12.188
LPhT_2,12.1209
LPhT_3,12.2936
SMMPr_1,13.0483
SMMPr_2,13.0278
SMMPr_3,13.3427
HiTm_1,12.2824
HiTm_2,12.8527
HiTm_3,12.8888
LoTm_1,12.9626
LoTm_2,12.4166
LoTm_3,12.4438
HiOs_1,11.8174
HiOs_2,11.5549
HiOs_3,11.8525
BMM_1,13.5975
BMM_2,13.5577
BMM_3,13.3776
Heat_1,13.4874
Heat_2,12.9176
Heat_3,12.907
Cold_1,14.545
Cold_2,13.8918
Cold_3,13.3731
Etha_1,12.814
Etha_2,12.9335
