sample,new_490705_490776_c
LBexp_1,12.9534
LBexp_2,13.3891
LBexp_3,13.1678
LBtran_1,12.9686
LBtran_2,13.2967
LBtran_3,12.7718
LBstat_1,13.6777
LBstat_2,12.8632
LBstat_3,12.4152
LBGexp_1,11.696
LBGexp_2,13.517
LBGexp_3,12.854
LBGtran_2,12.9659
LBGtran_3,13.43
LBGstat_1,12.7153
LBGstat_2,12.1904
LBGstat_3,12.7883
S0_1,12.4313
S0_2,11.8389
S0_3,11.9488
S1_1,13.7772
S1_2,14.2853
S1_3,13.3178
S2_1,13.1837
S2_2,12.9662
S2_3,12.9013
S3_1,13.8785
S3_2,12.9366
S4_1,13.3321
S4_2,13.2457
S4_3,12.4924
S5_1,13.0422
S5_2,13.4605
S5_3,13.2435
S6_1,13.4216
S6_2,12.4262
S6_3,13.1638
S6/t_1,12.536
S6/t_2,11.3823
S6_4,11.7081
S6_5,12.9816
S6_6,12.6599
S7_4,12.9802
S7_5,12.5365
S7_6,12.2737
S8_4,12.2087
S8_5,12.5746
G135_1,12.9399
G135_3,11.1279
G150_1,12.5115
G150_2,13.4164
G150_3,12.2035
G180_1,12.5506
G180_2,12.9977
G180_3,11.964
C30_1,12.2808
C30_2,12.8487
C90_1,14.0079
C90_2,13.4616
BI_1,13.9569
BI_2,14.518
BC_2,14.2675
BC/t_1,13.4743
BC/t_2,13.6077
BC_1,13.9173
Sw_1,15.0073
Sw_2,14.9384
BT_1,12.7129
BT_2,11.8471
B36_1,12.8336
B36_2,12.1027
B60_1,14.8011
B60_2,14.8133
M9exp_1,12.8718
M9exp_2,12.2115
M9exp_3,12.7064
M9tran_1,12.3016
M9tran_2,12.6948
M9tran_3,12.8365
M9stat_1,12.3142
M9stat_2,12.5231
M9stat_3,12.6414
M+G_1,11.9766
M+G_2,12.4318
M+G_3,12.744000000000002
Glu_1,12.6073
Glu_2,12.6123
Glu_3,13.3113
Fru_1,13.0926
Fru_2,13.5876
Fru_3,12.1315
Mal_1,11.9172
Mal_2,12.7342
Mal_3,12.454
G+S_2,13.4563
G+S_3,13.3448
Pyr_1,12.0497
Pyr_2,13.2958
Pyr_3,12.4622
Gly_1,11.4993
Gly_2,12.5608
Gly_3,11.5521
Glucon_1,11.5489
Glucon_2,12.0857
Glucon_3,10.2058
aero_1,13.2187
aero_2,12.1558
aero_3,13.0106
nit_1,13.2182
nit_2,13.2497
nit_3,12.5493
ferm_1,12.5365
ferm_2,13.1075
ferm_3,13.1366
T-5.40H_1,12.6754
T-4.40H_1,12.8623
T-3.40H_1,13.2452
T-2.40H_1,12.3777
T-1.40H_1,12.8928
T-1.10H_1,13.133
T-0.40H_1,13.3918
T0.0H_1,13.1877
T0.30H_1,13.28
T1.0H_1,12.3475
T1.30H_1,12.5638
T2.0H_1,11.5597
T2.30H_1,12.835
T3.0H_1,12.5833
T3.30H_1,12.9468
T4.0H_1,13.3434
T5.0H_1,12.3717
HPh_1,12.5901
HPh_2,12.0143
HPh_3,12.9802
LPh_1,12.3826
LPh_2,12.9852
LPh_3,12.4342
LPhT_1,14.1409
LPhT_2,13.3214
LPhT_3,13.5032
SMMPr_1,12.883
SMMPr_2,12.9786
SMMPr_3,13.2723
HiTm_1,12.0204
HiTm_2,13.136
HiTm_3,13.1181
LoTm_1,13.1084
LoTm_2,12.5584
LoTm_3,12.4646
HiOs_1,13.2545
HiOs_2,13.3284
HiOs_3,13.4438
BMM_1,12.7557
BMM_2,12.5499
BMM_3,12.3775
Heat_1,13.7184
Heat_2,13.3132
Heat_3,12.9418
Cold_1,12.8348
Cold_2,12.5525
Cold_3,11.7066
Etha_1,13.3904
Etha_2,13.9593
Etha_3,13.7205
SMM_1,12.6943
SMM_2,13.1753
SMM_3,13.0379
Salt_1,13.4139
Salt_2,13.4994
Salt_3,13.5008
Mt0_1,14.0764
Mt0_3,13.7291
M0t45_1,14.3736
M0t45_2,13.526
M0t45_3,13.9875
M0t90_1,12.2213
M0t90_2,13.3228
M0t90_3,12.9458
M40t45_1,13.4163
M40t45_2,13.7344
M40t45_3,13.8669
M40t90_1,12.5127
M40t90_2,13.1996
M40t90_3,13.702
dia0_1,12.3764
dia0_2,13.0553
dia0_3,12.9268
dia5_1,14.5069
dia5_2,14.3517
dia5_3,14.3832
dia15_1,14.536
dia15_2,14.7595
dia15_3,14.6223
Diami_1,13.1975
Diami_2,13.5974
Diami_3,13.2275
Paraq_1,12.6165
Paraq_2,13.184
Paraq_3,10.806
H2O2_1,12.4551
H2O2_2,13.1942
H2O2_3,13.1772
Oxctl_1,11.6668
Oxctl_2,11.9453
Oxctl_3,12.9462
GM-0.1_1,11.8711
GM-0.2_1,11.799
GM+5_1,12.5292
GM+15_1,12.368
GM+25_1,13.0213
GM+45_1,12.949000000000002
GM+60_1,13.2069
GM+90_1,12.8419
GM+120_1,11.5633
GM+150_1,12.4231
GM-0.1_2,12.8342
GM-0.2_2,11.4524
GM+5_2,12.7651
GM+10_2,12.4416
GM+15_2,12.3538
GM+25_2,12.7668
GM+45_2,10.8838
GM+60_2,11.7439
GM+90_2,12.6774
GM+150_2,12.2263
GM-0.1_3,12.725
GM-0.2_3,12.3576
GM+5_3,13.1259
GM+10_3,11.6512
GM+15_3,12.3196
GM+25_3,11.46
GM+45_3,11.3697
GM+60_3,11.4889
GM+90_3,11.1625
GM+120_3,12.0134
GM+150_3,11.8552
MG-0.1_1,12.4869
MG+5_1,12.5969
MG+10_1,12.8658
MG+15_1,12.1805
MG+25_1,12.4499
MG+45_1,12.9758
MG+120_1,11.3687
MG+150_1,11.6093
MG-0.1_2,10.9549
MG-0.2_2,12.5482
MG+5_2,12.3078
MG+10_2,13.0182
MG+15_2,12.0735
MG+25_2,12.264
MG+45_2,11.9157
MG+60_2,12.8927
MG+90_2,12.1369
MG+120_2,12.5642
MG-0.1_3,13.4229
MG-0.2_3,12.6382
MG+5_3,12.4334
MG+10_3,10.7953
MG+15_3,13.2978
MG+25_3,13.0931
MG+45_3,12.9771
MG+60_3,11.8789
MG+90_3,12.8091
MG+120_3,12.6169
MG+150_3,12.5916
