sample,new_663028_663224
LBexp_1,13.6077
LBexp_2,13.8907
LBexp_3,14.0422
LBtran_1,14.0508
LBtran_2,14.4327
LBtran_3,14.4341
LBstat_1,13.5984
LBstat_2,13.4447
LBstat_3,13.0535
LBGexp_1,13.4767
LBGexp_2,13.4914
LBGexp_3,13.626
LBGtran_2,13.5464
LBGtran_3,13.9173
LBGstat_1,11.3456
LBGstat_2,11.4212
LBGstat_3,11.9417
S0_1,13.7757
S0_2,13.7043
S0_3,13.4619
S1_1,13.8466
S1_2,13.470999999999998
S1_3,13.5008
S2_1,12.7942
S2_2,12.8125
S2_3,12.159
S3_1,12.8542
S3_2,12.5345
S4_1,12.5884
S4_2,11.8735
S4_3,11.472
S5_1,11.8825
S5_2,11.4378
S5_3,11.9916
S6_1,10.7053
S6_2,8.5203
S6_3,11.0118
S6/t_1,10.5156
S6/t_2,7.5879
S6_4,10.6871
S6_5,11.4234
S6_6,11.537
S7_4,11.4644
S7_5,11.3557
S7_6,11.3741
S8_4,11.0159
S8_5,10.9027
G135_1,13.0886
G135_3,11.1022
G150_1,12.9166
G150_2,13.2289
G150_3,13.3064
G180_1,12.4813
G180_2,12.7386
G180_3,12.2126
C30_1,12.2507
C30_2,12.4995
C90_1,14.0917
C90_2,13.9057
BI_1,13.8118
BI_2,13.866
BC_2,12.4151
BC/t_1,12.2806
BC/t_2,12.639
BC_1,12.1656
Sw_1,12.8087
Sw_2,13.0568
BT_1,12.5849
BT_2,11.979
B36_1,12.4546
B36_2,12.0253
B60_1,12.2368
B60_2,12.1199
M9exp_1,13.683
M9exp_2,12.9504
M9exp_3,13.1768
M9tran_1,12.8283
M9tran_2,12.7094
M9tran_3,13.2174
M9stat_1,10.5667
M9stat_2,10.2439
M9stat_3,9.2088
M+G_1,13.2097
M+G_2,13.5238
M+G_3,13.3723
Glu_1,13.5671
Glu_2,13.5217
Glu_3,13.6211
Fru_1,13.2202
Fru_2,14.1474
Fru_3,13.158
Mal_1,13.2998
Mal_2,13.2385
Mal_3,13.2345
G+S_2,13.308
G+S_3,13.2942
Pyr_1,11.9683
Pyr_2,13.1717
Pyr_3,12.684
Gly_1,11.8471
Gly_2,13.0686
Gly_3,11.7384
Glucon_1,12.3744
Glucon_2,12.7958
Glucon_3,10.3135
aero_1,14.298
aero_2,13.470999999999998
aero_3,14.1604
nit_1,13.639
nit_2,13.8928
nit_3,13.4895
ferm_1,13.7892
ferm_2,13.4517
ferm_3,13.8068
T-5.40H_1,13.6901
T-4.40H_1,13.5032
T-3.40H_1,13.4736
T-2.40H_1,13.1891
T-1.40H_1,13.1662
T-1.10H_1,13.2377
T-0.40H_1,13.3401
T0.0H_1,13.2658
T0.30H_1,11.4768
T1.0H_1,11.7986
T1.30H_1,11.1754
T2.0H_1,10.2498
T2.30H_1,11.6
T3.0H_1,11.2828
T3.30H_1,11.7624
T4.0H_1,11.7439
T5.0H_1,10.8551
HPh_1,14.4232
HPh_2,13.6623
HPh_3,14.4599
LPh_1,13.952
LPh_2,14.1185
LPh_3,13.8807
LPhT_1,13.4572
LPhT_2,13.6749
LPhT_3,13.5379
SMMPr_1,13.2311
SMMPr_2,13.4646
SMMPr_3,13.7563
HiTm_1,13.5141
HiTm_2,13.3511
HiTm_3,13.550999999999998
LoTm_1,13.3433
LoTm_2,13.4174
LoTm_3,13.1059
HiOs_1,13.4106
HiOs_2,13.3849
HiOs_3,13.6875
BMM_1,13.3613
BMM_2,13.217
BMM_3,13.2592
Heat_1,13.8468
Heat_2,13.4277
