,1
LBexp_1,4.8283216824
LBexp_2,6.3582534335
LBexp_3,6.8873920925
LBtran_1,20.3030526813
LBtran_2,12.2035866373
LBtran_3,10.5290334052
LBstat_1,26.643298912
LBstat_2,27.6920682971
LBstat_3,27.3658239466
LBGexp_1,2.6138821413
LBGexp_2,3.3924575912
LBGexp_3,3.6594689667
LBGtran_2,9.0991806099
LBGtran_3,6.1297073004
LBGstat_1,4.7526236809
LBGstat_2,6.9489156966
LBGstat_3,6.637741014
S0_1,12.1371092262
S0_2,11.9645535101
S0_3,12.4789017651
S1_1,8.3578988964
S1_2,9.2618327045
S1_3,9.1401309485
S2_1,13.8933071591
S2_2,15.2755021053
S2_3,16.0321771948
S3_1,12.1172447023
S3_2,11.835492243400001
S4_1,12.9707965599
S4_2,16.4215615642
S4_3,15.594484747
S5_1,15.7235879639
S5_2,16.8678243027
S5_3,14.8526272357
S6_1,24.2955863748
S6_2,37.683871491
S6_3,22.9225537338
S6/t_1,24.4234742786
S6/t_2,35.5884853284
S6_4,22.3975927828
S6_5,23.6318870813
S6_6,21.3428633364
S7_4,24.675799407
S7_5,26.1718209532
S7_6,23.8432577373
S8_4,25.8078757722
S8_5,33.5168514644
G135_1,8.3514247954
G135_3,11.2085803689
G150_1,11.7138233136
G150_2,3.7902543239
G150_3,11.5312795494
G180_1,5.4203496445
G180_2,3.7787249915
G180_3,7.0014649671
C30_1,6.2119712946
C30_2,6.0721236162
C90_1,9.3773832066
C90_2,8.4471735602
BI_1,19.5138666795
BI_2,19.6039767529
BC_2,35.1795931524
BC/t_1,33.0778439828
BC/t_2,31.5443081652
BC_1,33.6130370916
Sw_1,40.2369459004
Sw_2,39.8427856664
BT_1,19.9052434088
BT_2,21.4213437575
B36_1,21.095978693
B36_2,17.4875051287
B60_1,34.305133192
B60_2,30.4599015704
M9exp_1,-0.423721135
M9exp_2,0.1732327851
M9exp_3,0.2504883499
M9tran_1,2.8233451733
M9tran_2,2.475835228
M9tran_3,2.0271674344
M9stat_1,21.250443653
M9stat_2,22.6278563399
M9stat_3,23.3786774514
M+G_1,5.1446995692
M+G_2,1.2494137218999999
M+G_3,1.7718555224
Glu_1,2.9603767992
Glu_2,3.0152087071
Glu_3,2.3382480338000002
Fru_1,2.4142300354
Fru_2,5.8829405664
Fru_3,5.4341215949
Mal_1,5.982399308
Mal_2,4.5961066686
Mal_3,5.2228311313
G+S_2,9.3873642877
G+S_3,9.3863999996
Pyr_1,6.5173763095
Pyr_2,5.457358682
Pyr_3,6.0416632595
Gly_1,14.4593733533
Gly_2,12.3462202698
Gly_3,16.2292378522
Glucon_1,9.8606952388
Glucon_2,9.5877899786
Glucon_3,11.3978216388
aero_1,-0.0613191057
aero_2,2.0775367154
aero_3,0.5659409308000001
nit_1,5.0355679898
nit_2,3.3824877617
nit_3,4.6269635785
ferm_1,9.4731359629
ferm_2,3.7394764429
ferm_3,5.4683989694
T-5.40H_1,2.5052511297
T-4.40H_1,1.6796848269
T-3.40H_1,1.9317043925
T-2.40H_1,2.4570246494
T-1.40H_1,2.881443713
T-1.10H_1,4.2497583076
T-0.40H_1,4.5149696224
T0.0H_1,7.9827099651
T0.30H_1,52.6602663538
T1.0H_1,32.4058775288
T1.30H_1,24.1176938693
T2.0H_1,14.7492239577
T2.30H_1,11.669407809199999
T3.0H_1,8.0779627531
T3.30H_1,7.2026193699
T4.0H_1,7.5028146663
T5.0H_1,5.4993405098
HPh_1,1.366063948
HPh_2,0.36960823540000004
HPh_3,1.3175144331
LPh_1,0.7230954726000001
LPh_2,-0.5136369501
LPh_3,0.7277298601000001
LPhT_1,6.6911452998000005
LPhT_2,5.1370207585
LPhT_3,5.5095656301
SMMPr_1,3.2358903124
SMMPr_2,3.957598558
SMMPr_3,4.4743558125
HiTm_1,14.3359121126
HiTm_2,11.5576521853
HiTm_3,10.2672079971
LoTm_1,8.1565156911
LoTm_2,9.2012140898
LoTm_3,8.718934304
HiOs_1,5.3694253974
HiOs_2,5.5742234188
HiOs_3,5.7514227967
BMM_1,-1.1394011067
BMM_2,-0.8443017478
BMM_3,-2.4486581821
Heat_1,4.0129919423
Heat_2,4.0207487216
Heat_3,4.7188973862
Cold_1,-5.9004640389
Cold_2,-4.2451948888
Cold_3,-2.6108427696
Etha_1,6.9002498518
Etha_2,7.6532093833
Etha_3,5.8811873593
SMM_1,0.9735879959
SMM_2,0.9145262839
SMM_3,0.7058396783
Salt_1,0.7181253901
Salt_2,0.9111900392000001
Salt_3,0.024227211000000002
Mt0_1,5.7878973398
Mt0_3,7.4277507341
M0t45_1,7.342278914
M0t45_2,5.7650815478
M0t45_3,8.0446626134
M0t90_1,19.3671055076
M0t90_2,24.6497849065
M0t90_3,22.3319477609
M40t45_1,9.0466150413
M40t45_2,20.5079111071
M40t45_3,7.0470626643
M40t90_1,23.8876853477
M40t90_2,27.04558662
M40t90_3,27.6334512951
dia0_1,6.9631364553
dia0_2,6.5968525153
dia0_3,4.1604344783
dia5_1,11.5438309861
dia5_2,10.4550170449
dia5_3,8.3025151029
dia15_1,6.2058883794
dia15_2,-0.5005611543
dia15_3,2.8679258163
Diami_1,5.7937227437
Diami_2,3.7877902952999998
Diami_3,4.9833140406
Paraq_1,1.1520356814000001
Paraq_2,-0.23538842780000002
Paraq_3,3.591925865
H2O2_1,1.0940903546
H2O2_2,0.16636792120000002
H2O2_3,0.9723757922
Oxctl_1,3.8453225571000003
Oxctl_2,3.6010600115
Oxctl_3,0.7765972543
GM-0.1_1,3.6964142896
GM-0.2_1,5.4902315764
GM+5_1,3.5188865217
GM+15_1,1.0945260173
GM+25_1,-1.2393804887
GM+45_1,-0.1910180296
GM+60_1,0.0758878112
GM+90_1,0.9390887863
GM+120_1,4.6796428229
GM+150_1,2.041664209
GM-0.1_2,2.3377925062
GM-0.2_2,3.6005370842
GM+5_2,2.1126894038
GM+10_2,1.0874019625
GM+15_2,0.9583853756
GM+25_2,-0.7286155856000001
GM+45_2,0.5585031328
GM+60_2,2.8585705757
GM+90_2,1.3912124494
GM+150_2,3.6295527677
GM-0.1_3,2.9908922006000003
GM-0.2_3,2.135493074
GM+5_3,2.658862302
GM+10_3,3.1466090092
GM+15_3,1.6519818751000002
GM+25_3,2.5295533247
GM+45_3,4.8448301178
GM+60_3,4.2054914932
GM+90_3,3.0233908825
GM+120_3,3.9185272436
GM+150_3,2.0443031113
MG-0.1_1,2.3761000312
MG+5_1,0.1425903633
MG+10_1,-2.2353769497
MG+15_1,-0.10586153
MG+25_1,-0.5823020588
MG+45_1,1.3268035364
MG+120_1,4.676440609
MG+150_1,2.7987034499
MG-0.1_2,2.322350977
MG-0.2_2,1.3026032589
MG+5_2,-1.0222567329
MG+10_2,-1.8849730767000001
MG+15_2,-1.0693237654
MG+25_2,-0.1383312707
MG+45_2,2.2982504676
MG+60_2,2.0199787775
MG+90_2,1.153390333
MG+120_2,2.5586973613
MG-0.1_3,1.4006276180000001
MG-0.2_3,2.2619196722
MG+5_3,0.4770582605
MG+10_3,2.7734473688
MG+15_3,-1.5159123346999999
MG+25_3,-0.7268677948000001
MG+45_3,-0.18513933030000002
MG+60_3,1.5440909331000001
MG+90_3,1.2359245063
MG+120_3,3.7342091586
MG+150_3,1.7569341085999999
