,Value,list
TF,[CcpA + SigA] / [CcpN],
reg_genes,255,"['S1084' 'mdh' 'degS' 'xynB' 'yjmD' 'S1079' 'phoR' 'iolG' 'resA' 'uxaC'
 'fadE' 'dra' 'hutU' 'gmuC' 'glmR' 'kduD' 'mleN' 'ccpC' 'resE' 'ackA'
 'S1099' 'S322' 'S1119' 'sigB' 'resC' 'crh' 'hutI' 'S1097' 'speD' 'S879'
 'nagB' 'thyB' 'xynP' 'yvcN' 'rapC' 'melA' 'rsbU' 'S83' 'iolH' 'rsbT'
 'citM' 'yjmB' 'phrC' 'lcfB' 'S746' 'manR' 'fadA' 'rsbW' 'phrG' 'glpK'
 'uxaA' 'S203' 'glpQ' 'iolI' 'abf2' 'araM' 'rhaB' 'S452' 'yvcI' 'S262'
 'hutM' 'pta' 'nupC' 'rapA' 'gmuD' 'S323' 'fadN' 'ywdA' 'xylB' 'S854'
 'S1382' 'kdgR' 'yflN' 'S1120' 'S1505' 'S1518' 'S947' 'icd' 'ganB' 'yvcJ'
 'S836' 'yjmF' 'exuT' 'S1085' 'odhB' 'kduI' 'pupG' 'mleA' 'S1512' 'ganS'
 'licH' 'kdgT' 'rsbX' 'fadB' 'gmuR' 'uxuA' 'degU' 'S1506' 'araQ' 'resB'
 'S1528' 'S1464' 'ilvH' 'melD' 'S1322' 'araD' 'hutG' 'melC' 'S533' 'etfB'
 'leuA' 'ganQ' 'hutH' 'S636' 'S1516' 'phoP' 'qcrA' 'leuC' 'glpT' 'whiA'
 'citB' 'S1517' 'ilvC' 'S1513' 'sacP' 'araL' 'treA' 'mtlR' 'glpD' 'rhaR'
 'S1524' 'uxaB' 'rhaEW' 'treR' 'malA' 'gntZ' 'odhA' 'ysfE' 'glvR' 'abfA'
 'yjmC' 'malP' 'rapG' 'S878' 'ilvB' 'S1355' 'S634' 'rsbV' 'citZ' 'sacA'
 'araE' 'rsbS' 'gmuE' 'S534' 'S1481' 'etfA' 'S1138' 'gmuF' 'exuR' 'S1087'
 'fadR' 'araN' 'S1101' 'ganP' 'ganA' 'abnA' 'xylA' 'leuD' 'yxiE' 'S82'
 'bglS' 'wprA' 'leuB' 'gmuA' 'S635' 'phrE' 'gmuB' 'S667' 'nagA' 'drm'
 'iolJ' 'ytzK' 'S138' 'tyrS' 'S1092' 'iolE' 'nagR' 'pdp' 'araB' 'araA'
 'rsbR' 'dfrA' 'kdgK' 'S668' 'S1100' 'resD' 'S1093' 'rhaA' 'iolF' 'araP'
 'S1356' 'phrA' 'gmuG']"
comp_genes,85,"['S476' 'S744' 'yerA' 'S1490' 'S1514' 'ykoM' 'S150' 'msmX' 'yrbE' 'S858'
 'cggR' 'S345' 'S1470' 'S517' 'S637' 'S949' 'dprA' 'S438' 'S381' 'S1309'
 'ptsG' 'yncC' 'S1302' 'S505' 'S222' 'csbX' 'S1107' 'S727' 'S385' 'lutP'
 'ywcE' 'S950' 'S346']"
both_genes,52,"['sspH' 'rbsK' 'qcrC' 'hutP' 'rhaM' 'acuB' 'licB' 'acoR' 'yneN' 'S1525'
 'S1465' 'acuC' 'acsA' 'gapB' 'amyE' 'abn2' 'lcfA' 'licA' 'glpF' 'gntP'
 'iolD' 'melE' 'pckA' 'S108' 'licC' 'dctP' 'rbsB' 'S948' 'kdgA' 'gntR'
 'S321' 'bglH' 'cccA' 'cstA' 'iolC' 'S669' 'ylbP' 'iolA' 'acuA' 'iolB'
 'rbsA' 'sr1' 'S1526' 'melR' 'rbsC' 'bglP' 'treP' 'rbsD' 'qcrB' 'S1098'
 'rbsR' 'gntK']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,84,
comp_ops,38,
both_ops,28,
