locus,comp,gene_name,product,operon,TF,GerR,GerE,SigK,link
BSU36070,0.255027432,cotG,spore coat protein,cotG,"GerR, GerE, SigK, SigE",True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36070
BSU11809,0.239346347,yjcZ,unknown,yjzK->spoVIF,,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11809
BSU11760,0.229587752,cotX,spore crust protein (insoluble fraction),"cotX, cotV->cotX","GerR, GerE, SigK, SigE, SpoIIID",True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11760
new_1251175_1251272_c,0.19639210000000001,S421,intergenic region,,"GerE, SigK, SigE, SpoIIID",False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1251175_1251272_c
BSU11770,0.188232631,cotW,spore crust protein (insoluble fraction),cotV->cotX,"GerE, SigK, SigE, SpoIIID",False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11770
BSU11780,0.18162252,cotV,spore crust protein (insoluble fraction),cotV->cotX,"GerE, SigK, SigE, SpoIIID",False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11780
BSU11810,0.158423725,spoVIF,unknown,"yjzK->spoVIF, spoVIF","GerR, SigK",True,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11810
new_1253253_1253384,0.145850485,S424,intergenic region,,,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1253253_1253384
BSU19780,0.129783533,cgeA,spore crust protein,cgeA->cgeB,"GerR, GerE, SigK",True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU19780
BSU11750,0.12509023800000002,cotY,spore crust protein (insoluble fraction),cotY->cotZ,"GerR, GerE, SigK, SigE",True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11750
new_1527018_1527086_c,0.12283875699999999,S530,5'UTR of ykzV,,,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1527018_1527086_c
BSU32640,0.11724745199999999,sspG,small acid-soluble spore protein (minor),"sspG, sspG->yurS","GerE, SigK",False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32640
new_1249889_1250015_c,0.115393194,S420,intergenic region,,"GerR, GerE, SigK, SigE",True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1249889_1250015_c
BSU14569,0.108847493,ykzV,unknown,ykzV,,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14569
BSU09958,0.10612681199999999,sscA,small spore protein,sscA,"GerE, SigK",False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09958
BSU11740,0.093007221,cotZ,spore crust protein (insoluble fraction),cotY->cotZ,"GerR, GerE, SigK, SigE",True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11740
BSU12090,0.092828664,cotT,spore coat protein (inner),cotT,"GerE, SigK, SigE, SpoIIID",False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12090
