,A,SigK
R2,,0.5879344139132513
xmin,,6.9517
xmid,,9.257782276362846
xmax,,15.7367
ystart,,0.5711745944044182
yend,,40.030428222074896
LBexp_1,-5.3050251877,7.8045
LBexp_2,-5.2827142839,7.5472
LBexp_3,-3.0175740865,7.7913
LBtran_1,-0.6394004014,7.2827
LBtran_2,-1.1890759902,7.1441
LBtran_3,-0.8723963811000001,7.4822
LBstat_1,1.0788263914,7.5542
LBstat_2,3.4564585325,7.6245
LBstat_3,4.6156257121,7.6289
LBGexp_1,-4.3310366931,7.7687
LBGexp_2,-4.030100969,7.4084
LBGexp_3,-3.8400845532,7.5294
LBGtran_2,1.0632061093,7.5824
LBGtran_3,-2.2852347779,7.7074
LBGstat_1,1.984119308,7.3331
LBGstat_2,3.6234922085,7.3484
LBGstat_3,4.3588402899,7.7797
S0_1,8.5849608878,7.4132
S0_2,7.2744404943,7.6196
S0_3,6.6525564753,7.93
S1_1,9.5912253847,8.3552
S1_2,11.5000211351,8.3641
S1_3,5.8171936105,8.1353
S2_1,7.8997404397,8.5471
S2_2,7.2277960997,7.8577
S2_3,6.4639070079,7.8177
S3_1,8.5214903863,12.0091
S3_2,6.2981579543,12.5368
S4_1,8.1913921424,15.1769
S4_2,10.6708081419,15.1607
S4_3,8.4104001037,15.2242
S5_1,16.7843035433,15.5351
S5_2,17.1052840233,15.683
S5_3,15.1961068753,15.7311
S6_1,34.5499661454,15.5885
S6_2,44.284031719,15.5167
S6_3,35.0817365957,15.3973
S6/t_1,33.883788008,15.7367
S6/t_2,41.7589947456,14.4518
S6_4,41.8998935066,15.1857
S6_5,39.3797328401,15.6683
S6_6,37.1141549835,15.5095
S7_4,47.4749778336,15.1559
S7_5,45.911796084,14.8581
S7_6,41.6220607139,14.9461
S8_4,52.3630035778,14.6569
S8_5,51.8637938223,14.7966
G135_1,3.5076424811,7.8144
G135_3,10.7553461874,7.6058
G150_1,1.2856509296,7.621
G150_2,-1.3757797219,7.8256
G150_3,1.158720002,7.8102
G180_1,1.5996636768,7.6659
G180_2,-1.4116067813,7.4942
G180_3,5.7241078319,7.3527000000000005
C30_1,9.5213109204,8.7646
C30_2,8.1774492847,9.0207
C90_1,3.645568515,8.3619
C90_2,-1.7357182512,7.6226
BI_1,-4.216938031,8.1915
BI_2,-5.8355139374,8.0992
BC_2,0.8948892542,10.2943
BC/t_1,3.5207704895000003,9.2351
BC/t_2,7.1506723391,10.4681
BC_1,2.4231224611,9.2728
Sw_1,0.46331030370000004,7.1172
Sw_2,-1.7390060956000002,7.2591
BT_1,66.4829442738,14.1164
BT_2,64.6401106533,13.7526
B36_1,60.4826573431,14.611
B36_2,59.3363677861,14.4254
B60_1,31.7685562032,13.2646
B60_2,33.9427864326,13.107
M9exp_1,1.7042371334,8.6178
M9exp_2,2.8489215252999998,8.3599
M9exp_3,-4.5531586588,7.6103000000000005
M9tran_1,-1.9174178708,8.1205
M9tran_2,-0.945787012,8.3123
M9tran_3,6.7910143988,8.1061
M9stat_1,12.9159921507,10.1831
M9stat_2,11.4771111052,8.3991
M9stat_3,10.8144471607,8.1221
M+G_1,7.3531704045,8.6072
M+G_2,4.36218344,8.1435
M+G_3,7.3547996181,8.0244
Glu_1,-3.5195771324000003,8.1603
Glu_2,-3.8237472364,8.1629
Glu_3,0.3580266775,8.1314
Fru_1,-4.8805048399,7.4673
Fru_2,3.3448152492,8.7592
Fru_3,4.9933202232,7.9952000000000005
Mal_1,5.0862740948,7.6423
Mal_2,13.7014092879,8.1427
Mal_3,13.9654624469,7.5436
G+S_2,35.9825474906,12.8934
G+S_3,40.4943779679,13.6066
Pyr_1,19.3445216671,12.263
Pyr_2,43.3353366087,12.9936
Pyr_3,42.4942733295,12.905
Gly_1,6.8406244783,8.2573
Gly_2,5.8909969077,8.7582
Gly_3,11.3902199493,8.1787
Glucon_1,26.7116199041,10.0709
Glucon_2,29.0078433889,10.3022
Glucon_3,7.4258444617,8.2713
aero_1,5.8039374694,9.8817
aero_2,0.4514500671,8.1947
aero_3,-2.3319033492,9.4269
nit_1,12.7240818797,13.2239
nit_2,0.2998910685,11.4665
nit_3,2.2524188196,12.7737
ferm_1,13.4943925249,13.2202
ferm_2,2.2440126448,10.8721
ferm_3,2.1710628264,12.628
T-5.40H_1,-5.7804458427,11.0814
T-4.40H_1,-4.9123168085,10.4217
T-3.40H_1,-5.2281072699,9.4678
T-2.40H_1,-4.6356902316,8.9872
T-1.40H_1,-4.4721859017,8.484
T-1.10H_1,-5.5367426680000005,8.6652
T-0.40H_1,-4.9004676146,8.7838
T0.0H_1,-5.0407109689,8.1495
T0.30H_1,4.4463965876,8.0044
T1.0H_1,3.2999428844,7.9921
T1.30H_1,6.010426087,8.1263
T2.0H_1,6.795782346,8.2586
T2.30H_1,1.712270441,8.6171
T3.0H_1,2.6900586563999997,8.8112
T3.30H_1,2.7698486019,9.6875
T4.0H_1,1.5534852208,10.6293
T5.0H_1,4.9926116645,11.1793
HPh_1,-2.317521181,8.595
HPh_2,-3.2696520784,8.1915
HPh_3,-1.2222731131,8.5719
LPh_1,-3.113060505,8.4029
LPh_2,-6.3049930212,8.4174
LPh_3,-2.1140268033,8.2809
LPhT_1,1.6758061159,8.9756
LPhT_2,0.1585446435,8.9766
LPhT_3,-0.3260184396,9.0225
SMMPr_1,10.8520638708,11.5511
SMMPr_2,9.8936948401,11.2995
SMMPr_3,14.5148506641,10.9516
HiTm_1,2.091312466,7.5107
HiTm_2,-2.0610992797,7.3351
HiTm_3,-0.9431390798,7.5176
LoTm_1,6.7561619187,10.579
LoTm_2,4.5214551589,10.5707
LoTm_3,9.9908650897,11.3319
HiOs_1,-2.3721509472,9.2508
HiOs_2,1.8551623349000002,9.5191
HiOs_3,-1.6994966839,8.9513
BMM_1,-6.5087587683,7.785
BMM_2,-5.1367987753,7.707
BMM_3,-4.290765159,7.8661
Heat_1,-3.3353914891,8.129
Heat_2,-4.5546387833,7.6074
Heat_3,-0.8246692081,7.8953
Cold_1,-5.3822227685,8.0516
Cold_2,-2.0954897372,7.9266000000000005
Cold_3,0.6614269263,7.8169
Etha_1,6.2567488778,7.7727
Etha_2,8.0010473299,7.8858
Etha_3,4.588360362,7.5543
SMM_1,-3.6800695560000003,8.4142
SMM_2,-5.0226611256,8.3815
SMM_3,-4.9877612298,8.8295
Salt_1,-0.7950224941,8.2086
Salt_2,-0.015659567200000002,8.2485
Salt_3,-0.6535487251000001,8.1111
Mt0_1,-3.7397455276000002,7.8132
Mt0_3,-5.9430627054,7.68
M0t45_1,-2.9507125118,7.6178
M0t45_2,-4.9999192001,7.7624
M0t45_3,-5.2779909469,7.4985
M0t90_1,4.522153237,7.5457
M0t90_2,-2.1571713177,7.2343
M0t90_3,-0.4739770703,7.2245
M40t45_1,-1.1993395738000001,7.696
M40t45_2,-0.9832008122,7.4304
M40t45_3,-6.7663458945,7.4239
M40t90_1,1.0044565717,7.2348
M40t90_2,-2.6059591223,7.112
M40t90_3,-2.7617581009,7.2391
dia0_1,-4.2080962799,7.4943
dia0_2,-5.2561552285,7.5666
dia0_3,-7.7572590319,7.7949
dia5_1,-3.7794191307,7.2002
dia5_2,-2.6074564244,7.4928
dia5_3,-4.8833067258,7.061
dia15_1,-3.9448325638,8.1481
dia15_2,-3.861472135,8.8984
dia15_3,-0.8719149723,7.6807
Diami_1,1.4627512748,7.7226
Diami_2,-3.4174786985,7.4224
Diami_3,0.7881066061,8.0491
Paraq_1,-0.0042435094000000005,8.534
Paraq_2,-4.6446994152,8.3597
Paraq_3,2.4848272587,7.7702
H2O2_1,-1.4444933902,8.4929
H2O2_2,-2.9124762446,8.7637
H2O2_3,0.12391392420000001,8.8928
Oxctl_1,2.193581349,8.3895
Oxctl_2,0.6383427283,8.3391
Oxctl_3,-4.0183798727,8.2493
GM-0.1_1,-1.6423978315999999,7.7296
GM-0.2_1,0.6519245064,8.1806
GM+5_1,-1.7846663752,7.7788
GM+15_1,-3.0593917328,7.8954
GM+25_1,-4.3988332906,8.0194
GM+45_1,-3.7091768516,8.0639
GM+60_1,-4.176616638,7.959
GM+90_1,-3.9185748096,8.2186
GM+120_1,3.0086595313,8.3486
GM+150_1,-0.7152323745,8.3086
GM-0.1_2,-6.0852855627,7.4911
GM-0.2_2,-2.9424156081,7.8187
GM+5_2,-7.4347590174,7.42
GM+10_2,-6.4346825302,7.2171
GM+15_2,-3.0016568755,7.5127
GM+25_2,-4.1117590293,7.4702
GM+45_2,-3.2676400123000002,7.1075
GM+60_2,0.159918223,7.7086
GM+90_2,-1.6456164324,8.3258
GM+150_2,-1.5466647447000001,7.8773
GM-0.1_3,-2.7532915699,7.9518
GM-0.2_3,-5.0912373509,7.6441
GM+5_3,-5.6869004605,7.8913
GM+10_3,-1.2148711919,7.4962
GM+15_3,-3.4523320507,7.7943999999999996
GM+25_3,-0.2550814803,7.9083
GM+45_3,2.8342418729,8.2022
GM+60_3,2.0870654443,8.0418
GM+90_3,-0.7156352481,8.1188
GM+120_3,2.5647931679,8.7539
GM+150_3,-3.5604883352,8.1743
MG-0.1_1,27.8790409595,7.5512
MG+5_1,27.0081013779,7.7595
MG+10_1,25.4528211728,7.5605
MG+15_1,24.0641520947,7.5416
MG+25_1,21.5418460586,7.7238
MG+45_1,17.7753843219,7.6835
MG+120_1,5.9013666797,7.865
MG+150_1,1.607987727,8.0766
MG-0.1_2,3.3589395896,6.9517
MG-0.2_2,2.5218538221999998,7.0622
MG+5_2,2.5840827146,7.0098
MG+10_2,2.7719075909,7.1919
MG+15_2,2.4786680805,7.8795
MG+25_2,3.0325612427,7.4864
MG+45_2,1.6430422610000002,7.3428
MG+60_2,0.10422432790000001,7.6444
MG+90_2,-2.6062290327,7.2017
MG+120_2,-3.9041285346,7.7157
MG-0.1_3,-6.7236160369,7.3805
MG-0.2_3,-2.6013815806,7.4915
MG+5_3,-0.9771370119,7.6269
MG+10_3,0.5853304962,7.8694
MG+15_3,-5.6959351445,7.389
MG+25_3,-5.3484903383,7.3303
MG+45_3,-7.1338503065,7.4893
MG+60_3,-2.442965513,7.7164
MG+90_3,-6.6901715836,7.3035
MG+120_3,-4.14692003,7.2908
MG+150_3,-3.5614991089,7.7766
