,A,PurR
R2,,0.31123591130003925
xmin,,-4.942333333333334
xmid,,
xmax,,1.1597666666666662
ystart,,-26.518443319755864
yend,,-0.6160693135669604
LBexp_1,-10.9971591455,0.3012666666666668
LBexp_2,-6.044945772,0.205566666666666
LBexp_3,-6.344028419,-0.4432333333333336
LBtran_1,-15.432927692,-1.3040333333333347
LBtran_2,-11.860223116,-1.7375333333333334
LBtran_3,-10.7305497074,-1.4768333333333334
LBstat_1,-17.7831268717,-2.4805333333333337
LBstat_2,-17.1147727582,-2.5183333333333344
LBstat_3,-15.9464489657,-2.782233333333334
LBGexp_1,-3.9457566938,0.6913666666666654
LBGexp_2,-8.2089328626,0.12636666666666585
LBGexp_3,-7.2881583897,0.05966666666666676
LBGtran_2,-8.8410306141,-2.1242333333333345
LBGtran_3,-4.7181357385,-0.9403333333333332
LBGstat_1,-9.050625852,-1.6406333333333336
LBGstat_2,16.1169833018,-2.070333333333334
LBGstat_3,-20.4468999745,-2.446533333333333
S0_1,-1.1897728276,-0.2968333333333337
S0_2,0.1079650733,-0.8638333333333339
S0_3,-1.7344774102,-1.0717333333333343
S1_1,-12.2082319525,-0.2092333333333336
S1_2,-12.5846480126,-0.44333333333333336
S1_3,-12.7745164085,-0.3231333333333346
S2_1,-23.9748586757,-1.5342333333333347
S2_2,-23.9202900095,-1.6575333333333333
S2_3,-24.2709774399,-2.087833333333334
S3_1,-13.7852050782,-1.3094333333333346
S3_2,-22.1569907768,-2.002133333333333
S4_1,-11.9091493707,-3.345133333333333
S4_2,-15.4580554179,-3.5443333333333342
S4_3,-13.1860017144,-2.982733333333334
S5_1,-20.7459095808,-3.5830333333333346
S5_2,-23.2513827674,-4.942333333333334
S5_3,-21.2792156496,-4.211033333333335
S6_1,-24.7562686754,-3.5967333333333347
S6_2,-25.0908088697,-4.773833333333334
S6_3,-23.9052887759,-4.665333333333335
S6/t_1,-24.2289634004,-3.4147333333333343
S6/t_2,-23.4090869734,-4.778433333333334
S6_4,-26.2368427749,-3.2309333333333345
S6_5,-26.9916044243,-2.6814333333333344
S6_6,-26.7678308974,-2.9092333333333347
S7_4,-26.6757648585,-2.6299333333333337
S7_5,-26.4963396762,-2.707633333333334
S7_6,-26.4082226691,-2.396633333333334
S8_4,-25.2137837147,-3.131733333333335
S8_5,-23.4155970141,-3.0122333333333344
G135_1,-15.1984826125,0.3740666666666659
G135_3,-17.1674694069,-1.515133333333333
G150_1,-17.7946697401,-0.15323333333333444
G150_2,-12.9102798726,0.46156666666666624
G150_3,-16.8662138464,0.27096666666666636
G180_1,-13.5662930607,-0.04453333333333376
G180_2,-11.5400057403,0.4873666666666665
G180_3,-15.1064426643,-0.5915333333333344
C30_1,-12.8278204221,-0.7813333333333343
C30_2,-12.2156690769,-0.5008333333333344
C90_1,-11.856314427400001,-0.4288333333333334
C90_2,-9.5052047285,-0.24473333333333436
BI_1,-19.3948552845,-0.25383333333333447
BI_2,-17.1101326941,0.019166666666665222
BC_2,-25.5192838511,-0.3660333333333341
BC/t_1,-26.2978694706,-0.7227333333333341
BC/t_2,-26.3615773994,-0.4987333333333339
BC_1,-25.5557883817,-0.9523333333333337
Sw_1,-23.4845449971,-0.17783333333333395
Sw_2,-22.3141658395,0.258166666666666
BT_1,-10.9447574623,-2.462533333333335
BT_2,-11.2344147274,-3.0241333333333333
B36_1,0.32155860610000003,-1.1514333333333333
B36_2,-1.3558703917,-1.1539333333333346
B60_1,-9.0324015115,-1.7301333333333346
B60_2,-9.0214413741,-1.2135333333333342
M9exp_1,0.0827484458,0.24196666666666644
M9exp_2,-0.3308227718,-0.054233333333334244
M9exp_3,0.24807432610000002,-0.18773333333333397
M9tran_1,-3.9217594468,-0.7402333333333342
M9tran_2,-4.657707294,-0.8995333333333342
M9tran_3,-3.3569112679,-0.18733333333333313
M9stat_1,-22.8345409471,-3.7531333333333343
M9stat_2,-22.3520411713,-3.960533333333334
M9stat_3,-21.714700217,-4.249433333333334
M+G_1,-3.6501361095,-0.8769333333333336
M+G_2,-1.5051880833,-0.2570333333333341
M+G_3,-2.3696438243,-0.4990333333333332
Glu_1,-0.5188585607,0.32746666666666613
Glu_2,0.3283267207,0.12866666666666582
Glu_3,0.7520524335000001,0.26046666666666596
Fru_1,1.7122633353,-0.00713333333333388
Fru_2,-2.199671298,0.3454666666666668
Fru_3,-1.7658064533000002,-0.620333333333333
Mal_1,-4.3234458965,-1.3742333333333345
Mal_2,-4.5191666426,-0.6862333333333339
Mal_3,-4.2407443029,-0.6629333333333332
G+S_2,-8.8974644089,-1.1472333333333342
G+S_3,-7.6241822758,-0.7480333333333338
Pyr_1,-11.721648732,-1.5696333333333339
Pyr_2,-10.6567213945,-0.8235333333333337
Pyr_3,-11.0545414898,-1.1049333333333333
Gly_1,-0.8320826867000001,-2.051233333333334
Gly_2,-0.3625813673,-1.1253333333333337
Gly_3,-3.4120255212,-2.953733333333334
Glucon_1,-3.5859803918,-1.0097333333333331
Glucon_2,-2.4168604853,-0.5845333333333347
Glucon_3,-1.3787732432,-1.4364333333333335
aero_1,-0.8365147121000001,0.5856666666666666
aero_2,2.4144873899,-0.45163333333333355
aero_3,0.9130257218000001,0.06026666666666536
nit_1,-4.1133533848,-0.725833333333334
nit_2,-4.3408466812,-0.5645333333333333
nit_3,-6.253450798,-0.8366333333333333
ferm_1,-5.3173226174,-1.1212333333333344
ferm_2,-2.2803842688,-0.7048333333333332
ferm_3,-3.0582772108,-0.27293333333333436
T-5.40H_1,-4.2939522156,0.04636666666666578
T-4.40H_1,-4.0566277751,-0.050833333333333286
T-3.40H_1,-3.5185922705,0.04696666666666616
T-2.40H_1,-3.3879164865,-0.11763333333333392
T-1.40H_1,-3.7902215769,-0.2449333333333339
T-1.10H_1,-4.8048446917,-0.1871333333333336
T-0.40H_1,-6.152396466,-0.4075333333333333
T0.0H_1,-6.1178470349,-0.6038333333333341
