,A,SigG
R2,,0.7423572791414959
xmin,,-0.5751666666666662
xmid,,1.8286392523477253
xmax,,6.764633333333333
ystart,,3.955129029645999
yend,,73.82055416422166
LBexp_1,-0.1954854454,-0.2008666666666663
LBexp_2,-2.1443684703,-0.39656666666666673
LBexp_3,2.06879098,-0.1726666666666663
LBtran_1,5.4836426712,-0.27676666666666616
LBtran_2,3.579673058,-0.3349666666666664
LBtran_3,4.9915485527,-0.0794666666666668
LBstat_1,4.5993915392,0.06893333333333374
LBstat_2,9.1524959205,0.19583333333333375
LBstat_3,11.6080582483,0.22483333333333366
LBGexp_1,1.5637633095,-0.25546666666666606
LBGexp_2,2.3968721489,-0.26106666666666634
LBGexp_3,1.8977185134,-0.22386666666666688
LBGtran_2,10.3316872394,0.14693333333333403
LBGtran_3,5.3169354277,0.20713333333333406
LBGstat_1,11.3408952515,0.4933333333333332
LBGstat_2,14.5027665985,0.3401333333333332
LBGstat_3,14.6791068404,0.6497333333333328
S0_1,0.288932532,-0.5751666666666662
S0_2,2.2455153934,-0.43886666666666674
S0_3,4.3010746528,-0.22376666666666623
S1_1,-3.4119113195,0.03763333333333385
S1_2,-2.2841490996,0.06043333333333312
S1_3,-5.7003711074,-0.011566666666666059
S2_1,6.3469528545,4.351533333333333
S2_2,1.5128097219,4.407933333333333
S2_3,3.0974477749,4.6258333333333335
S3_1,16.5565550838,5.883533333333333
S3_2,18.94113065,5.726733333333333
S4_1,64.9938135134,6.764633333333333
S4_2,71.1089451945,6.7607333333333335
S4_3,69.5220925595,6.6235333333333335
S5_1,86.6009288897,6.704033333333334
S5_2,87.0027970817,6.668433333333334
S5_3,87.4710689626,6.729133333333334
S6_1,87.1698069813,6.265133333333334
S6_2,92.3794770664,5.046333333333334
S6_3,84.1801848279,6.058433333333334
S6/t_1,84.2330665458,5.949633333333334
S6/t_2,87.042287661,4.576533333333333
S6_4,78.9825058638,5.577133333333333
S6_5,82.8796100993,6.031933333333334
S6_6,84.7366201792,6.229433333333334
S7_4,76.8048722164,5.7401333333333335
S7_5,76.883699759,5.682933333333334
S7_6,73.1378050406,5.9520333333333335
S8_4,72.8151423737,5.255933333333334
S8_5,81.5849186861,5.210733333333333
G135_1,8.6909033779,0.19393333333333285
G135_3,21.3631818573,-0.03276666666666639
G150_1,8.2952023886,-0.13376666666666637
G150_2,2.2024879184,-0.28256666666666685
G150_3,7.4177574189,-0.11146666666666594
G180_1,8.7222204439,0.06413333333333338
G180_2,4.1709491435,0.31123333333333303
G180_3,10.9384845741,0.023333333333333428
C30_1,19.4616955952,0.9980333333333329
C30_2,17.661697106,1.1025333333333327
C90_1,9.7618687154,0.5741333333333332
C90_2,0.924779926,0.040933333333333266
BI_1,11.3888529396,1.2088333333333336
BI_2,11.782687211,1.238833333333333
BC_2,17.038952303,3.2798333333333334
BC/t_1,17.904610322,2.7264333333333335
BC/t_2,22.7795395169,3.071833333333333
BC_1,15.9271029639,2.4661333333333344
Sw_1,8.4648203062,1.3631333333333329
Sw_2,4.452798275,1.6135333333333337
BT_1,50.4578568848,4.779933333333333
BT_2,52.4898954047,4.612033333333334
B36_1,28.0900708947,4.942933333333333
B36_2,30.618135398,4.733933333333334
B60_1,22.8359767271,5.114433333333333
B60_2,19.4931761694,4.747033333333333
M9exp_1,-1.6873507126,0.20853333333333435
M9exp_2,1.4665539546000002,0.12893333333333334
M9exp_3,0.220796758,-0.3374666666666668
M9tran_1,3.6605189802,0.23743333333333272
M9tran_2,4.0639871783,0.3115333333333341
M9tran_3,-0.0158700145,0.5668333333333342
M9stat_1,25.9069421539,4.380633333333333
M9stat_2,22.3384963681,3.202233333333333
M9stat_3,21.5267868541,3.1711333333333327
M+G_1,13.5021886496,0.8686333333333343
M+G_2,1.9937426217,-0.009366666666666745
M+G_3,2.7077127715,-0.008366666666666411
Glu_1,0.9045895824,0.3217333333333334
Glu_2,0.0999495473,0.16673333333333407
Glu_3,-1.1767297174,0.4597333333333333
Fru_1,-0.15439383040000002,0.2823333333333329
Fru_2,0.7399474294,1.1124333333333345
Fru_3,3.8822952363,0.23463333333333392
Mal_1,4.7147470106,-0.2978666666666667
Mal_2,6.2610531043,0.2321333333333344
Mal_3,2.0232749007,-0.10946666666666616
G+S_2,37.519926469,4.565833333333333
G+S_3,41.0025449633,4.903533333333333
Pyr_1,36.790835665,4.640033333333334
Pyr_2,41.7024301039,4.817533333333334
Pyr_3,40.7088271336,4.536733333333333
Gly_1,15.3244498933,0.10593333333333366
Gly_2,9.6308171216,0.549033333333333
Gly_3,22.6050155014,0.3080333333333334
Glucon_1,19.8127960677,2.1148333333333342
Glucon_2,15.4180167332,1.9871333333333334
Glucon_3,19.6902655548,0.5451333333333332
aero_1,5.0219144571,1.0628333333333329
aero_2,6.6320637473,-0.0642666666666667
aero_3,3.8108527115,0.6616333333333335
nit_1,64.0448018013,4.569133333333334
nit_2,38.2264207203,3.2119333333333335
nit_3,58.4857520551,4.408033333333333
ferm_1,58.6061401125,4.025433333333333
ferm_2,35.2732575003,2.470833333333334
ferm_3,62.8233084644,4.990233333333333
T-5.40H_1,10.757156393,2.2073333333333336
T-4.40H_1,6.8875926473,1.7173333333333334
T-3.40H_1,1.220173864,1.3167333333333344
T-2.40H_1,0.848876111,0.723933333333334
T-1.40H_1,-0.438604366,0.426333333333333
T-1.10H_1,-2.8593578033,0.491133333333333
