,sample,study,project,condition,rep_id,contact,creator,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Temperature (C),pH,Antibiotic for selection,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,R1,R2,BAM,alignment,doi,GEO,Published,SRX,Run,Notes,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,Model,SRAStudy,BioProject,ProjectID,SRS_Sample,BioSample_1,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample_2,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,swift,Claimed by,precise2_id,precise1_id,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,approx_OD,growth_phase,dilution_rate,culture_type,time,additional_notes,original_order,drop,passed_number_conditions,n_replicates
SRX1125282,aat__00m_00s__1,,aat,00m_00s,1,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135663,,SINGLE,ILLUMINA,True,,True,True,aat:00m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017465,SAMN03945166,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641087.0,3945166.0,GSE71562,GSM1838496,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),anaerobic,,37.0,3,,,chemostat,0:00:00,See https://doi.org/10.3390/genes8030090 for media,82.0,,1.0,3
SRX1125283,aat__00m_30s__1,,aat,00m_30s,1,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135664,,SINGLE,ILLUMINA,True,,True,True,aat:00m_30s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017464,SAMN03945167,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641088.0,3945167.0,GSE71562,GSM1838497,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:00:30,See https://doi.org/10.3390/genes8030090 for media,83.0,,1.0,3
SRX1125284,aat__01m_00s__1,,aat,01m_00s,1,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135665,,SINGLE,ILLUMINA,True,,True,True,aat:01m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017463,SAMN03945168,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641089.0,3945168.0,GSE71562,GSM1838498,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:01:00,See https://doi.org/10.3390/genes8030090 for media,84.0,,1.0,3
SRX1125285,aat__02m_00s__1,,aat,02m_00s,1,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135666,,SINGLE,ILLUMINA,True,,True,True,aat:02m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017462,SAMN03945169,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641090.0,3945169.0,GSE71562,GSM1838499,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:02:00,See https://doi.org/10.3390/genes8030090 for media,85.0,,1.0,3
SRX1125286,aat__05m_00s__1,,aat,05m_00s,1,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135667,,SINGLE,ILLUMINA,True,,True,True,aat:05m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017461,SAMN03945170,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641091.0,3945170.0,GSE71562,GSM1838500,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:05:00,See https://doi.org/10.3390/genes8030090 for media,86.0,,1.0,3
SRX1125287,aat__10m_00s__1,,aat,10m_00s,1,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135668,,SINGLE,ILLUMINA,True,,True,True,aat:10m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017460,SAMN03945171,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641092.0,3945171.0,GSE71562,GSM1838501,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:10:00,See https://doi.org/10.3390/genes8030090 for media,87.0,,1.0,3
SRX1125288,aat__00m_00s__2,,aat,00m_00s,2,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135669,,SINGLE,ILLUMINA,True,,True,True,aat:00m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017459,SAMN03945172,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641093.0,3945172.0,GSE71562,GSM1838502,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),anaerobic,,37.0,3,,,chemostat,0:00:00,See https://doi.org/10.3390/genes8030090 for media,88.0,,1.0,3
SRX1125289,aat__00m_30s__2,,aat,00m_30s,2,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135670,,SINGLE,ILLUMINA,True,,True,True,aat:00m_30s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017458,SAMN03945173,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641094.0,3945173.0,GSE71562,GSM1838503,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:00:30,See https://doi.org/10.3390/genes8030090 for media,89.0,,1.0,3
SRX1125290,aat__01m_00s__2,,aat,01m_00s,2,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135671,,SINGLE,ILLUMINA,True,,True,True,aat:01m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017457,SAMN03945174,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641095.0,3945174.0,GSE71562,GSM1838504,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:01:00,See https://doi.org/10.3390/genes8030090 for media,90.0,,1.0,3
SRX1125291,aat__02m_00s__2,,aat,02m_00s,2,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,SRR2135672,,SINGLE,ILLUMINA,True,,True,True,aat:02m_00s,True,True,2016-07-01 15:39:39,316407.0,Escherichia coli str. K-12 substr. W3110,562.0,1236.0,316407.0,Escherichia coli,Illumina HiSeq 2500,SRP061844,PRJNA291519,291519.0,SRS1017456,SAMN03945175,SRA281105,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0.0,0.0,1641096.0,3945175.0,GSE71562,GSM1838505,32246034;28264512;27384956,K12 W3110,,,Anand,,,00m_00s,W3110,other_defined_media,glucose(15g/L),(NH4)2SO4(9g/L),transition,,37.0,3,,,chemostat,0:02:00,See https://doi.org/10.3390/genes8030090 for media,91.0,,1.0,3
