,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
0,aat__00m_00s,9.25185853854297e-18,0.22996233273862124,3.0,0.0,-0.2653625408,6.0,0.1243316636,12.0,0.14103087720000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,-0.27681950186666665,0.22409104828285586,3.0,1.0,-0.36436956340000004,7.0,-0.022170010900000002,13.0,-0.44391893130000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,-0.6735075433000001,0.11173352375539282,3.0,2.0,-0.6843993705,8.0,-0.7793962892,14.0,-0.5567269702000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,-0.5522753089666667,0.06337703815247273,3.0,3.0,-0.6143772657000001,9.0,-0.5547528139,15.0,-0.48769584730000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,-0.7252552979000001,0.1267370367943948,3.0,4.0,-0.5996204307,10.0,-0.7230789887,16.0,-0.8530664743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,-0.6134587096,0.09223885937262466,3.0,5.0,-0.5122696956,11.0,-0.6352678946,17.0,-0.6928385386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,-0.1956779143,0.2452407086366931,2.0,18.0,-0.0222665462,71.0,-0.3690892824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,-0.34666641423333333,0.30773944687934324,3.0,19.0,-0.037599275700000004,70.0,-0.34933920820000003,205.0,-0.6530607588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,-0.4651168829,0.405042141004386,8.0,20.0,-1.4562330167,32.0,-0.4049870345,55.0,-0.3548139243,67.0,-0.2828731089,126.0,-0.4090197761,147.0,-0.2777558115,203.0,-0.288259023,210.0,-0.2469933682,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,-0.10112366273333333,0.40384499802913426,3.0,21.0,-0.0425703689,34.0,-0.5310490539,61.0,0.27024843460000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
