k,name,in_iM,gene_weight,regulator,function,category
146,Ribosome,False,-0.019522476,ArcA+Fnr+RplD+DksA,,Translation
50,AlsR,False,-0.0177509258,AlsR,,Carbon Metabolism
45,pts KO,False,0.0157274174,Crp+Cra,,Carbon Metabolism
320,Curlin,False,-0.0130458089,RpoS+FliZ+CpxR+CsgD+BtsR,,Extracellular Structures
117,RbsR+dsrA,False,-0.0128419173,dsrA+Crp+RbsR,,Carbon Metabolism
80,modul_37,False,-0.0127906181,,,Unknown
290,ExuR/YdfH/RhaRS,False,0.0123023769,,,Carbon Metabolism
322,NrdR+H-NS,False,0.0119831855,NrdR+H-NS,,Metal Homeostasis
183,Membrane Stress,False,-0.011921774500000001,,,Membrane Homeostasis
189,SG_yojO,False,-0.011789752700000001,,,Unknown
110,ProVWX,False,-0.011773365800000001,,,Membrane Homeostasis
15,Uracil,False,0.011648295000000001,Fis+ArgR+PurR+PepA+RutR+IHF,,Nucleotide Metabolism
44,Fnr+NarL+NarP+RpoS,False,-0.0113719812,Fnr+NarL+NarP+RpoS,,Nitrogen Metabolism
333,Methionine,False,0.0113597818,,,Amino Acid Metabolism
1,SG_yiaAB,False,0.0111390716,,,Unknown
48,SG_ghoT,False,-0.0108986432,,,Toxin/Antitoxin
309,FrmR,False,0.0106841303,FrmR,,Carbon Metabolism
257,SG_ynfM,False,0.0103711807,,,Unknown
59,e14 Removal,False,0.0101641167,,,Prophage
160,LacI+MarA,False,-0.0101472064,Crp+MarA+H-NS+LacI,,Carbon Metabolism
337,Cold Shock-2,False,-0.0101122747,,,Cold Shock
97,BW25113,False,-0.0101067098,AraC/MhpR,,Strain Difference
21,CP4-6,False,0.0100675477,FliA,,Prophage
256,NarL+Fnr-1,False,0.0099672114,NarL+Fnr,,Nitrogen Metabolism
52,SG_essQ,False,-0.0096115818,,,Unknown
276,Nac,False,-0.0095636138,Nac,,Nitrogen Metabolism
270,rdlD,False,0.009346755,rdlD,,Toxin/Antitoxin
338,ATP Synthase,False,-0.0093010881,,,Energy Metabolism
194,NDH-1,False,-0.0092921653,NarL+ArcA+IHF+Fis+Fnr+ryhB,,Energy Metabolism
254,BetI+ArcA+Cra,False,-0.0091893114,ArcA+Cra+BetI,,Membrane Homeostasis
162,Cold Shock-1,False,0.0091765136,,,Cold Shock
27,ECA,False,0.0091337312,,,Extracellular Structures
275,Ferrous Transport,False,0.009074285500000001,Fnr+NagC+Fur,,Metal Homeostasis
282,YgeV-2,False,-0.0090700682,,,Unknown
43,SG_yjbE,False,-0.009053909300000001,,,Unknown
178,SG_yqgC,False,-0.0089968298,,,Unknown
126,RpoN+FlhDC,False,-0.0089048149,RpoN+FlhDC,,Motility
130,PAL Del-2,False,-0.0088863174,Nac/PaaX,,Unknown
47,SG_cspH,False,0.0088591999,,,Unknown
136,SG_ynaL,False,-0.0087812746,,,Unknown
112,SG_ybgU,False,-0.0087781574,,,Unknown
277,Mannose PTS,False,0.0086950647,NagC+Mlc+Cra+Crp+sgrS,,Carbon Metabolism
