,b2818
SRX1125282,0.1066451208
SRX1125283,0.0267563161
SRX1125284,0.4002958808
SRX1125285,1.019844368
SRX1125286,1.6283661107
SRX1125287,2.5920491782
SRX1125288,-0.12395190680000001
SRX1125289,0.6033968116
SRX1125290,0.5979741273
SRX1125291,1.7714097723000002
SRX1125292,-0.2516293962
SRX1125293,-0.13939726730000002
SRX1125294,0.017306786
SRX1125295,0.39079410340000004
SRX1125296,0.5902767514
SRX1125297,1.4556990358
SRX1125298,0.5353001375
SRX1125299,-0.15218856050000001
SRX5694250,-0.5800300761
SRX5694251,0.9447631008
SRX5694252,-0.6937853549
SRX5694253,-0.0558695721
SRX5694254,0.6081084032
SRX5694255,-0.8200649072
SRX5694256,-0.8775523697000001
SRX5694257,0.44019932230000003
SRX5694258,0.6340532607
SRX5694259,0.8656718975000001
SRX5694260,-0.4481227662
SRX5694261,-0.0271454515
SRX5694262,-0.3465066486
SRX5694263,-0.28437020820000003
SRX5694264,-0.6485214627
SRX5694265,-0.7594363319
SRX5694267,-0.0674222964
SRX5694268,-0.2054977636
SRX5694269,-0.4304187802
SRX5694271,0.0060625772000000005
SRX5694273,-0.9495393862
SRX5694274,-0.29672295130000004
SRX5694275,-0.6560617974
SRX5694276,-0.1452967889
SRX5694277,-0.675467553
SRX5694278,-0.6978478355000001
SRX5694279,-0.5334727836000001
SRX5694280,0.3214760679
SRX5694281,-0.6125829878
SRX5694282,0.2386186968
SRX5694283,-0.8145688507000001
SRX5694284,-0.42298405780000004
SRX5694285,-1.2548804213
SRX5694286,-1.1407758709
SRX5694287,0.3504744977
SRX5694288,0.0367803767
SRX5694289,-0.0206718451
SRX5694290,-0.43333825880000004
SRX5694291,-0.4365666555
SRX5694292,-0.245260743
SRX5694293,-0.1232270864
SRX5694294,0.5865135874
SRX5694295,-0.2767152572
SRX5694296,0.6422466290000001
SRX5694297,-0.31893489070000003
SRX5694298,-0.5004801801000001
SRX5694299,-0.4303345149
SRX5694300,-0.9199227242
SRX5694301,0.20174568680000002
SRX5694302,-0.3540838673
SRX5694303,-0.7633867695000001
SRX5694304,0.0930188821
SRX5694305,0.3295528135
SRX5694306,1.2758486042000001
SRX5694307,0.48264713680000004
SRX5694308,0.1355644138
SRX5694309,-0.4013954253
SRX5694310,-0.4715527322
SRX5694311,0.3867245955
SRX5694312,-0.1416936745
SRX5694313,0.5593899491000001
SRX5694315,-0.5652594151
SRX5694317,0.6041444483
SRX5694319,0.1111328505
SRX5694320,-0.7704347499
SRX5694321,0.1595129957
SRX5694322,0.4673946191
SRX5694323,0.9581776177
SRX5694324,0.6916410953000001
SRX5694325,0.0926717641
SRX5694326,-0.46043155680000003
SRX5694327,-0.008458526000000001
SRX5694328,0.0408506607
SRX5694329,0.9400010403
SRX5694330,0.4383812535
SRX5694331,-0.1671699116
SRX5694332,0.48171758600000003
SRX5694334,-0.5580804516
SRX5694335,0.9921378715
SRX5694336,-0.4610537249
SRX5694337,0.0142963147
SRX5694338,-0.44721491020000004
SRX5694339,-0.0911931784
SRX5694340,-0.8094792366
SRX5694341,-0.2082647406
SRX5694342,0.9235369859
SRX5694343,1.7408722413
SRX5694344,0.4348855451
SRX5694345,-0.43549881890000003
SRX5694346,1.3858828449
SRX5694347,0.041162464600000004
SRX5694348,-0.14202339560000002
SRX5694349,-0.7956026654
SRX5694350,-0.0531527377
SRX5694351,0.6163757098
SRX5694352,-0.5931045007
SRX5694353,-0.13082580770000002
SRX5694354,-0.1887699588
SRX5694356,-0.5149477652000001
SRX5694357,-0.2447689573
SRX5694358,-0.6914282479
SRX5694359,-0.7303023752000001
SRX5694360,-0.8065460152
SRX5694361,0.0388608317
SRX5694362,0.27767747330000003
SRX5694363,0.3268753607
SRX5694364,0.5602199978
SRX5694365,1.281964534
SRX5694366,-0.7011346474
SRX5694367,0.3360014006
SRX5694368,-0.866130312
SRX5694369,-0.6187815424
SRX5694370,-0.3473085795
SRX5694371,-0.8960316988
SRX5694372,-0.6630748015
SRX5694373,0.2063504351
SRX5694374,-1.5811405363
SRX5694375,-0.0796971684
SRX5694376,0.64636564
SRX5694377,-1.3224548546000001
SRX5694378,-0.7446812397
SRX5694379,-0.70256047
SRX5694380,1.4515236335
SRX5694381,0.6013334358
SRX5694382,0.6412715488
SRX5694383,-1.0979914224
SRX5694384,-0.1413801492
SRX5694385,-0.15447067650000001
SRX5694386,-0.0174041397
SRX5694387,-0.2487912264
SRX5694388,0.6427500306
SRX5694389,-0.6418571809
SRX5694390,-0.5449807319000001
SRX5694391,0.5968866194
SRX5694392,-0.5015027504
SRX5694393,-0.050112166
SRX5694394,-0.26809227
SRX5694395,0.17302448210000002
SRX5694396,0.3869377605
SRX5694397,-0.7757646245
SRX5694398,-0.3402450442
SRX5694399,0.12367826700000001
SRX5694400,-0.8846080766000001
SRX5694401,-0.2193055528
SRX5694402,-0.6515110353
SRX5694403,-0.5003832364
SRX5694404,-0.1231636519
SRX5694405,0.6442401697
SRX5694406,-0.786387649
SRX5694407,-0.7346732909
SRX5694408,-0.5501227641
SRX5694409,0.7691062194
SRX5694410,-0.5250299275
SRX5694411,0.1965648824
SRX5694412,-0.8569257527
SRX5694413,1.7861795083
SRX5694414,0.8068160853
SRX5694415,-0.2049545622
SRX5694416,-0.0866421575
SRX5694417,0.0850229363
SRX5694418,-0.663258252
SRX5694419,-0.0989971723
SRX5694420,0.19213726820000002
SRX5694421,-0.9196673277
SRX5694422,-0.3263014135
SRX5694423,-0.6551823477000001
SRX5694424,-0.3801095035
SRX5694425,-0.3389242655
SRX5694426,-0.3172811339
SRX5694427,-0.17155964370000001
SRX5694428,-0.4677039342
SRX5694429,0.1945792734
SRX5694430,0.0437836684
SRX5694431,0.7129414974
SRX5694432,-0.4806810563
SRX5694433,2.3445580606
SRX5694434,1.5367943317
SRX5694435,-0.5919940658
SRX5694436,0.4582439507
SRX5694437,0.671174405
SRX5694438,-0.1824795992
SRX5694439,-1.0556833518
SRX5694440,-0.5157504479
SRX5694441,0.9346749692
SRX5694442,0.6754931488
SRX5694443,-0.10887363480000001
SRX5694444,-0.5202155986
SRX5694445,0.31249837540000003
SRX5694446,0.0128718465
SRX5694447,-0.49115343400000006
SRX5694448,0.6036663093
SRX5694449,-0.1036737751
SRX5694450,-0.3212965659
SRX5694451,-0.4090892821
SRX5694452,0.2933267605
SRX5694453,1.2032304301
SRX5694454,-0.3487043971
SRX5694455,-0.841156993
SRX5694456,-0.43626206640000004
SRX5694457,0.2870146817
