k,Name,in_iM,gene_weight,Regulator,Function,Category
65,GntR,False,0.0466624132,GntR,,Carbon Metabolism
183,Membrane Stress,False,0.026579344300000002,,,Membrane Homeostasis
105,SG_exoD,False,0.0261776932,,,Unknown
13,flhDC,False,0.023421607100000002,Crp and H-NS and QseB and AcrR and Fur and FliZ and HdfR and IHF and LrhA and OmpR and RcsAB and YjjQ,,Motility
123,SG_ydiE,False,-0.022307854300000002,,,Unknown
309,FrmR,False,-0.021635568100000002,FrmR,,Carbon Metabolism
160,LacI+MarA,False,-0.0206888416,Crp and MarA and H-NS and LacI,,Carbon Metabolism
339,SG_yqhH,False,0.0205736547,,,Unknown
82,Fe-related-3,False,-0.0202561208,,,Metal Homeostasis
321,MarAR,False,0.0193272308,Cra and Crp and CpxR and AcrR and MarA and Rob and Fis and SoxS and MarR,,Membrane Homeostasis
163,ROS Del,False,-0.0189575732,,,Redox Stress
162,Cold Shock-1,False,-0.0188696408,,,Cold Shock
96,Nitrite Reductase,False,0.0186561361,Cra and Crp and IHF and NarL and NarP and Fis and H-NS and Fnr,,Nitrogen Metabolism
39,SG_yegZ,False,0.0185139185,,,Unknown
41,NadR,False,0.0184266253,NadR,,Cofactor Metabolism
86,CsqR,False,-0.0183828285,CsqR,,Carbon Metabolism
254,BetI+ArcA+Cra,False,-0.0182081612,ArcA and Cra and BetI,,Membrane Homeostasis
1,SG_yiaAB,False,-0.0180046019,,,Unknown
186,SG_ylcJ,False,0.017827652200000002,,,Unknown
325,SG_ydfX,False,0.0177318119,,,Unknown
109,ygbE OE,False,0.0175488308,,,Unknown
4,SG_ypjK,False,-0.017355630400000002,,,Unknown
268,guaAB,False,-0.0172934216,,,Nucleotide Metabolism
304,FliA-2,False,0.0170890211,FliA,,Motility
80,modul_37,False,-0.0170191035,,,Unknown
185,CueR,False,0.016941146100000002,CueR,,Metal Homeostasis
54,GutM+SrlR,False,-0.01643033,SrlR and Crp and H-NS and GutM,,Carbon Metabolism
290,ExuR/YdfH/RhaRS,False,0.0161310118,,,Carbon Metabolism
111,tnaAB,False,-0.0155452605,Crp and TorR and Nac and L-tryptophan,,Amino Acid Metabolism
327,LexA+MraZ+PdhR,False,0.0153401944,LexA and MraZ and PdhR,,Extracellular Structures
122,Molybdopterin,False,0.0150302833,Fnr and CueR and ModE and CsrA and Molybdopterin,,Cofactor Metabolism
333,Methionine,False,-0.0149914134,,,Amino Acid Metabolism
329,Resistance,False,-0.014673078800000001,,,Membrane Homeostasis
277,Mannose PTS,False,-0.014635887,NagC and Mlc and Cra and Crp and sgrS,,Carbon Metabolism
77,SG_yqhI,False,-0.0146246099,,,Unknown
314,Fnr-2,False,-0.0143145819,CsgD or Fnr,,Anaerobiosis
248,FecI,False,-0.0142953356,PdhR and Crp and HypT and Nac and Fur and FecI,,Metal Homeostasis
223,Thiamine-2,False,0.0139116156,ppGpp or SgrR or DksA or Thiamine diphosphate,,Cofactor Metabolism
166,ibpAB,False,-0.013819873600000001,RpoH and Lrp,,Heat Shock
180,SG_yjbT,False,-0.013586349400000001,,,Unknown
322,NrdR+H-NS,False,-0.013533886,NrdR and H-NS,,Metal Homeostasis
205,CdaR,False,-0.0131599808,CdaR,,Carbon Metabolism
202,Curli,False,0.0130352925,BasR and Cra and Crp and CsgD and IHF and MlrA and OmpR and ppGpp and RcdA and CpxR and FliZ and H-NS and MqsA and BtsR and RcsAB and RstA,,Extracellular Structures
31,PurR,False,-0.012812955400000001,PurR,,Nucleotide Metabolism
206,Evo Acid W F9,False,0.012795342000000001,,,Unknown
244,Glyoxylate,False,0.012457156,ArcA and Crp and Cra and ppGpp and IclR and IHF,,Carbon Metabolism
124,SG_ymgI,False,-0.012348368,,,Unknown
335,IS2,False,-0.0121984361,,,Unknown
263,BCAA-2,False,-0.012020453300000001,Lrp and IHF and Ile-tRNA and Leu-tRNA and Val-tRNA and ppGpp,,Amino Acid Metabolism
319,IS1-1,False,-0.011811576800000001,,,Unknown
312,SG_yeeW,False,-0.0118003889,,,Unknown
107,Nitrite Reducatase c,False,-0.0116538779,FlhDC and IHF and NsrR and NarL and NarP and Fis and Fnr,,Nitrogen Metabolism
143,SG_yfdT,False,0.0116040529,,,Unknown
113,SG_bdm,False,0.011564522300000001,,,Unknown
59,e14 Removal,False,-0.0115182679,,,Prophage
301,NarL+Fnr-2,False,0.011460779800000001,NarL and Fnr,,Nitrogen Metabolism
63,FucR/ExuR/AraC/AllR,False,-0.0114353857,FucR or ExuR or AraC or AllR,,Carbon Metabolism
15,Uracil,False,-0.011298793500000001,Fis and ArgR and PurR and PepA and RutR and IHF,,Nucleotide Metabolism
84,NanR,False,0.011214600100000001,NanR,,Carbon Metabolism
91,NrdR,False,0.0111253267,NrdR,,Nucleotide Metabolism
265,uhpT,False,-0.0110414193,oxyS and YeiE and UvrY and Crp and UhpA,,Carbon Metabolism
62,ROS_yedX,False,0.0110197386,,,Unknown
318,SG_afuB,False,-0.0109908244,,,Unknown
20,SG_yfaH,False,0.0108892746,,,Unknown
167,TtdR,False,0.0108661832,TtdR,,Carbon Metabolism
16,Cytochrome bd-I,False,-0.0108071047,,,Energy Metabolism
57,NsrR,False,-0.010799061,NsrR,,Redox Stress
100,SG_hokB,False,-0.010695231500000001,,,Unknown
19,SG_ynfO,False,0.0105928684,,,Unknown
271,LPS,False,-0.010399464,,,Extracellular Structures
215,SG_ydaG,False,-0.0103586154,,,Unknown
195,SG_ydfC,False,-0.0101858461,,,Unknown
159,H-NS/stpA-related,False,-0.0101302508,gcvB,,Unknown
117,RbsR+dsrA,False,-0.0100239696,dsrA and Crp and RbsR,,Carbon Metabolism
295,SG_yfjM,False,0.0100087031,,,Unknown
30,GlcC,False,0.0099972116,IHF and ArcA and PdhR and GlcC,,Carbon Metabolism
307,DNA Damage,False,-0.0099386183,,,DNA Damage
303,SG_ykgS,False,-0.0098609482,,,Unknown
193,OxyR,False,-0.009830977900000001,OxyR,,Redox Stress
177,FlhDC-1,False,-0.0095911183,FlhDC,,Motility
340,Crp+Fur,False,-0.009548354700000001,Crp and Fur,,Metal Homeostasis
114,SG_sgcB,False,-0.009526556700000001,,,Unknown
267,CCK-PGI Del,False,0.009367079700000001,,,Unknown
218,SG_ynfT,False,-0.0093500522,,,Unknown
257,SG_ynfM,False,0.0093315285,,,Unknown
151,SG_yqgD,False,-0.0092960714,,,Unknown
334,SG_yfiF,False,0.0092223415,,,Unknown
48,SG_ghoT,False,0.0092065127,,,Toxin/Antitoxin
149,LexA,False,-0.0091974054,LexA,,DNA Damage
336,SG_essD,False,0.009132122900000001,,,Unknown
58,PuuR+RpoS,False,-0.009108414,RpoS and PuuR,,Nitrogen Metabolism
190,BluR,False,-0.009069048100000001,BluR,,Extracellular Structures
282,YgeV-2,False,-0.0090486342,,,Unknown
56,HU,False,-0.0089710701,,,Nucleoid
275,Ferrous Transport,False,-0.008914003200000001,Fnr and NagC and Fur,,Metal Homeostasis
337,Cold Shock-2,False,0.008906627,,,Cold Shock
47,SG_cspH,False,-0.0088955627,,,Unknown
320,Curlin,False,0.0088407027,RpoS and FliZ and CpxR and CsgD and BtsR,,Extracellular Structures
299,MalT,False,-0.0087936976,MalT,,Carbon Metabolism
338,ATP Synthase,False,-0.0086326491,,,Energy Metabolism
52,SG_essQ,False,-0.0085808282,,,Unknown
237,SG_yjhE,False,-0.0085675054,,,Unknown
132,thrA KO,False,0.0085392615,,,Amino Acid Metabolism
138,PlaR,False,0.0085205083,PlaR and Crp and IHF,,Carbon Metabolism
245,SG_xisD,False,0.0084343005,,,Unknown
130,PAL Del-2,False,-0.0084331577,Nac or PaaX,,Unknown
104,NhaR,False,-0.0084081636,NhaR,,Membrane Homeostasis
233,GlpR-2,False,0.008365492700000001,GlpR,,Carbon Metabolism
70,Asparagine,False,0.0083591366,Lrp and gcvB,,Amino Acid Metabolism
93,FhlA,False,0.0083381176,RpoN and FhlA,,Carbon Metabolism
9,SG_ygcO,False,0.0082907627,,,Unknown
191,Crp-1,False,0.0081160163,GatR and ArcA and Crp,,Carbon Metabolism
142,ArcA/PhoB,False,0.0081014962,ArcA or PhoB,,Anaerobiosis
316,DksA-related,False,-0.008089387600000001,,,Stringent Response
294,YhaJ,False,0.0080599638,YhaJ,,Unknown
147,TreR,False,0.0080310471,TreR,,Carbon Metabolism
53,Crp-related,False,0.007951995,,,Carbon Metabolism
103,DhaR+RpoS,False,-0.007944674,RpoS and DhaR,,Carbon Metabolism
5,Fe/Protease,False,0.0078983312,,,Metal Homeostasis
155,NtrC-1,False,-0.0078246566,RpoN and NtrC,,Nitrogen Metabolism
174,BirA,False,-0.0077997871,BirA,,Cofactor Metabolism
324,SG_yahH,False,-0.0077763364,,,Unknown
173,GadEWX,False,-0.007702834800000001,GadE and GadW and GadX and H-NS and RpoS and ppGpp,,Redox Stress
112,SG_ybgU,False,-0.007694426000000001,,,Unknown
262,AraC,False,0.0076654946,Crp and AraC,,Carbon Metabolism
153,BasR,False,-0.007629349200000001,BasR,,Metal Homeostasis
98,SG_lysA,False,-0.0075798233,,,Unknown
178,SG_yqgC,False,0.0075366738,,,Unknown
120,SG_ykgR,False,0.0075251579,,,Unknown
287,DecR,False,-0.0074721327,DecR,,Amino Acid Metabolism
55,Leucine,False,0.0074339489,LeuO and ppGpp and Leu-tRNA,,Amino Acid Metabolism
87,SG_ytiC,False,-0.0073609618,,,Unknown
278,CytR,False,0.0073465919,Crp and CytR,,Nucleotide Metabolism
78,YieP,False,0.007345326,YieP,,Membrane Homeostasis
199,FDH-O,False,0.0073216109,sdhX,,Energy Metabolism
255,SG_ykfJ,False,0.0072380257,,,Unknown
69,SG_yjhV,False,-0.007176725300000001,,,Unknown
247,Fnr+NarL,False,-0.0070652624,NarL and Fnr,,Nitrogen Metabolism
43,SG_yjbE,False,0.0070329203,,,Unknown
10,mdtIJ,False,-0.0070034618,ppGpp and H-NS,,Membrane Homeostasis
60,GalRS-2,False,-0.0069923071,GalR and GalS and Crp,,Carbon Metabolism
181,Mannitol,False,-0.0068884677,Fis and Crp and Cra,,Carbon Metabolism
161,SG_pinH,False,-0.006875428,,,Unknown
280,Thiamine-1,False,-0.0068581789,Thiamine diphosphate,,Cofactor Metabolism
176,SG_tfaX,False,-0.0068207218,,,Unknown
26,GcvA,False,0.0066897945,GcvA,,Amino Acid Metabolism
127,RpoE,False,-0.0066798014,RpoE,,Membrane Homeostasis
251,SG_fryB,False,0.0066721261,,,Unknown
243,Fimbriae,False,-0.00661939,Lrp and H-NS,,Extracellular Structures
27,ECA,False,0.0065675534,,,Extracellular Structures
66,SG_ymcE,False,-0.0065390508000000005,,,Unknown
92,FDH-N,False,0.0061754998,Fnr and NarL and NarP,,Nitrogen Metabolism
125,DsdC,False,0.0061753101,DsdC,,Amino Acid Metabolism
272,Mo/Se Enzymes,False,0.0061505166,,,Metal Homeostasis
3,SG_yniD,False,0.006147172,,,Unknown
99,Cytochrome bo3,False,-0.0061162828,Fis and Fnr and GadE and Crp and HprR and ArcA and Cra and Fur and CusR and PdhR,,Energy Metabolism
18,SG_aaaD,False,0.0061120504,,,Unknown
240,SG_yafF,False,-0.0060803669,,,Unknown
152,SG_mokC,False,0.006070529000000001,,,Unknown
76,SG_ydaF,False,-0.0060591039000000005,,,Unknown
144,Single Reads,False,-0.006043475600000001,,,Unknown
25,SG_pyrL,False,0.0058776749,,,Unknown
14,Hydrogenase 1,False,-0.0057920324,RpoS and AppY and YdeO and ArcA,,Redox Stress
24,PhoP,False,0.0057690019,PhoP,,Metal Homeostasis
198,LldR+ArcA,False,-0.0057422556,ArcA and LldR,,Energy Metabolism
225,SG_yohO,False,-0.0057310609,,,Unknown
212,AA-related,False,0.0056456167,,,Amino Acid Metabolism
221,pgi KO,False,-0.0056155791,,,Carbon Metabolism
253,PuuR,False,0.0056025015,RpoS and ArcA and PuuR,,Nitrogen Metabolism
189,SG_yojO,False,0.0055996265000000005,,,Unknown
61,SG_bhsA,False,0.0055495339000000005,,,Unknown
164,SG_ymdG,False,-0.0055041696,,,Unknown
252,rdlC,False,0.0054817927,rdlC,,Toxin/Antitoxin
165,RcsC-related,False,-0.0054596629,,,Membrane Homeostasis
249,SG_csgC,False,0.0054541346000000004,,,Unknown
230,Cra,False,-0.0053930915,Cra,,Carbon Metabolism
194,NDH-1,False,-0.0052419631,NarL and ArcA and IHF and Fis and Fnr and ryhB,,Energy Metabolism
168,Fe-related-2,False,0.0052374485,,,Metal Homeostasis
34,PspF,False,-0.0052062501,PspF,,Phage Shock
242,CsiR,False,0.0051690462,RpoS and H-NS and Crp and Lrp and GlaR and ppGpp,,Energy Metabolism
328,KpLE2,False,-0.0051526294,,,Prophage
11,PyrDehyd,False,-0.0050914397,Fur and ArcA and PdhR and Fis and Fnr,,Energy Metabolism
274,RcnR,False,-0.0050590494000000005,RcnR,,Metal Homeostasis
129,SG_yzfA,False,-0.0050538572,,,Unknown
12,Citrate,False,-0.0050230807,Crp and Fnr and ArcA and NarL and DpiA,,Energy Metabolism
246,SG_ylcI,False,-0.0049621205,,,Unknown
64,ArgR,False,-0.0049521499,ArgR,,Amino Acid Metabolism
171,Cadaverine,False,0.0049352397,GadX and ArcA and CadC and Lrp and OmpR and H-NS and GadE-RcsB,,Amino Acid Metabolism
28,FliA-1,False,-0.0048822082,FliA,,Motility
35,Fur-2,False,0.0048368398,Fur,,Metal Homeostasis
291,Anaero-related,False,-0.0046491493000000005,TtdR or Fnr,,Anaerobiosis
44,Fnr+NarL+NarP+RpoS,False,0.0046360087,Fnr and NarL and NarP and RpoS,,Nitrogen Metabolism
72,SG_ytiA,False,-0.004631362500000001,,,Unknown
67,SG_yhdU,False,0.004611967000000001,,,Unknown
2,SG_ydfV,False,-0.0045120224,,,Unknown
148,SG_ypjJ,False,0.0045040869,,,Unknown
228,SG_ygdT,False,0.004393283,,,Unknown
115,PhoB-2,False,0.004308164000000001,PhoB,,Phosphate Metabolism
37,SG_yahM,False,0.0042555575,,,Unknown
182,EvgA,False,-0.0042365005,EvgA,,Membrane Homeostasis
126,RpoN+FlhDC,False,0.0042084069,RpoN and FlhDC,,Motility
50,AlsR,False,0.0041975863,AlsR,,Carbon Metabolism
175,SG_ynfQ,False,0.0041460772,,,Unknown
192,YgbI,False,0.0041331361,YgbI,,Carbon Metabolism
273,Spermidine,False,0.0041084433,Spermidine,,Amino Acid Metabolism
326,McbR+H-NS,False,0.0040371238,McbR and H-NS,,Extracellular Structures
239,Zur/ZntR,False,0.0039887144,Zur or ZntR,,Metal Homeostasis
110,ProVWX,False,0.0039554771,,,Membrane Homeostasis
8,PyrR,False,-0.0039541505,PyrR,,Carbon Metabolism
133,SG_ykgL,False,0.0039051333,,,Unknown
88,Fur-1,False,-0.0039032185,Fur,,Metal Homeostasis
332,FliA+FlhDC+CsgD,False,0.0038951012000000003,FliA and FlhDC and CsgD,,Motility
300,SG_ymgF,False,-0.0038334025000000002,,,Unknown
298,GlpR-1,False,-0.0038281656000000003,GlpR,,Carbon Metabolism
330,IS1-2,False,0.0038061218000000003,,,Unknown
286,BtsR,False,0.0037365037,,,Carbon Metabolism
90,sdh KO,False,0.0037323104,,,Carbon Metabolism
108,SG_icdC,False,0.0036724566,,,Unknown
236,ppk KO,False,0.0036585508000000003,,,Energy Metabolism
258,OmpR,False,0.0036566321,OmpR,,Membrane Homeostasis
85,RcsAB,False,-0.0035757450000000004,RcsAB,,Membrane Homeostasis
68,NagC,False,-0.0035734207,NagC,,Carbon Metabolism
235,GadEWX+FliZ,False,0.0034916469,RpoS and GadE and GadW and GadX and FliZ and ppGpp,,Redox Stress
276,Nac,False,0.0033792821,Nac,,Nitrogen Metabolism
323,Tryptophan-2,False,-0.0033505501,TrpR or Trp-tRNA,,Amino Acid Metabolism
136,SG_ynaL,False,-0.0033471770000000002,,,Unknown
270,rdlD,False,0.0033351893000000002,rdlD,,Toxin/Antitoxin
266,SG_yqcG,False,0.0033314453000000003,,,Unknown
250,SG_ydfW,False,-0.0033294730000000003,,,Unknown
145,ppGpp,False,-0.0033009666,ppGpp,,Stringent Response
207,PhoB-1,False,-0.0032832344,PhoB,,Phosphate Metabolism
217,PaaX,False,-0.0032174889,Crp and IHF and PaaX,,Carbon Metabolism
73,SG_hokA,False,-0.0031584567000000003,,,Toxin/Antitoxin
284,SG_aaeX,False,-0.0031562522,,,Unknown
317,SG_yceK,False,0.0030911557,,,Unknown
302,Lrp-2,False,0.0030865676,Lrp,,Amino Acid Metabolism
46,SG_ymjC,False,0.0030319108,,,Unknown
208,PAL Dup,False,-0.0029654145,,,Unknown
231,RpoH,False,-0.0029590273,RpoH,,Heat Shock
38,ubiC,False,-0.0029474569,,,Energy Metabolism
305,CysB-1,False,-0.0028699412,CysB,,Amino Acid Metabolism
83,SG_ychS,False,-0.0028633205,,,Unknown
297,Membrane-2,False,0.0028235576,,,Membrane Homeostasis
32,SG_ykgV,False,0.002809551,,,Unknown
229,SG_intG,False,0.0028070498,,,Unknown
285,RpoN+RpoS+ArgR+NtrC,False,-0.0027840168,RpoN and RpoS and ArgR and NtrC,,Amino Acid Metabolism
197,PAL Del-1,False,0.0026598352000000002,,,Unknown
281,IS Elements,False,-0.0026165331,,,Unknown
203,SG_ldrA,False,0.0026052090000000003,,,Unknown
289,ZntR/Zur/CueR,False,-0.0025667100000000003,ZntR or Zur or CueR,,Metal Homeostasis
135,LsrR,False,0.002563788,RpoS and Crp and LsrR,,Quorum Sensing
279,RpoS,False,-0.0025635765000000003,RpoS,,Stringent Response
150,RhaS,False,0.0025575184,Crp and RhaS,,Carbon Metabolism
220,NtrC-3,False,-0.0025537718,NtrC and RpoN,,Nitrogen Metabolism
210,FadR,False,0.0025224788,FadR,,Fatty Acid Metabolism
42,CueR/CusR/HprR,False,-0.0025211221000000002,CusR or CueR or HprR,,Metal Homeostasis
260,SG_ynfN,False,-0.0025004495000000002,,,Unknown
331,Qin Prophage,False,-0.0024989531,,,Prophage
95,SG_ydfK,False,-0.0024927325000000003,,,Unknown
134,KdpE,False,0.0024591274,KdpE,,Metal Homeostasis
81,XylR,False,0.0023997380000000002,Crp and XylR,,Carbon Metabolism
315,Fnr+NarLP,False,0.0022851825,Fnr and NarL and NarP and ModE,,Nitrogen Metabolism
0,GalRS-1,False,0.0022679399,Crp and GalS and GalR,,Carbon Metabolism
196,SG_cusC,False,-0.0022384138,,,Unknown
209,Lrp+ppGpp,False,0.0022302696,ppGpp and Lrp,,Unknown
17,ZraR,False,0.0022091552,ZraR,,Metal Homeostasis
