,A,RpoE
R2,,0.45781995585799895
xmin,,-4.0186994921
xmid,,
xmax,,3.8650195954
ystart,,-6.458299283157635
yend,,6.514821024582258
SRX1125282,-0.7596876219,-0.0756434123
SRX1125283,0.7016497332,0.0058192930000000006
SRX1125284,0.1640344534,0.1059689035
SRX1125285,1.1078884738,0.37835843300000005
SRX1125286,3.8585202633,0.7894088921
SRX1125287,2.1705703841,-0.2749693911
SRX1125288,0.2698426003,0.0962915545
SRX1125289,0.4848034598,0.1314081286
SRX1125290,0.27614019360000003,0.2283490068
SRX1125291,1.9266497178000002,0.4114334566
SRX1125292,3.1985365667,0.6271364576
SRX1125293,-0.6390245789,-0.3646094601
SRX1125294,0.48984502160000004,-0.020648142300000002
SRX1125295,0.2679955469,-0.0432349725
SRX1125296,0.43365127940000003,-0.027846671000000003
SRX1125297,1.3092207606000001,0.396896843
SRX1125298,3.1714611695,0.8943345838000001
SRX1125299,1.0022429227,0.0811921117
SRX5694250,-0.022107042900000002,-1.6304617887
SRX5694251,-3.6717747031,-1.5259990857
SRX5694252,-1.3951987456000001,-1.899169255
SRX5694253,0.2289229414,-0.1066110715
SRX5694254,-4.5937406868,-1.1273098549
SRX5694255,-5.0165447161,-2.8344676156
SRX5694256,0.49144379200000005,-0.7426950459
SRX5694257,-4.1349761097,-1.2468077634
SRX5694258,0.2560417253,-0.3455659017
SRX5694259,-4.9471164827,-2.0912903512
SRX5694260,0.7297543341,-0.5782197920000001
SRX5694261,2.4847406848,-2.1070812736
SRX5694262,-4.2042388476,-2.656882123
SRX5694263,-1.4805018823,-1.1350967808
SRX5694264,-0.33349389490000003,-0.8478773881
SRX5694265,2.9910360441,-0.0177092543
SRX5694267,0.37612457180000003,-0.2857429152
SRX5694268,-0.38278284630000003,-0.6520763602
SRX5694269,-0.051476263800000005,-0.6234735494
SRX5694271,-0.16714568870000002,-0.32789189700000004
SRX5694273,-4.9056956634,-3.2722306886
SRX5694274,-0.279656682,-0.6782860913000001
SRX5694275,-0.15410815790000001,-1.6289823466
SRX5694276,-3.0557232856,-1.5268533313
SRX5694277,1.8266213948,-0.5147784772
SRX5694278,-3.5200080788,-2.5725461002000003
SRX5694279,0.4004124335,-0.7616454366000001
SRX5694280,1.6204939321,-1.3909607711
SRX5694281,0.4107578018,-0.48101872970000004
SRX5694282,-3.5632434933,-3.0007327663
SRX5694283,1.246225818,-0.8113162024
SRX5694284,4.4619140904,-0.8314408695000001
SRX5694285,0.8815229550000001,-1.1422661852
SRX5694286,-0.13365198650000001,-1.6400980388000002
SRX5694287,-1.0046353051,-0.7679081834
SRX5694288,-1.8322458114,-0.8032911246000001
SRX5694289,0.21702225630000002,-0.1962842901
SRX5694290,-0.1896408032,-0.6459981344
SRX5694291,-6.0276663545,-2.9630328945
SRX5694292,0.2702907684,-0.5868373010000001
SRX5694293,-0.9860574314,-0.6381886129000001
SRX5694294,-0.9069846685,-0.17462690720000001
