,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
0,aat__00m_00s,-7.401486830834377e-17,3.0618474723673077,3.0,0.0,-3.4526472942,6.0,2.3853607784,12.0,1.0672865158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,-1.3902950955666666,2.7224102431640316,3.0,1.0,-2.9967745822,7.0,1.7530162868999999,13.0,-2.9271269913999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,-2.8227591503666667,0.023623541064150717,3.0,2.0,-2.8244528612,8.0,-2.845490255,14.0,-2.7983343349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,-2.835430131633333,0.14104943515335375,3.0,3.0,-2.8122630731,9.0,-2.9866288775000003,15.0,-2.7073984443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,-3.4841560748,0.26862737635433137,3.0,4.0,-3.1798138763,10.0,-3.5844375124,16.0,-3.6882168357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,-4.0315408927666665,0.45835159757959454,3.0,5.0,-3.5722690008,11.0,-4.4889666189,17.0,-4.0333870586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,0.60930928175,0.5986306850850677,2.0,18.0,1.0326050986,71.0,0.1860134649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,0.36443316126666664,1.070328335850271,3.0,19.0,-0.5387089491,70.0,1.5466570018999999,205.0,0.085351431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,0.5133214177250001,1.247707744502787,8.0,20.0,2.3229195003,32.0,-0.4539458604,55.0,-0.7670259649000001,67.0,0.9042884427000001,126.0,-0.3374637066,147.0,-0.7960010645000001,203.0,1.5142004038999999,210.0,1.7195995913000002,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,-1.3662535002999998,0.2628400109522681,3.0,21.0,-1.6495279475,34.0,-1.130268187,61.0,-1.3189643664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,-1.0125935071,0.6077947257457108,8.0,22.0,-1.009250232,104.0,0.0847833006,111.0,-1.2502493832,133.0,-1.9957881383,165.0,-0.8828130869,238.0,-0.591421086,265.0,-1.417040193,270.0,-1.038969238,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,3.8214537134571427,1.3550573809464097,7.0,23.0,3.8109314953,56.0,4.6530115708,82.0,4.6287295,118.0,0.96302043,134.0,4.5078134746,137.0,3.4284210513,227.0,4.7582484722,,,,,,,,,,,,,,,,,,,,,,
12,abx_mega__rach_dmso,-0.695432896025,0.4282804685917062,4.0,24.0,-0.0692186128,101.0,-1.0181227315,139.0,-0.7842035502,149.0,-0.9101866896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,abx_mega__metro_dmso,-2.242676077325,1.019154047211061,4.0,25.0,-2.0272602653,123.0,-3.0069253586,155.0,-3.0487534175,191.0,-0.8877652679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,abx_mega__dmso-6,-1.5204116061666666,0.4504378768314817,3.0,26.0,-1.3865650005,59.0,-1.1520670656,159.0,-2.0226027524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,abx_mega__chl_h2o,3.0609842081,0.358527215880083,5.0,27.0,2.8282344632000003,76.0,3.1843450583,146.0,2.5649861197,162.0,3.2755984409,262.0,3.4517569584,,,,,,,,,,,,,,,,,,,,,,,,,,
16,abx_mega__cst_h2o,-0.5961775573000001,1.3043967616909207,4.0,28.0,1.2226209746,94.0,-0.5782537649,186.0,-1.7482360937,231.0,-1.2808413452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,abx_mega__tec_h2o,0.5063224767333333,0.7970401095760028,3.0,29.0,1.358059168,49.0,-0.22150843750000002,260.0,0.38241669970000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,abx_mega__str_h2o,0.6856629151600001,1.0670552138887321,5.0,30.0,2.5806723304,77.0,0.14069597720000002,172.0,0.3122941088,259.0,0.3554837152,280.0,0.0391684442,,,,,,,,,,,,,,,,,,,,,,,,,,
19,abx_mega__ctx_h2o,-0.502909433675,0.5491958027590552,4.0,31.0,0.32057162770000003,40.0,-0.7779848551,138.0,-0.7956348132000001,192.0,-0.7585896941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,abx_mega__phos_h2o,-0.10533256254285714,0.9121297594046245,7.0,33.0,-1.1452302347,39.0,1.2567385873,58.0,-0.3261997058,122.0,-0.26621734550000004,170.0,1.0629534108,244.0,-0.6829746321,261.0,-0.6363980178,,,,,,,,,,,,,,,,,,,,,,
21,abx_mega__polmyx_h2o,-0.37491841395714287,0.6479842792070344,7.0,35.0,0.3909995478,79.0,-0.14325506670000002,92.0,-1.3138695002,208.0,-1.1477578357,251.0,-0.5150119508000001,263.0,0.1404112692,299.0,-0.0359453613,,,,,,,,,,,,,,,,,,,,,,
22,abx_mega__h2o-8b,0.15104820066666666,0.744813754084109,3.0,36.0,-0.6323439397,234.0,0.2353843937,275.0,0.850104148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
