,A,CsgD,MlrA,ihfB,FliZ,CpxR,hns,MqsA,RstA,BtsR,OmpR,BasR,rcsB,Crp,RcdA,Cra
R2,,0.8454931269851074,0.17337464478821685,0.07250007601497,0.05385412617807328,0.0522055391443893,0.04854627557955704,0.04844979147862494,0.04148641073682113,0.01550044807944062,0.012877017416564107,0.012032714178888293,0.007540460638237323,0.006522337557485658,0.002701895821935585,0.0020885870093280134
xmin,,-6.009046678,-4.9410978423,-3.9178110457,-7.7701512291,-8.11516967,-11.2828757996,-6.165385294,-5.9272178941,-4.8343927655000005,-7.3287963615,-3.7883617059,-8.931931499000001,-9.852476477,-4.0903578907,-7.2746930645
xmid,,-3.498410799112899,-3.298562489359785,-0.8596885010388371,0.3130321808414869,-4.222468604031737,,,-2.9154416183306155,,0.6667761168204676,1.4423390138569432,,,0.22123205477755378,
xmax,,4.8901811673,4.1089131507,3.3245249795,7.4908694885,2.3778217705999998,2.8974495703,4.4904478919,3.6299699167,2.4500527738,3.1898666866,4.1957462421,1.9262978510000002,2.5388323397,2.3841165361,2.4360738119
ystart,,-7.148347308533804,-4.1742380718277055,-2.3613730478262847,-0.7897860114496185,-6.004483633536332,6.3305847116416505,-4.74491797983223,-3.1444400017516507,1.1070758832017948,-1.0460540015963622,-1.1071128265147308,-5.456569468915942,1.5419578561927163,-1.079779882273306,0.13030592509719718
yend,,9.321049917312132,3.3221228879072027,3.314994565974012,-4.307420322910881,1.874371834460032,-3.0867025908274117,1.3867902894383266,1.4065041622193823,-2.3452264085276715,-4.4797833521074795,-7.904731293005979,-0.20722543559656592,-1.8798410463628694,-2.4957775720395823,-1.6469448405867588
aat__00m_00s__1,-0.6448601837,0.0036177747,-0.3609784171,-0.1131958483,-0.43579520190000004,0.0371924006,-0.0832222629,0.14727635660000002,-0.1065412929,0.0700516098,0.2497692515,0.2367996392,0.0439989031,0.0344951212,-0.15113202350000002,0.062006051900000005
aat__00m_30s__1,-0.9462250442000001,0.2645701079,-0.1780758285,0.0772468121,-0.5382080575,-0.1167177905,-0.0215977273,0.1946279935,-0.3382476836,-0.4788101328,0.28065399900000004,0.1143877792,-0.0689313639,0.1435731223,-0.2440391829,-0.1314214465
aat__01m_00s__1,-1.9933053678000001,-0.38219790130000003,-0.16219079520000002,0.0671979825,-0.4823932846,-0.029000962,0.014475031800000001,0.1136950783,-0.4685047399,-0.1061334994,0.23529942180000002,0.11715970510000001,-0.0594392778,0.2534372822,0.0112971055,0.0314530619
aat__02m_00s__1,-1.1475900097,-0.050566325,-0.33859329250000003,-0.031233225400000002,-0.16600564140000001,0.0848096896,-0.069698208,0.2249834055,-0.4540567035,-0.8075155593000001,0.2356387398,0.115765952,-0.0892396179,0.283920339,-0.0823705893,-0.1295274102
aat__05m_00s__1,-0.6433328354,0.1646331933,-0.4088341719,0.0201842575,-0.10728578300000001,-0.0884970087,-0.28960489710000004,-0.0725631047,-0.5761337576000001,-1.1793496353,0.24470173650000002,0.0953267889,-0.0675196339,0.3175329239,-0.5199929130000001,-0.2247240932
aat__10m_00s__1,-1.9398222082,-0.5030838703,-0.33333204990000004,-0.1696861744,-0.5209684572000001,-0.2513995396,-0.2321548066,-0.484934252,-0.8876407873000001,-1.6697651891,0.040896054200000004,-0.1388090048,-0.1851855886,0.17602055360000002,-0.2464197442,-0.7116227439
aat__00m_00s__2,0.6634845384,0.3720119215,0.1900065975,0.030994294500000002,0.045775212100000004,0.0815287471,-0.0482583698,-0.042888028200000004,0.0111831345,-0.0465302806,-0.2747716412,-0.3908449242,-0.0015479150000000002,0.005256366,0.2634953686,-0.1377842684
aat__00m_30s__2,-1.8726643795000002,0.009007590900000001,-0.0983390138,0.0539088152,-0.5175268041000001,0.07859198910000001,-0.2218292502,-0.0887865867,-0.0422882116,-0.5814563656,0.093119,-0.08091621780000001,0.0691710462,0.2819816342,-0.1071387755,-0.0278778495
aat__01m_00s__2,-0.6486852219,0.27563954900000004,-0.3199854286,0.1097352022,-0.36882859300000004,0.0571983363,-0.0773807522,-0.0102344742,-0.3885250166,-0.2892000186,0.0729251304,0.09128027150000001,0.0444643333,0.2801678667,-0.33861537610000003,-0.0861555941
