,213
aat__00m_00s__1,-0.9425142087
aat__00m_30s__1,0.5290188179
aat__01m_00s__1,0.47583897410000003
aat__02m_00s__1,0.37301303490000004
aat__05m_00s__1,0.20719680240000002
aat__10m_00s__1,0.5454663467
aat__00m_00s__2,1.0068457702
aat__00m_30s__2,-0.3031931694
aat__01m_00s__2,0.095115194
aat__02m_00s__2,0.5052610188000001
aat__05m_00s__2,0.2334909477
aat__10m_00s__2,0.4770887246
aat__00m_00s__3,-0.0643315616
aat__00m_30s__3,0.0145639841
aat__01m_00s__3,0.0735836213
aat__02m_00s__3,0.2730690611
aat__05m_00s__3,-0.1782385188
aat__10m_00s__3,0.4884454347
abx_mega__dmso-2__1,-1.4366768223
abx_mega__ery_dmso__1,0.4525663347
abx_mega__nal_naoh__1,-0.1394291799
abx_mega__dmso-5__1,-0.7570558044
abx_mega__rif_dmso__1,-0.1264216359
abx_mega__novo_h2o__1,-0.4789872308
abx_mega__rach_dmso__1,3.4080783436
abx_mega__metro_dmso__1,1.3032362896
abx_mega__dmso-6__1,-0.4727644675
abx_mega__chl_h2o__1,-0.3093103889
abx_mega__cst_h2o__1,-0.4466740569
abx_mega__tec_h2o__1,-1.0670648853
abx_mega__str_h2o__1,-1.5459520169
abx_mega__ctx_h2o__1,-0.3375562244
abx_mega__nal_naoh__2,0.7751622456
abx_mega__phos_h2o__1,-0.041178469
abx_mega__dmso-5__2,-0.7382333859
abx_mega__polmyx_h2o__1,-0.3018255621
abx_mega__h2o-8b__1,0.8585610285
abx_mega__h2o-6__1,-0.1407201794
abx_mega__thio_dmso__1,-0.011121246900000001
abx_mega__phos_h2o__2,-0.3250576086
abx_mega__ctx_h2o__2,0.4731519665
abx_mega__lzd_dmso__1,1.0714685251
abx_mega__naoh-9__1,-0.4633143497
abx_mega__dox_dmso__1,1.2082115401
abx_mega__phos_ethanol__1,-0.396321272
abx_mega__teix_dmso__1,0.5247658651
abx_mega__dmso-10__1,-0.36391215530000004
abx_mega__van_dmso__1,-0.5313238008
abx_mega__ramo_h2o__1,0.08137495260000001
abx_mega__tec_h2o__2,0.6400734792
abx_mega__h2o-7__1,-0.1653902944
abx_mega__cro_h2o__1,1.5286417033
abx_mega__tric_ethanol__1,0.8547695193
abx_mega__nor_naoh__1,0.6468417769
abx_mega__teix_dmso__2,-0.2647613231
abx_mega__nal_naoh__3,1.2658447981
abx_mega__novo_h2o__2,2.2827989492
abx_mega__dmso-10__2,0.27451396780000004
abx_mega__phos_h2o__3,0.12813424810000001
abx_mega__dmso-6__2,-0.2410352869
abx_mega__rfp_ethanol__1,0.9864768319
abx_mega__dmso-5__3,-0.5594275656000001
abx_mega__amyc-d_dmso__1,5.3164889624
abx_mega__sxt_dmso__1,-0.1087664341
abx_mega__dmso-1__1,-0.11166508500000001
abx_mega__pen_h2o__1,0.1677514034
abx_mega__dmso-10__3,-0.3473157531
abx_mega__nal_naoh__4,-0.0693378013
abx_mega__cip_naoh__1,-0.14959901620000002
abx_mega__pen_h2o__2,1.0036794591
abx_mega__ery_dmso__2,-2.4001677606
abx_mega__dmso-2__2,-2.7017618159
abx_mega__van_dmso__2,-0.3062777129
abx_mega__h2o-1b__1,-0.6457453605
abx_mega__ery_h2o__1,1.6933259439000001
abx_mega__bacit_h2o__1,0.5821998879
abx_mega__chl_h2o__2,0.0323234793
abx_mega__str_h2o__2,-1.1077444657
abx_mega__rfp_ethanol__2,-1.4863230749
abx_mega__polmyx_h2o__2,-0.7300045619000001
abx_mega__tric_h2o__1,-0.3732652806
abx_mega__cip_naoh__2,0.2929784139
abx_mega__novo_h2o__3,0.5611034864000001
abx_mega__bacit_dmso__1,-2.0780906779
abx_mega__gen_h2o__1,-1.4576551955000001
abx_mega__bacit_dmso__2,-0.0571881038
abx_mega__chl_dmso__1,2.2796344185
abx_mega__bacit_h2o__2,0.2641193774
abx_mega__lvx_dmso__1,0.29244826820000003
abx_mega__bacit_h2o__3,1.5204877368
abx_mega__nor_naoh__2,-0.5427961784
abx_mega__amyc-d_dmso__2,0.4939233826
abx_mega__polmyx_h2o__3,-1.1252882413
abx_mega__naoh-6__1,-0.4002243055
abx_mega__cst_h2o__2,-0.34511247580000004
