,A,PhoP
R2,,0.09361932441894005
xmin,,-3.0153266566
xmid,,0.4566738360100481
xmax,,2.429084593
ystart,,-0.28528285199012027
yend,,7.07139518360692
SRX1125282,-0.4397897995,-0.16561633280000002
SRX1125283,-0.0053424332,-0.0239234571
SRX1125284,-0.5634920886,0.1168445328
SRX1125285,-0.41014479060000003,-0.0124656527
SRX1125286,-0.2817341444,-0.13884220560000002
SRX1125287,-0.14970743690000002,-0.5598279195
SRX1125288,0.21328915910000001,0.19142495950000002
SRX1125289,-0.5300113344,0.267981281
SRX1125290,-0.0765682294,0.0435936481
SRX1125291,-0.006346769600000001,0.2589760633
SRX1125292,-0.0813788297,0.0055165153
SRX1125293,-0.5735382951,0.0194438349
SRX1125294,0.22650064050000002,-0.0258086267
SRX1125295,0.0323408249,0.0487822594
SRX1125296,-0.028343591600000002,0.1110177655
SRX1125297,-0.42577168600000004,0.1859248644
SRX1125298,0.045785967000000004,-0.1396060513
SRX1125299,-0.3483859143,-0.1085524798
SRX5694250,-3.1035778798,-0.8055833958
SRX5694251,4.3828919594,-0.3351793924
SRX5694252,-3.9191866549,-2.6387489345
SRX5694253,-2.0134937377,0.3281647225
SRX5694254,-2.6433463762000002,0.6473450851
SRX5694255,1.9374870771000001,-1.8517556114
SRX5694256,-1.2722858804000001,-0.3309121983
SRX5694257,-3.6994131949,0.294426982
SRX5694258,-3.6459745680999998,0.47051667950000003
SRX5694259,5.8517269185,-0.38611951840000003
SRX5694260,-0.6578513089,0.3465261723
SRX5694261,-1.0484835947,-3.0153266566
SRX5694262,3.0588592175000002,-0.5197808777
SRX5694263,-1.2209574668,0.1062775274
SRX5694264,-3.7834159768,-0.3044837023
SRX5694265,-0.9438632903,-0.15297543560000001
SRX5694267,-1.6124767172,0.39211969080000003
SRX5694268,-0.2977686768,0.2631323894
SRX5694269,-1.6430953355,0.4688452225
SRX5694271,-1.836694191,0.3967304748
SRX5694273,2.7337347313,-0.7056855878
SRX5694274,-1.7461655236,0.2260466905
SRX5694275,-3.3623476634,-1.0018600178
SRX5694276,2.6379443795,-0.459452254
SRX5694277,-2.7428342,0.3844372283
SRX5694278,0.7258072256,-0.11806545310000001
SRX5694279,-0.6756909185000001,0.22646241350000001
SRX5694280,-2.0369050167,-0.40298807480000004
SRX5694281,-2.2258008957,0.3991919276
SRX5694282,4.8364692092,-0.6470934527000001
SRX5694283,1.7492385408,0.1042671174
SRX5694284,-0.3845245932,-0.7497788592
SRX5694285,-1.7132364719000002,0.028834021100000003
SRX5694286,-3.4800286213,-0.5362749920000001
SRX5694287,4.2179805929,1.3190158411000001
SRX5694288,-3.1445933068,-0.0583158645
SRX5694289,-2.4399343404,0.030860782000000003
