,A,Nac
R2,,0.12547865085858256
xmin,,-9.2368842382
xmid,,-0.48496388450301814
xmax,,8.2896436494
ystart,,-0.511492009823757
yend,,9.201283344766201
aat__00m_00s__1,-0.10900720900000001,-0.6087659503
aat__00m_30s__1,-1.2894189086,-0.7684377252
aat__01m_00s__1,-1.3314668481,-0.2494753319
aat__02m_00s__1,-1.6414269804,-0.8593663065
aat__05m_00s__1,-0.7973371574,-0.8536481749
aat__10m_00s__1,-0.7275194586,-1.097633245
aat__00m_00s__2,-0.4666823875,-0.0200765477
aat__00m_30s__2,-0.5771292739,-0.0977108352
aat__01m_00s__2,-1.5335813823,-0.1616756424
aat__02m_00s__2,-1.778430962,-0.6594998195
aat__05m_00s__2,-0.9764347126,-1.1317581087
aat__10m_00s__2,0.2857756969,-0.2891878228
aat__00m_00s__3,0.5756895964000001,0.628842498
aat__00m_30s__3,-0.43906299600000004,0.06683463960000001
aat__01m_00s__3,-1.2820430656,-0.226549141
aat__02m_00s__3,-1.2025045023,-0.4197131606
aat__05m_00s__3,-0.3541167183,-0.5652445004000001
aat__10m_00s__3,0.4022086805,-0.8309633404000001
abx_mega__dmso-2__1,0.1673956027,0.8767780779000001
abx_mega__ery_dmso__1,2.0882712432,-2.2961125363
abx_mega__nal_naoh__1,-0.1707421969,0.3561750124
abx_mega__dmso-5__1,0.4692050077,0.1987336626
abx_mega__rif_dmso__1,0.8941465812,0.3604524203
abx_mega__novo_h2o__1,0.7731237521000001,-1.7901959572
abx_mega__rach_dmso__1,-0.6669544061,0.4318438408
abx_mega__metro_dmso__1,0.0954058272,0.1992620209
abx_mega__dmso-6__1,-1.125527475,-0.40245616040000004
abx_mega__chl_h2o__1,2.9978492261,-0.9546913059000001
abx_mega__cst_h2o__1,-0.5180434313,0.6961197038
abx_mega__tec_h2o__1,-1.7464432398,0.1970671269
abx_mega__str_h2o__1,0.090083674,-1.231428017
abx_mega__ctx_h2o__1,-1.4570797157,0.9644950045
abx_mega__nal_naoh__2,0.0176033489,-0.0902521619
abx_mega__phos_h2o__1,0.3193858211,1.2904476845000001
abx_mega__dmso-5__2,0.5453719097,-0.1009443084
