,-0.054934091120916385,-0.027467045560458193,0.0,0.027467045560458196,0.054934091120916385,0.08240113668137458,0.10986818224183278,0.13733522780229096,0.16480227336274916,0.19226931892320737,0.21973636448366554,0.24720341004412374,0.2746704556045819,0.3021375011650401,0.32960454672549827,0.3570715922859565,0.3845386378464147,0.4120056834068729,0.4394727289673311,0.46693977452778923
thresh,-0.06866761390114548,0.06866761390114548,12,,,,,,,,,,,,,,,,,
unreg,3,307,3186,229,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,29,238,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NtrC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,1,6,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArgR,0,10,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and RpoN,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and ArgR,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NtrC and RpoN,0,3,14,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN and ArgR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, NtrC, and RpoN",0,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NtrC, RpoN, and ArgR",0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, NtrC, RpoN, and ArgR",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS_genes,[],"['ytfK' 'csgC' 'dkgB' 'mdtE' 'gadE' 'csgG' 'yciZ' 'yiaG' 'metK' 'araG'
 'ihfB' 'otsA' 'galT' 'dhaM' 'araF' 'xapA' 'blr' 'yhiD' 'dhaL' 'otsB'
 'osmB' 'galK' 'katE' 'ariR' 'tolC' 'ynfG' 'ada' 'yhiM' 'fau']","['kbp' 'pdeR' 'ydhY' 'speG' 'insD-5' 'baeS' 'speC' 'pqiC' 'gapA' 'ynfF'
 'rhaR' 'puuD' 'yehW' 'yciT' 'gyrB' 'ydhX' 'ydbK' 'gadX' 'elaB' 'proP'
 'oxyR' 'dkgA' 'speB' 'ihfA' 'viaA' 'ecnB' 'murQ' 'pabA' 'alkA' 'lsrG'
 'araH' 'osmC' 'pstB' 'murP' 'galE' 'proV' 'yccJ' 'pdeC' 'cpxA' 'mglA'
 'fic' 'pstA' 'cbpA' 'ompN' 'aceE' 'appB' 'mdtC' 'glgP' 'gor' 'dhaK'
 'folK' 'gadA' 'mglC' 'baeR' 'gadB' 'sgrT' 'mdtD' 'insC-5' 'mdtF' 'yafN'
 'talA' 'mpl' 'fbaB' 'ydcU' 'murR' 'gadW' 'ansP' 'yhfG' 'sohB' 'insN'
 'phoU' 'csgD' 'ybiI' 'dmsD' 'ydcV' 'recF' 'dgcC' 'yafO' 'nhaA' 'ynfH'
 'pqiA' 'acnA' 'luxS' 'ydhV' 'gpmM' 'hmp' 'ydhW' 'hyaB' 'fbaA' 'gpmA'
 'mglB' 'yadS' 'mdtB' 'galM' 'yqiH' 'yciF' 'sodC' 'lsrC' 'ygiC' 'sra'
 'puuE' 'rhaS' 'appC' 'yqiI' 'lsrB' 'glk' 'btuF' 'pqiB' 'nhaR' 'wrbA'
 'ilvY' 'ybjP' 'cpxR' 'ppx' 'hofO' 'znuA' 'lsrD' 'glgA' 'treF' 'tam'
 'pcnB' 'pdhR' 'glgS' 'ymgA' 'yddG' 'patD' 'ompF' 'dnaN' 'hdeA' 'frdA'
 'yadV' 'yehY' 'ftsA' 'ravA' 'dinB' 'osmF' 'pphA' 'ldcC' 'ppk' 'yffP'
 'dhaR' 'lsrA' 'ygiB' 'rsmG' 'ymgC' 'proX' 'puuA' 'htrE' 'envC' 'csrA'
 'tktB' 'ybaT' 'ydcT' 'treA' 'hyaE' 'lsrF' 'csgB' 'yafP' 'pstS' 'eno'
 'pykF' 'yabI' 'pgi' 'lpd' 'pykA' 'mdtA' 'pstC' 'yciE' 'puuC' 'hyaA'
 'rraA' 'ybgA' 'narU' 'yffO' 'setA' 'mlrA' 'frdC' 'bolA' 'csgA' 'yehX'
 'pgk' 'csgE' 'yeiL' 'hdfR' 'topA' 'mnmG' 'ftsQ' 'glgC' 'glsA' 'crr'
 'aceF' 'phr' 'hofM' 'uspB' 'bsmA' 'mutS' 'fumC' 'ydbD' 'tpiA' 'gabP'
 'aidB' 'proW' 'asr' 'alkB' 'blc' 'mtn' 'ydhT' 'yibQ' 'evgA' 'ycgZ' 'hofN'
 'frdD' 'cbpM' 'hyaD' 'yggE' 'insI-1' 'rsd' 'yihG' 'puuR' 'osmE' 'ynfB'
 'epd' 'msyB' 'sucD' 'sucB' 'frdB' 'xthA' 'hyaC' 'ydhU' 'csgF' 'btsT'
 'gadC' 'ydcS' 'appA' 'yjcH' 'hdeD' 'pfkA' 'rssA']","['sucA' 'hdeB' 'ynfE' 'sucC' 'poxB' 'rssB' 'iraD' 'hyaF' 'yciG' 'acs'
 'cfa' 'yhjG' 'fadL' 'aldB' 'lhgO' 'adhE' 'gabD' 'gabT' 'evgS' 'osmY'
 'csiE' 'appY' 'csiD']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NtrC_genes,[],[],[],[],['cbl'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
