k,Name,in_iM,gene_weight,Regulator,Function,Category
17,yheO-KO,False,0.043166917400000004,,Accounts for yheO knock-out,Genomic Alterations
72,curli,False,0.0329175816,,Curli assembly,Biological Enrichment
42,Pyruvate,False,0.0297299391,BtsR or PyrR or PdhR,Pyruvate transport and metabolism,Carbon Source Utilization
20,entC-menF-KO,False,0.0285045955,,Accounts for entC and menF knock-outs,Genomic Alterations
83,membrane,False,-0.0277859875,,Enriched in membrane-bound proteins,Biological Enrichment
65,ArcA-2,False,0.0268438055,ArcA,Electron Transport Chain,Energy Metabolism
9,YneJ,False,0.024616392900000002,,Unknown Function,Regulator Discovery
34,GadWX,False,0.0241376909,GadX and GadW,Acid stress response,Stress Response
90,sgrT,False,-0.023369559800000002,,Contains single dominating gene: sgrT,Biological Enrichment
82,RpoS,False,-0.0226572319,RpoS,General stress response,Stress Response
60,His-tRNA,False,-0.0225919692,His-tRNA,Histidine biosynthesis,Amino Acid and Nucleotide Biosynthesis
23,Cbl+CysB,False,0.0209232673,Cbl and CysB,Aliphatic sulfonate utilization,Miscellaneous Metabolism
43,SrlR+GutM,False,0.0208477037,SrlR and GutM,Sorbitol catabolism,Carbon Source Utilization
4,ydcI-KO,False,-0.0203719067,,Accounts for ydcI knock-out,Genomic Alterations
32,translation,False,-0.0191251108,,Enriched in translation machinery,Biological Enrichment
37,uncharacterized-4,False,-0.018759892,,Unknown Function,Uncharacterized
73,gadWX-KO,False,-0.017667150700000002,,Accounts for gadW and gadX knock-outs,Genomic Alterations
0,YieP,False,-0.0172421241,,Unknown,Regulator Discovery
45,CpxR,False,0.016264318700000002,CpxR,Various stress responses,Stress Response
25,Crp-1,False,-0.015386072300000001,Crp,Miscellaneous functions,Miscellaneous Metabolism
84,duplication-1,False,0.014959035800000001,,Large duplication of 129 genes during evolution,Genomic Alterations
12,MalT,False,0.013384455100000001,MalT,Maltose catabolism,Carbon Source Utilization
30,RpoH,False,-0.0124360592,RpoH,Heat shock response,Stress Response
64,Cra,False,0.01217885,Cra,Central carbon metabolism,Carbon Source Utilization
41,CdaR,False,0.0112248755,CdaR,Glucarate catabolism,Carbon Source Utilization
8,ArgR,False,0.0110301952,ArgR,Arginine biosynthesis,Amino Acid and Nucleotide Biosynthesis
7,DhaR/Mlc,False,-0.0109756521,DhaR or Mlc,Dihydroxyacetone kinase and phosphotransferase systems,Carbon Source Utilization
53,Thiamine,False,-0.0109653626,Thiamine diphosphate,Thiamine biosynthesis,Miscellaneous Metabolism
48,deletion-1,False,-0.0107055879,,Large deletion of 39 genes during evolution,Genomic Alterations
2,YgbI,False,-0.0102356023,,Unknown Function,Regulator Discovery
31,GadEWX,False,-0.0100582478,GadE and GadW and GadX,Acid stress response,Stress Response
19,MetJ,False,-0.010029054400000001,MetJ,Methionine biosynthesis,Amino Acid and Nucleotide Biosynthesis
76,FadR/IclR,False,0.0098619923,FadR or IclR,Fatty acid degradation,Miscellaneous Metabolism
26,YiaJ,False,0.009456758400000001,PlaR,Ascorbate utilization,Carbon Source Utilization
3,efeU-repair,False,0.009364746200000001,,Accounts for repair and expression of efeU operon,Genomic Alterations
