k,Name,in_iM,gene_weight,Regulator,Function,Category
25,Crp-1,True,0.108809403767,Crp,Miscellaneous functions,Miscellaneous Metabolism
14,Crp-2,True,0.07170573176350001,Crp,Various carbon source catabolism,Carbon Source Utilization
83,membrane,False,0.0697245246159,,Enriched in membrane-bound proteins,Biological Enrichment
79,crp-KO,False,-0.051759272302199996,,Accounts for crp knock-out,Genomic Alterations
72,curli,False,0.044673798967500004,,Curli assembly,Biological Enrichment
21,uncharacterized-6,False,0.0417077688727,,Unknown Function,Uncharacterized
24,GlcC,False,-0.0358212441497,GlcC,Glycolate catabolism,Carbon Source Utilization
11,e14-deletion,False,0.0326534626422,,Removal of e14 prophage,Genomic Alterations
38,ArcA-1,False,-0.0296032544098,ArcA,Anaerobic response,Energy Metabolism
85,uncharacterized-3,False,-0.0282320278003,,Unknown Function,Uncharacterized
23,Cbl+CysB,False,0.0274298157963,Cbl and CysB,Aliphatic sulfonate utilization,Miscellaneous Metabolism
8,ArgR,False,0.0265443692168,ArgR,Arginine biosynthesis,Amino Acid and Nucleotide Biosynthesis
29,fur-KO,False,-0.0264463225068,,Accounts for fur knock-out,Genomic Alterations
13,OxyR,False,0.0263497166712,OxyR,Peroxide reductases,Stress Response
70,Nac,False,0.021974668931499998,Nac,Nitrogen starvation response,Stress Response
9,YneJ,False,0.021298359303999998,YneJ,Unknown Function,Regulator Discovery
39,nitrate-related,False,-0.020216044101400002,,Nitric oxide response,Biological Enrichment
56,PuuR,False,0.0201771090333,PuuR,Putrescine catabolism,Miscellaneous Metabolism
42,Pyruvate,False,-0.020000597525400003,BtsR or YpdB or PdhR,Pyruvate transport and metabolism,Carbon Source Utilization
15,AtoC,False,0.0194408530502,AtoC,Acetoacetate degradation,Miscellaneous Metabolism
3,efeU-repair,False,0.0182224449707,,Accounts for repair and expression of efeU operon,Genomic Alterations
32,translation,False,0.0179037437713,,Enriched in translation machinery,Biological Enrichment
80,GntR/TyrR,False,0.0178696717373,GntR or TyrR,Gluconate catabolism and tyrosine biosynthesis,Carbon Source Utilization
60,His-tRNA,False,-0.016834479593799998,His-tRNA attenuation,Histidine biosynthesis,Amino Acid and Nucleotide Biosynthesis
53,Thiamine,False,-0.0164895214732,Thiamine,Thiamine biosynthesis,Miscellaneous Metabolism
16,PurR-1,False,0.016445811012600002,PurR,Purine Biosynthesis,Amino Acid and Nucleotide Biosynthesis
59,RcsAB,False,-0.0162503601066,RcsAB,Colanic acid capsule formation,Structural Components
36,CecR,False,-0.0159380880765,CecR,Related to antibiotic sensitivity,Stress Response
89,RbsR,False,0.0158807711889,RbsR,D-ribose catabolism,Carbon Source Utilization
33,PrpR,False,-0.0154429744995,PrpR,Propionate catabolism,Carbon Source Utilization
10,NarL,False,0.0151499157822,NarL,Nitrate respiration,Energy Metabolism
57,NikR,False,-0.014900343770200001,NikR,Nickel homeostasis,Metal Homeostasis
71,Tryptophan,False,0.014804378694,TrpR or trp-tRNA attenuation or Tryptophan attenuation,Tryptophan Biosynthesis,Amino Acid and Nucleotide Biosynthesis
41,CdaR,False,0.0143402501868,CdaR,Glucarate catabolism,Carbon Source Utilization
82,RpoS,False,-0.0141932130352,RpoS,General stress response,Stress Response
45,CpxR,False,0.0139511431516,CpxR,Various stress responses,Stress Response
61,Fur-2,False,-0.013810995998899999,Fur,Iron homeostasis,Metal Homeostasis
65,ArcA-2,False,-0.0134448026004,ArcA,Electron Transport Chain,Energy Metabolism
66,EvgA,False,-0.013437223345,EvgA,Acid and osmotic stress response,Stress Response
5,BW25113,False,-0.012442108157500001,,Transcriptional difference between BW25113 and MG1655,Genomic Alterations
35,fimbriae,False,0.012052022346700001,,Fimbriae assembly,Biological Enrichment
81,purR-KO,False,-0.011823513648899999,,Accounts for purR knock-out,Genomic Alterations
4,ydcI-KO,False,0.011733072041499999,,Accounts for ydcI knock-out,Genomic Alterations
84,duplication-1,False,-0.0116870715664,,Large duplication of 129 genes during evolution,Genomic Alterations
48,deletion-1,False,-0.0115801077095,,Large deletion of 39 genes during evolution,Genomic Alterations
47,Lrp,False,0.011378526271500001,Lrp,Amino acid and peptide transport,Amino Acid and Nucleotide Biosynthesis
54,CysB,False,-0.010535032129399999,CysB,Inorganic sulfate assimilation,Amino Acid and Nucleotide Biosynthesis
73,gadWX-KO,False,-0.0103840863028,,Accounts for gadW and gadX knock-outs,Genomic Alterations
27,GcvA,False,-0.0101828519413,GcvA,Glycine cleavage system,Miscellaneous Metabolism
52,uncharacterized-5,False,0.010165107496,,Unknown Function,Uncharacterized
63,AllR/AraC/FucR,False,0.00994493305108,AllR or AraC or FucR,"Allantoin, glyoxylate, L-arabinose, and L-fucose catabolism",Carbon Source Utilization
91,insertion,False,0.009830450899709998,,IS2 insertion element after laboratory evolution,Genomic Alterations
77,lipopolysaccharide,False,-0.00923507117711,,Lipopolysaccharide biosynthesis,Biological Enrichment
86,ExuR/FucR,False,0.00918974251339,ExuR or FucR,D-galacturonate and L-fucose catabolism,Carbon Source Utilization
12,MalT,False,0.00916299187335,MalT,Maltose catabolism,Carbon Source Utilization
88,iron-related,False,-0.00908808137934,,Related to iron metabolism,Biological Enrichment
44,NagC/TyrR,False,0.00897381114939,NagC or TyrR,N-acetylglucosamine catabolism and tyrosine biosynthesis,Carbon Source Utilization
20,entC-menF-KO,False,-0.00870519672325,,Accounts for entC and menF knock-outs,Genomic Alterations
76,FadR/IclR,False,-0.00839717613141,FadR or IclR,Fatty acid degradation,Miscellaneous Metabolism
1,GlpR,False,-0.008182055507699999,GlpR,Glycerol catabolism,Carbon Source Utilization
78,FlhDC,False,0.00812873601992,FlhDC,Flagella assembly,Structural Components
75,uncharacterized-1,False,-0.00785391906099,,Unknown Function,Uncharacterized
0,YieP,False,-0.00764083554645,YieP,Unknown,Regulator Discovery
34,GadWX,False,0.00763356512801,GadW and GadX,Acid stress response,Stress Response
49,Leu/Ile,False,0.00719074645822,IlvY or leu-tRNA attenuation or ile-tRNA attenuation,Branched-chain amino acid biosynthesis,Amino Acid and Nucleotide Biosynthesis
62,Copper,False,-0.00679660928617,CusR or HprR or CueR,Copper homeostasis,Metal Homeostasis
40,Fnr,False,0.00636902356594,Fnr,Anaerobic response,Energy Metabolism
58,NtrC+RpoN,False,-0.0063304940998500005,NtrC and RpoN,Nitrogen starvation response,Stress Response
55,FliA,False,-0.0062672556081,FliA,Chemotaxis,Structural Components
17,yheO-KO,False,-0.0060156263858299995,,Accounts for yheO knock-out,Genomic Alterations
87,FecI,False,0.005878852488640001,FecI,Ferric citrate transport,Metal Homeostasis
26,YiaJ,False,0.005753823176930001,YiaJ,Ascorbate utilization,Carbon Source Utilization
69,SoxS,False,-0.0057438338015400004,SoxS,Oxidative stress response,Stress Response
28,XylR,False,-0.00532943641329,XylR,Xylose catabolism,Carbon Source Utilization
68,Zinc,False,-0.00475938219547,ZntR or Zur,Zinc homeostasis,Metal Homeostasis
50,deletion-2,False,-0.00468404013454,,Large deletion of 171 genes during evolution,Genomic Alterations
46,thrA-KO,False,0.00448665131921,,Accounts for thrA knock-out,Genomic Alterations
