sample,b3528
control__wt_glc__1,6.31099003130275
control__wt_glc__2,6.32599841969406
fur__wt_dpd__1,3.4651101884443505
fur__wt_dpd__2,3.15105633660157
fur__wt_fe__1,5.8295314305630805
fur__wt_fe__2,5.639268696171711
fur__delfur_dpd__1,3.3859239390901696
fur__delfur_dpd__2,3.1971371952171403
fur__delfur_fe2__1,4.92909430667266
fur__delfur_fe2__2,5.101274584456889
acid__wt_ph5__1,5.56619206276063
acid__wt_ph5__2,5.62316041113976
acid__delgadx_ph5__1,5.455955939734781
acid__delgadx_ph5__2,5.61514978081667
acid__delgadw_ph5__1,5.91621210347721
acid__delgadw_ph5__2,5.663392491979611
acid__delgade_ph5__1,5.749262813281879
acid__delgade_ph5__2,5.66935637944388
oxidative__wt_pq__1,4.17890124570956
oxidative__wt_pq__2,3.8776617976058
oxidative__deloxyr_pq__1,4.08444752943978
oxidative__deloxyr_pq__2,3.86610261272619
oxidative__delsoxr_pq__1,3.56425426068943
oxidative__delsoxr_pq__2,3.8668846866757898
oxidative__delsoxs_pq__1,3.9768465641782997
oxidative__delsoxs_pq__2,4.24896644489762
nac_ntrc__wt_csn__1,4.91870171672739
nac_ntrc__wt_csn__2,4.79268477872915
nac_ntrc__wt_cytd__1,4.56878196586467
nac_ntrc__wt_cytd__2,4.543596767346
nac_ntrc__wt_gln__1,3.9091271722352405
nac_ntrc__wt_gln__2,4.07958798326
nac_ntrc__bw_delnac_csn__1,4.39447797936008
nac_ntrc__bw_delnac_csn__2,4.31815301829107
nac_ntrc__bw_delnac_cytd__1,4.90796432284595
nac_ntrc__bw_delnac_cytd__2,4.71053069610352
nac_ntrc__bw_delnac_gln__1,3.79179371019727
nac_ntrc__bw_delnac_gln__2,3.8642034379120296
nac_ntrc__bw_delnac_nh4__1,5.6245868557137095
nac_ntrc__bw_delnac_nh4__2,5.950033039905501
misc__wt_no_te__1,4.32589982898402
misc__wt_no_te__2,4.81056493821172
misc__bw_delcbl__1,5.944158459991809
misc__bw_delcbl__2,5.948662668325389
misc__bw_delfabr__1,6.066742141070759
misc__bw_delfabr__2,6.0975649589878405
misc__bw_delfadr__1,5.79312044866333
misc__bw_delfadr__2,5.8268291462890005
misc__nitr_031__1,5.14283271687848
omics__wt_glu__1,5.603448677193319
omics__wt_glu__2,5.6959229821232995
omics__wt_gly__1,5.8084730163401295
omics__wt_gly__2,5.78918584019037
omics__wt_thr__1,4.66068535349628
omics__wt_thr__2,4.527801934522429
omics__bw_ac__1,9.43225491055437
omics__bw_ac__2,9.36464486023985
omics__bw_fum__1,10.171990086898802
omics__bw_fum__2,10.225245837891698
omics__bw_glc__1,5.78931168379544
omics__bw_glc__2,6.03279357388454
omics__bw_pyr__1,8.757109252867862
omics__bw_pyr__2,8.842344020895109
ompr__wt_nacl__1,4.15475714801965
ompr__wt_nacl__2,3.6909236313377405
ompr__bw_delompr_nacl__1,3.9993647848690803
ompr__bw_delompr_nacl__2,4.03803039727155
minspan__wt_ade__1,4.96000672239233
minspan__wt_glc__1,6.093286539051269
minspan__wt_glc__2,6.172707379757591
minspan__wt_glc__3,6.37920755185809
minspan__wt_glc__4,6.12127892679029
minspan__wt_glc_anaero__1,4.29180152961796
minspan__wt_glc_anaero__2,4.773943369870469
minspan__wt_trp__1,5.199928679689821
minspan__bw_delcra_glc__1,4.21902983130823
minspan__bw_delcra_glc__2,4.22796850749463
minspan__bw_delcra_trp__1,4.976371425777
minspan__bw_delmntr__1,5.5797524350844805
minspan__bw_delnac_ade__1,6.02961491894666
minspan__bw_delnac_glc__1,5.46016663477401
cra_crp__wt_ac__1,8.63587707716043
cra_crp__wt_ac__2,8.52523482986775
cra_crp__wt_fru__1,7.322587168924859
cra_crp__wt_fru__2,7.2255099017752595
cra_crp__delcra_ac__1,7.475121817383631
cra_crp__delcra_ac__2,7.629929325917081
cra_crp__delcra_fru__1,4.10676955322767
cra_crp__delcra_fru__2,4.00327035736648
cra_crp__delcra_glc__1,5.07150698789335
cra_crp__delcra_glc__2,4.8673537547936
rpoB__wt_031__1,8.04801547809928
rpoB__wt_044__1,5.73477819337091
rpoB__wt_lb__1,10.352162488468599
rpoB__wt_lb__2,10.3227674149788
rpoB__rpoBE546V_031__1,7.52477476379287
