,b4193
control__wt_glc__1,1.6935606894
control__wt_glc__2,1.7642997076
fur__wt_dpd__1,1.8523109533
fur__wt_dpd__2,1.6574566686
fur__wt_fe__1,1.6521958461000001
fur__wt_fe__2,1.5869132751000001
fur__delfur_dpd__1,1.4431877173
fur__delfur_dpd__2,2.024534516
fur__delfur_fe2__1,1.7252531562
fur__delfur_fe2__2,1.7179833733
acid__wt_ph5__1,1.6458767903
acid__wt_ph5__2,2.0619387247
acid__delgadx_ph5__1,2.0846705756
acid__delgadx_ph5__2,1.92180931
acid__delgadw_ph5__1,1.67620335
acid__delgadw_ph5__2,1.6495578402
acid__delgade_ph5__1,1.5101393535
acid__delgade_ph5__2,1.6060363335
oxidative__wt_pq__1,1.5035972363
oxidative__wt_pq__2,1.57308869
oxidative__deloxyr_pq__1,1.8191209823999999
oxidative__deloxyr_pq__2,1.8832626386
oxidative__delsoxr_pq__1,1.4123106254
oxidative__delsoxr_pq__2,1.2808898244
oxidative__delsoxs_pq__1,2.0555625053
oxidative__delsoxs_pq__2,2.197181155
nac_ntrc__wt_csn__1,1.7404533494
nac_ntrc__wt_csn__2,2.017640181
nac_ntrc__wt_cytd__1,1.6938117786
nac_ntrc__wt_cytd__2,1.5060689108
nac_ntrc__wt_gln__1,1.976082993
nac_ntrc__wt_gln__2,1.9006422315
nac_ntrc__bw_delnac_csn__1,2.5955038525000003
nac_ntrc__bw_delnac_csn__2,1.6060929253
nac_ntrc__bw_delnac_cytd__1,1.6302459098000002
nac_ntrc__bw_delnac_cytd__2,1.3335910078
nac_ntrc__bw_delnac_gln__1,1.4022272466
nac_ntrc__bw_delnac_gln__2,2.0741062591
nac_ntrc__bw_delnac_nh4__1,1.2317577131
nac_ntrc__bw_delnac_nh4__2,0.9320893373
misc__wt_no_te__1,1.8098998172
misc__wt_no_te__2,1.9644869972
misc__bw_delcbl__1,1.6665993568
misc__bw_delcbl__2,1.4261753366
misc__bw_delfabr__1,1.1999869119
misc__bw_delfabr__2,0.9465238693
misc__bw_delfadr__1,1.9452309249000002
misc__bw_delfadr__2,1.1778419037
misc__nitr_031__1,1.8053930739
omics__wt_glu__1,1.9405852476
omics__wt_glu__2,1.6331852462
omics__wt_gly__1,2.3937589781
omics__wt_gly__2,2.2040135064
omics__wt_thr__1,4.1598574612
omics__wt_thr__2,3.5213774073
omics__bw_ac__1,2.7192468796
omics__bw_ac__2,2.4120205047
omics__bw_fum__1,2.2069453678
omics__bw_fum__2,1.722213429
omics__bw_glc__1,2.4475882098
omics__bw_glc__2,1.7394839868
omics__bw_pyr__1,1.7082805098
omics__bw_pyr__2,2.4221220561
ompr__wt_nacl__1,2.1438922709
ompr__wt_nacl__2,2.0793736945
ompr__bw_delompr_nacl__1,1.6640743408
ompr__bw_delompr_nacl__2,1.8545556916
minspan__wt_ade__1,1.1859731292
minspan__wt_glc__1,1.1955744583
minspan__wt_glc__2,2.1035422889
minspan__wt_glc__3,1.7037907638
minspan__wt_glc__4,1.5260810052
minspan__wt_glc_anaero__1,1.2118257314
minspan__wt_glc_anaero__2,3.0594797655
minspan__wt_trp__1,2.6102004196
minspan__bw_delcra_glc__1,2.3575478609
minspan__bw_delcra_glc__2,1.8835796049
minspan__bw_delcra_trp__1,3.0645763908
minspan__bw_delmntr__1,2.4135415188
minspan__bw_delnac_ade__1,1.9995151039
minspan__bw_delnac_glc__1,1.432447524
cra_crp__wt_ac__1,3.0229047561
cra_crp__wt_ac__2,2.909267431
cra_crp__wt_fru__1,2.9566735777
cra_crp__wt_fru__2,2.8612721033
cra_crp__delcra_ac__1,2.2728096899
cra_crp__delcra_ac__2,2.0995203316
cra_crp__delcra_fru__1,0.7544257572
cra_crp__delcra_fru__2,1.1314715952
cra_crp__delcra_glc__1,1.4851569696
cra_crp__delcra_glc__2,1.2544788936
rpoB__wt_031__1,2.5000258726
rpoB__wt_044__1,1.4485444487
rpoB__wt_lb__1,3.7120988126
rpoB__wt_lb__2,3.1747752833
rpoB__rpoBE546V_031__1,1.9569640779
rpoB__rpoBE546V_044__1,1.9805299651000001
rpoB__rpoBE546V_lb__1,2.7267364465
rpoB__rpoBE546V_lb__2,3.0648999088
rpoB__rpoBE546V_glc__1,1.9408990964
rpoB__rpoBE672K_glc__1,0.0
rpoB__rpoBE672K_glc__2,1.4176840024000001
rpoB__rpoBE672K_lb__1,2.540863422
rpoB__rpoBE672K_lb__2,2.0490857553
crp__wt_fru__1,1.5346770879
crp__wt_glyc__1,1.931946887
crp__wt_glyc__2,2.1845679517
crp__delar1_glyc__1,1.9979361047
crp__delar1_glyc__2,1.7040330762
crp__delar1ar2_glyc__1,1.6826164405
crp__delar1ar2_glyc__2,1.8143280703
crp__delar1ar2_glyc__3,1.6166013121
crp__delar2_glyc__1,4.2446195247
crp__delar2_glyc__2,4.6393661581
crp__delar2_glyc__3,4.8915787031
crp__delcrp_fru__1,1.3981880356
crp__delcrp_fru__2,1.8201797234
crp__delcrp_fru__3,2.212107952
crp__delcrp_glc__1,2.2374957975
crp__delcrp_glc__2,1.9995507627
crp__delcrp_glc__3,1.6352478482000001
crp__delcrp_glyc__1,1.257233278
crp__delcrp_glyc__2,1.6625839378
crp__delcrp_glyc__3,0.8236857694
glu__glu_ale3__1,2.0179873102
glu__glu_ale4__1,1.5464659773
glu__glu_ale5__1,1.4921328143
glu__glu_ale6__1,1.6587152849
glu__glu_ale8__1,1.9088461317
glu__glu_ale9__1,1.6165049446
glu__glu_ale10__1,1.5621659452999999
42c__wt_42c__1,2.0917790691
42c__42c_ale1__1,2.7988336502
42c__42c_ale2__1,1.3339417087
42c__42c_ale3__1,1.7521212085000002
42c__42c_ale4__1,2.7114485952000003
42c__42c_ale5__1,1.8058735461
42c__42c_ale6__1,2.3744371248
42c__42c_ale8__1,2.3475532572
42c__42c_ale9__1,1.2776427559
42c__42c_ale10__1,2.3637816383
ssw__wt_ac__1,2.3326464181
