,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,Control__wt_glc,4.05579471005,0.09557278454690836,2.0,0.0,3.988214546,1.0,4.1233748741,,,,,,,,
1,Fur__wt_dpd,4.4395156858,0.15319256041955873,2.0,2.0,4.5478391841,3.0,4.3311921875,,,,,,,,
2,Fur__wt_fe,4.6997045629,0.3279251846671609,2.0,4.0,4.9315826847,5.0,4.4678264411,,,,,,,,
3,Fur__delfur_dpd,4.3928335687499995,0.18042733169085776,2.0,6.0,4.5204149585,7.0,4.265252179,,,,,,,,
4,Fur__delfur_fe2,4.9496257303,0.1933302405481166,2.0,8.0,5.0863308544,9.0,4.8129206062000005,,,,,,,,
5,Acid__wt_ph5,5.035687776750001,0.017645463856340103,2.0,10.0,5.0481650039,11.0,5.0232105496,,,,,,,,
6,Acid__delgadx_ph5,4.764013830650001,0.24547000872872154,2.0,12.0,4.9375873384,13.0,4.5904403229,,,,,,,,
7,Acid__delgadw_ph5,4.75578631015,0.1756969956383779,2.0,14.0,4.6315497731,15.0,4.8800228472,,,,,,,,
8,Acid__delgade_ph5,5.14399918935,0.08373414557083639,2.0,16.0,5.2032081715,17.0,5.0847902072,,,,,,,,
9,Oxidative__wt_pq,4.7321373438,0.07502490021518324,2.0,18.0,4.6790867281,19.0,4.7851879595,,,,,,,,
10,Oxidative__deloxyr_pq,4.7688511208,0.08288300191613933,2.0,20.0,4.8274582535,21.0,4.7102439881,,,,,,,,
11,Oxidative__delsoxr_pq,4.35740017685,0.12054843019177926,2.0,22.0,4.2721595644,23.0,4.4426407893,,,,,,,,
12,Oxidative__delsoxs_pq,4.81040741625,0.1577274829168645,2.0,24.0,4.921937589000001,25.0,4.6988772435,,,,,,,,
13,Nac/NtrC__wt_csn,4.5061309119,0.0015316949700053676,2.0,26.0,4.5072139838,27.0,4.50504784,,,,,,,,
14,Nac/NtrC__wt_cytd,4.1855019093,0.17933418908415963,2.0,28.0,4.3123103305,29.0,4.0586934881,,,,,,,,
15,Nac/NtrC__wt_gln,4.5426543635000005,0.004897670043820762,2.0,30.0,4.5391911878,31.0,4.5461175392,,,,,,,,
16,Nac/NtrC__bw_delnac_csn,4.8968959918,0.08129998527737721,2.0,32.0,4.9543837627,33.0,4.8394082209,,,,,,,,
17,Nac/NtrC__bw_delnac_cytd,5.4067868871,0.2007486649495878,2.0,34.0,5.5487376294,35.0,5.2648361448,,,,,,,,
18,Nac/NtrC__bw_delnac_gln,5.8095247777,0.37052867412804347,2.0,36.0,5.5475214396,37.0,6.0715281158,,,,,,,,
19,Nac/NtrC__bw_delnac_nh4,5.5888212124,0.26738193131557714,2.0,38.0,5.3997536356,39.0,5.7778887892,,,,,,,,
20,Misc__wt_no_te,4.99421728985,0.18731792336616881,2.0,40.0,5.1266710637,41.0,4.861763516,,,,,,,,
21,Misc__bw_delcbl,4.6657858587,0.24664173098064174,2.0,42.0,4.8401878992,43.0,4.4913838182,,,,,,,,
22,Misc__bw_delfabr,3.75271351135,0.0222489911970584,2.0,44.0,3.7369810988000003,45.0,3.7684459239,,,,,,,,
23,Misc__bw_delfadr,5.1686052128,0.31763878989126126,2.0,46.0,4.9440006705,47.0,5.3932097551,,,,,,,,
24,Misc__nitr_031,5.0963198783,,1.0,48.0,5.0963198783,,,,,,,,,,
25,Omics__wt_glu,4.9609477014,0.12391761333835,2.0,49.0,4.8733247167,50.0,5.0485706861,,,,,,,,
26,Omics__wt_gly,4.66023561935,0.12947119230899773,2.0,51.0,4.7517855774,52.0,4.5686856613,,,,,,,,
27,Omics__wt_thr,5.32756341235,0.052768502923119597,2.0,53.0,5.3648763786,54.0,5.2902504461,,,,,,,,
28,Omics__bw_ac,4.31698073175,0.08583380185967675,2.0,55.0,4.2562870684,56.0,4.3776743951,,,,,,,,
29,Omics__bw_fum,3.7179509491,0.3232516595533796,2.0,57.0,3.9465243896,58.0,3.4893775086,,,,,,,,
