,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,Control__wt_glc,7.6454665796,0.023098570590134065,2.0,0.0,7.6617997355,1.0,7.6291334237,,,,,,,,
1,Fur__wt_dpd,9.72168770595,0.08052370853303745,2.0,2.0,9.6647488456,3.0,9.7786265663,,,,,,,,
2,Fur__wt_fe,7.3759126063,0.0019993356556804527,2.0,4.0,7.3773263501,5.0,7.3744988625,,,,,,,,
3,Fur__delfur_dpd,8.8233084606,0.06365970783714525,2.0,6.0,8.7782942495,7.0,8.8683226717,,,,,,,,
4,Fur__delfur_fe2,8.4516722652,0.0004031614567770818,2.0,8.0,8.4519573434,9.0,8.451387187,,,,,,,,
5,Acid__wt_ph5,7.8928107827,0.01959274167439329,2.0,10.0,7.9066649432,11.0,7.8789566222000005,,,,,,,,
6,Acid__delgadx_ph5,7.899001273,0.05859371950934441,2.0,12.0,7.9404332894,13.0,7.8575692566,,,,,,,,
7,Acid__delgadw_ph5,7.90864492515,0.02064131406788112,2.0,14.0,7.9232405383,15.0,7.894049312,,,,,,,,
8,Acid__delgade_ph5,8.1041309294,0.13826424240472207,2.0,16.0,8.2018985128,17.0,8.006363346,,,,,,,,
9,Oxidative__wt_pq,9.18165948815,0.18309856614971984,2.0,18.0,9.3111297259,19.0,9.0521892504,,,,,,,,
10,Oxidative__deloxyr_pq,9.4233812351,0.02649159645812832,2.0,20.0,9.4421136226,21.0,9.4046488476,,,,,,,,
11,Oxidative__delsoxr_pq,9.19713522775,8.371366472342629e-06,2.0,22.0,9.1971411472,23.0,9.1971293083,,,,,,,,
12,Oxidative__delsoxs_pq,9.2108072506,0.06573419253879006,2.0,24.0,9.2572883439,25.0,9.1643261573,,,,,,,,
13,Nac/NtrC__wt_csn,7.0681300543,0.08934801840534468,2.0,26.0,7.0049514646,27.0,7.131308644,,,,,,,,
14,Nac/NtrC__wt_cytd,5.7170979391,0.07275794783592547,2.0,28.0,5.7685455774,29.0,5.6656503008,,,,,,,,
15,Nac/NtrC__wt_gln,4.3582035801500005,0.14497020786306955,2.0,30.0,4.4607129972,31.0,4.2556941631,,,,,,,,
16,Nac/NtrC__bw_delnac_csn,7.53876634715,0.27624345791483396,2.0,32.0,7.3434327248,33.0,7.7340999695,,,,,,,,
17,Nac/NtrC__bw_delnac_cytd,7.4199613927999994,0.06321535840031399,2.0,34.0,7.3752613842,35.0,7.4646614014,,,,,,,,
18,Nac/NtrC__bw_delnac_gln,6.1039344828,0.1467883327689609,2.0,36.0,6.0001394573,37.0,6.2077295083,,,,,,,,
19,Nac/NtrC__bw_delnac_nh4,8.4468314078,0.01721005034003427,2.0,38.0,8.4590007511,39.0,8.4346620645,,,,,,,,
20,Misc__wt_no_te,7.78307915465,0.1535593746785948,2.0,40.0,7.6744962795,41.0,7.8916620298,,,,,,,,
21,Misc__bw_delcbl,8.5849741577,0.033807414574480624,2.0,42.0,8.5610687056,43.0,8.6088796098,,,,,,,,
22,Misc__bw_delfabr,8.4176954594,0.030873194941459993,2.0,44.0,8.3958648139,45.0,8.4395261049,,,,,,,,
23,Misc__bw_delfadr,8.36404447425,0.09911472667875698,2.0,46.0,8.2939597789,47.0,8.4341291696,,,,,,,,
24,Misc__nitr_031,7.6059910286,,1.0,48.0,7.6059910286,,,,,,,,,,
25,Omics__wt_glu,8.297053189700001,0.0493375432511887,2.0,49.0,8.2621662783,50.0,8.3319401011,,,,,,,,
26,Omics__wt_gly,8.3612525539,0.11197452054856039,2.0,51.0,8.4404304967,52.0,8.2820746111,,,,,,,,
27,Omics__wt_thr,6.77871280955,0.09977326187087872,2.0,53.0,6.7081624595000005,54.0,6.8492631595999995,,,,,,,,
28,Omics__bw_ac,7.1827559769,0.035590990030911346,2.0,55.0,7.1575893465,56.0,7.2079226073000005,,,,,,,,
29,Omics__bw_fum,8.32029529525,0.007093632649913657,2.0,57.0,8.3152793395,58.0,8.325311251,,,,,,,,
30,Omics__bw_glc,8.6955505121,0.040947067360058806,2.0,59.0,8.6665965631,60.0,8.7245044611,,,,,,,,
31,Omics__bw_pyr,8.76139822965,0.06740629480319776,2.0,61.0,8.8090616778,62.0,8.7137347815,,,,,,,,
32,OmpR__wt_nacl,5.7954039755,0.043743393109731535,2.0,63.0,5.8263352254,64.0,5.7644727256,,,,,,,,
33,OmpR__bw_delompr_nacl,4.1361448529,0.05164141395833479,2.0,65.0,4.1726608469,66.0,4.0996288589,,,,,,,,
34,MinSpan__wt_ade,7.5678782105,,1.0,67.0,7.5678782105,,,,,,,,,,
35,MinSpan__wt_glc,7.307421930425,0.09992442192716054,4.0,68.0,7.2425499619,69.0,7.2435289254,70.0,7.2900310331,71.0,7.4535778013,,,,
36,MinSpan__wt_glc_anaero,9.35943951795,0.022143346049837108,2.0,72.0,9.3437818078,73.0,9.3750972281,,,,,,,,
37,MinSpan__wt_trp,8.2121534227,,1.0,74.0,8.2121534227,,,,,,,,,,
38,MinSpan__bw_delcra_glc,9.527624171349999,0.0008613661560111641,2.0,75.0,9.5282332492,76.0,9.5270150935,,,,,,,,
39,MinSpan__bw_delcra_trp,9.3900634333,,1.0,77.0,9.3900634333,,,,,,,,,,
40,MinSpan__bw_delmntr,9.3849352391,,1.0,78.0,9.3849352391,,,,,,,,,,
41,MinSpan__bw_delnac_ade,10.5331055908,,1.0,79.0,10.5331055908,,,,,,,,,,
42,MinSpan__bw_delnac_glc,7.020939126,,1.0,80.0,7.020939126,,,,,,,,,,
43,Cra/Crp__wt_ac,6.88375127935,0.012119220148928326,2.0,81.0,6.8751816966,82.0,6.8923208621,,,,,,,,
44,Cra/Crp__wt_fru,8.1700645317,0.02423864762156572,2.0,83.0,8.1529252196,84.0,8.1872038438,,,,,,,,
45,Cra/Crp__delcra_ac,5.2584799047,0.10367095897028368,2.0,85.0,5.3317863428,86.0,5.1851734666,,,,,,,,
46,Cra/Crp__delcra_fru,8.1049798232,0.10487940544928041,2.0,87.0,8.0308188844,88.0,8.179140762,,,,,,,,
47,Cra/Crp__delcra_glc,7.74849830685,0.18269281229806061,2.0,89.0,7.8776816333,90.0,7.6193149804,,,,,,,,
48,RpoB Knock-in__wt_031,7.4390027399,,1.0,91.0,7.4390027399,,,,,,,,,,
49,RpoB Knock-in__wt_044,7.7028784579,,1.0,92.0,7.7028784579,,,,,,,,,,
50,RpoB Knock-in__wt_lb,2.9201979396,0.052738489280817306,2.0,93.0,2.8829061962,94.0,2.957489683,,,,,,,,
51,RpoB Knock-in__rpoBE546V_031,6.7614686045,,1.0,95.0,6.7614686045,,,,,,,,,,
52,RpoB Knock-in__rpoBE546V_044,6.7284123542,,1.0,96.0,6.7284123542,,,,,,,,,,
53,RpoB Knock-in__rpoBE546V_lb,4.59568194715,0.4474200082187229,2.0,97.0,4.2793082253,98.0,4.912055669,,,,,,,,
54,RpoB Knock-in__rpoBE546V_glc,7.1302453951,,1.0,99.0,7.1302453951,,,,,,,,,,
55,RpoB Knock-in__rpoBE672K_glc,7.170590417650001,0.0211765848502725,2.0,100.0,7.1855645244,101.0,7.1556163109,,,,,,,,
56,RpoB Knock-in__rpoBE672K_lb,4.7023561969,0.5083605545357744,2.0,102.0,4.3428910015,103.0,5.0618213923,,,,,,,,
57,Crp ARs__wt_fru,6.9929654878,,1.0,104.0,6.9929654878,,,,,,,,,,
58,Crp ARs__wt_glyc,7.0673928484,0.012554303870631134,2.0,105.0,7.0762700818,106.0,7.058515615,,,,,,,,
59,Crp ARs__delar1_glyc,7.92974631975,0.1332532954809017,2.0,107.0,8.0239706286,108.0,7.8355220109,,,,,,,,
60,Crp ARs__delar1ar2_glyc,7.017176049666666,0.1262449516675503,3.0,109.0,7.157497877,110.0,6.9812222464,111.0,6.9128080256,,,,,,
61,Crp ARs__delar2_glyc,6.737022846466668,0.030778002706732744,3.0,112.0,6.755256235,113.0,6.7014875393,114.0,6.7543247651,,,,,,
62,Crp ARs__delcrp_fru,6.4311513367333335,0.09201615639848852,3.0,115.0,6.3442916992,116.0,6.5275766795,117.0,6.4215856315,,,,,,
63,Crp ARs__delcrp_glc,6.507208883166666,0.07757089303605988,3.0,118.0,6.5967651611,119.0,6.4638443419,120.0,6.4610171465,,,,,,
64,Crp ARs__delcrp_glyc,7.810437812266667,0.2402254591509521,3.0,121.0,7.5716743513,122.0,7.807540033,123.0,8.0520990525,,,,,,
65,Glucose Evolution__glu_ale3,10.0546278829,,1.0,124.0,10.0546278829,,,,,,,,,,
66,Glucose Evolution__glu_ale4,7.5689423718,,1.0,125.0,7.5689423718,,,,,,,,,,
67,Glucose Evolution__glu_ale5,7.49615799,,1.0,126.0,7.49615799,,,,,,,,,,
68,Glucose Evolution__glu_ale6,6.5826620411,,1.0,127.0,6.5826620411,,,,,,,,,,
69,Glucose Evolution__glu_ale8,10.7089093397,,1.0,128.0,10.7089093397,,,,,,,,,,
70,Glucose Evolution__glu_ale9,9.3293911957,,1.0,129.0,9.3293911957,,,,,,,,,,
71,Glucose Evolution__glu_ale10,10.2174012018,,1.0,130.0,10.2174012018,,,,,,,,,,
72,42C Evolution__wt_42c,8.4119034428,,1.0,131.0,8.4119034428,,,,,,,,,,
73,42C Evolution__42c_ale1,8.4991749856,,1.0,132.0,8.4991749856,,,,,,,,,,
74,42C Evolution__42c_ale2,8.5971507625,,1.0,133.0,8.5971507625,,,,,,,,,,
75,42C Evolution__42c_ale3,9.4038998896,,1.0,134.0,9.4038998896,,,,,,,,,,
76,42C Evolution__42c_ale4,8.7313552261,,1.0,135.0,8.7313552261,,,,,,,,,,
77,42C Evolution__42c_ale5,8.5800989617,,1.0,136.0,8.5800989617,,,,,,,,,,
78,42C Evolution__42c_ale6,11.1498732251,,1.0,137.0,11.1498732251,,,,,,,,,,
79,42C Evolution__42c_ale8,9.2346536846,,1.0,138.0,9.2346536846,,,,,,,,,,
80,42C Evolution__42c_ale9,8.0746975925,,1.0,139.0,8.0746975925,,,,,,,,,,
81,42C Evolution__42c_ale10,9.4873367661,,1.0,140.0,9.4873367661,,,,,,,,,,
82,Substrate-switching Evolution__wt_ac,4.451476323,,1.0,141.0,4.451476323,,,,,,,,,,
83,Substrate-switching Evolution__wt_glc,7.1436435497,,1.0,142.0,7.1436435497,,,,,,,,,,
84,Substrate-switching Evolution__wt_glyc,6.1043566241,,1.0,143.0,6.1043566241,,,,,,,,,,
85,Substrate-switching Evolution__wt_xyl,10.3807262653,,1.0,144.0,10.3807262653,,,,,,,,,,
86,Substrate-switching Evolution__glc_ale1,8.751880823,,1.0,145.0,8.751880823,,,,,,,,,,
87,Substrate-switching Evolution__glc_ale2,9.1461464129,,1.0,146.0,9.1461464129,,,,,,,,,,
88,Substrate-switching Evolution__glc_ale3,8.3028984011,,1.0,147.0,8.3028984011,,,,,,,,,,
89,Substrate-switching Evolution__glyc_ale1,8.4299077114,,1.0,148.0,8.4299077114,,,,,,,,,,
