,A,OxyR
R2,,0.5478933552553364
xmin,,0.566741924
xmid,,8.366871337930009
xmax,,9.3954421666
ystart,,-0.6646181638928397
yend,,18.73060374081058
control__wt_glc__1,-0.0482621752,8.2090808349
control__wt_glc__2,0.0482621752,8.4175609955
fur__wt_dpd__1,1.970868721,7.8414886869
fur__wt_dpd__2,1.7865318266,7.7543781811
fur__wt_fe__1,-1.4727595732,7.979420518
fur__wt_fe__2,-1.3918212048,7.871566477
fur__delfur_dpd__1,1.3336043168,7.8496007624
fur__delfur_dpd__2,0.0470507468,7.7439972706999995
fur__delfur_fe2__1,1.2789932384,7.9827511996
fur__delfur_fe2__2,1.0928913125,7.9691137534
acid__wt_ph5__1,-0.10626868980000001,8.0559671081
acid__wt_ph5__2,0.0901299494,8.0582019373
acid__delgadx_ph5__1,0.8167521359000001,7.9863064149
acid__delgadx_ph5__2,-0.8519658553,7.8324579662
acid__delgadw_ph5__1,0.522153598,7.9109520525
acid__delgadw_ph5__2,0.604202429,7.9469988815
acid__delgade_ph5__1,0.6315184328,8.023477972
acid__delgade_ph5__2,-0.027307423600000002,8.0654633876
oxidative__wt_pq__1,14.8358943614,8.6937393337
oxidative__wt_pq__2,14.0108928505,8.7539548778
oxidative__deloxyr_pq__1,-0.2843282518,0.566741924
oxidative__deloxyr_pq__2,0.0036984713,0.6906778082
oxidative__delsoxr_pq__1,11.679635052,8.7663425738
oxidative__delsoxr_pq__2,11.680299942,8.639511111400001
oxidative__delsoxs_pq__1,12.2782319619,8.8544243011
oxidative__delsoxs_pq__2,11.8581767405,8.915080165000001
nac_ntrc__wt_csn__1,2.1139853754,7.8511205266
nac_ntrc__wt_csn__2,1.6620524746,7.9538790342
nac_ntrc__wt_cytd__1,0.2882937045,8.0456547466
nac_ntrc__wt_cytd__2,0.9096033316000001,8.0665400692
nac_ntrc__wt_gln__1,1.8963919318,8.1439210301
nac_ntrc__wt_gln__2,1.4410803552,8.2132308183
nac_ntrc__bw_delnac_csn__1,3.6916671244,7.6117803745
nac_ntrc__bw_delnac_csn__2,4.2005683228,7.9547339021
nac_ntrc__bw_delnac_cytd__1,0.546953027,8.1176576128
nac_ntrc__bw_delnac_cytd__2,1.087200611,8.0821897364
nac_ntrc__bw_delnac_gln__1,0.4612374374,8.122276176
nac_ntrc__bw_delnac_gln__2,0.0819636145,7.9196690354
nac_ntrc__bw_delnac_nh4__1,0.2679825431,8.0818996309
nac_ntrc__bw_delnac_nh4__2,-0.5661861573,8.1351881794
misc__wt_no_te__1,1.3987872635,8.2729271841
misc__wt_no_te__2,0.44611953530000004,8.2603916685
misc__bw_delcbl__1,-0.9271957782,8.0298197235
misc__bw_delcbl__2,-0.555366071,8.108743917
misc__bw_delfabr__1,-1.3986331929,8.0926846854
misc__bw_delfabr__2,-1.0714709784,8.0800183576
misc__bw_delfadr__1,-0.10134574190000001,8.113519528
misc__bw_delfadr__2,-0.8934911059,8.2584952666
misc__nitr_031__1,1.3052693137,8.0560261673
omics__wt_glu__1,-3.057933095,7.6000274453
omics__wt_glu__2,-2.5381230071000003,7.7522330355
omics__wt_gly__1,-3.2409553959,7.8764295742
omics__wt_gly__2,-2.5755178016,7.8655935937
omics__wt_thr__1,-3.1043021178,7.8477657906000005
omics__wt_thr__2,-3.2597850541,7.7484011394
omics__bw_ac__1,0.9075239292,7.8766511873
omics__bw_ac__2,0.7437111160000001,7.8294146184999995
omics__bw_fum__1,-0.4405367928,7.9499686705
omics__bw_fum__2,-0.7303386571,7.9478119279
omics__bw_glc__1,0.244452459,8.1061312059
omics__bw_glc__2,0.49774220490000004,8.293208807
omics__bw_pyr__1,-0.5083051559,8.1733241824
omics__bw_pyr__2,-0.3030279577,8.2624773
ompr__wt_nacl__1,-0.8305333020000001,7.0736164924
ompr__wt_nacl__2,0.08440492790000001,6.8661865967
ompr__bw_delompr_nacl__1,1.0152461906,7.2563863279
ompr__bw_delompr_nacl__2,0.7646369937,7.0584406957
minspan__wt_ade__1,0.7180884905,7.2791478245
minspan__wt_glc__1,-0.325061869,7.4740236004
minspan__wt_glc__2,-0.5686294843,7.4719758704
minspan__wt_glc__3,0.3161836429,7.1833000924
minspan__wt_glc__4,-0.7636579893000001,7.4274891989
minspan__wt_glc_anaero__1,-2.18290977,7.1626059835
minspan__wt_glc_anaero__2,-5.9982036495,7.6984099785
minspan__wt_trp__1,-0.7474240528,7.7951535068
minspan__bw_delcra_glc__1,-0.9288975413,7.826054054
minspan__bw_delcra_glc__2,-0.6962278818000001,7.8437724796
minspan__bw_delcra_trp__1,-0.6272192255,7.6120350397
minspan__bw_delmntr__1,-1.4622690897,8.0787272822
minspan__bw_delnac_ade__1,0.2379450612,7.059413195
minspan__bw_delnac_glc__1,-1.3577871632,7.4732007545
cra_crp__wt_ac__1,-3.4341205783,6.9087261323
cra_crp__wt_ac__2,-3.4958336992,6.9788659726
