,A,GlcC
R2,,0.4201992145606567
xmin,,1.5633704653
xmid,,5.037970468289524
xmax,,8.7387006675
ystart,,-0.8952190465607295
yend,,12.531819142521272
control__wt_glc__1,-0.11287099710000001,6.2953718989
control__wt_glc__2,0.11287099710000001,6.2128561668
fur__wt_dpd__1,2.7452405617,5.3340711305
fur__wt_dpd__2,3.264297174,5.2585138051
fur__wt_fe__1,1.9455892332,6.5236156253
fur__wt_fe__2,2.7795104503,6.4806083854
fur__delfur_dpd__1,1.6695058424,5.2513498623
fur__delfur_dpd__2,1.2472579679,5.3874304741
fur__delfur_fe2__1,-0.7283427597000001,5.8916755141
fur__delfur_fe2__2,-1.0992674677,5.9891441745
acid__wt_ph5__1,0.8431963319,6.2148561989
acid__wt_ph5__2,1.4963814215,6.3073268947
acid__delgadx_ph5__1,1.4106172325,6.5970488873
acid__delgadx_ph5__2,0.7093712259,6.3927893284
acid__delgadw_ph5__1,1.5887318477,6.2854144156
acid__delgadw_ph5__2,1.5625272024,6.3655512825
acid__delgade_ph5__1,1.8510318190000001,6.4294449867
acid__delgade_ph5__2,1.3713921185,6.4588645121
oxidative__wt_pq__1,2.3348576894,6.9434401859
oxidative__wt_pq__2,2.154033546,6.9664063618
oxidative__deloxyr_pq__1,4.593564843,7.4468673058
oxidative__deloxyr_pq__2,3.795338697,7.6018320841
oxidative__delsoxr_pq__1,1.6145736091,6.5062813992
oxidative__delsoxr_pq__2,1.2876799089,6.5247573222
oxidative__delsoxs_pq__1,2.1974866604,6.9249133094
oxidative__delsoxs_pq__2,1.8964411482,7.0575460954
nac_ntrc__wt_csn__1,-0.7004009639000001,5.6178863535
nac_ntrc__wt_csn__2,0.5590813972,5.6333095925
nac_ntrc__wt_cytd__1,0.0755097015,6.0268161987
nac_ntrc__wt_cytd__2,0.5948073736,5.7229554764
nac_ntrc__wt_gln__1,0.9728043385,6.0409779622
nac_ntrc__wt_gln__2,1.1335647984000001,5.9031621761
nac_ntrc__bw_delnac_csn__1,3.1054942597,5.3479377175
nac_ntrc__bw_delnac_csn__2,3.0833028124,5.3336764106
nac_ntrc__bw_delnac_cytd__1,2.039837226,5.9089623759
nac_ntrc__bw_delnac_cytd__2,1.3755093722,5.7232906395
nac_ntrc__bw_delnac_gln__1,2.6720205535,5.8282428284000005
nac_ntrc__bw_delnac_gln__2,3.0536728062,5.9294335183
nac_ntrc__bw_delnac_nh4__1,0.1143957295,5.4010099906
nac_ntrc__bw_delnac_nh4__2,1.345226351,5.516555501
misc__wt_no_te__1,0.7273565145,5.556374341
misc__wt_no_te__2,1.0321315674,5.8356034115
misc__bw_delcbl__1,1.3339116757,6.2076881632
misc__bw_delcbl__2,1.7129447037,6.2817975938
misc__bw_delfabr__1,1.4784943047999999,6.3558115621999995
misc__bw_delfabr__2,1.9036697225,6.0524010686
misc__bw_delfadr__1,1.5616505893000001,5.8967184075
misc__bw_delfadr__2,1.0365208197,5.7961121073
misc__nitr_031__1,1.8768204481000001,5.883348551
omics__wt_glu__1,-0.9574113192,6.9506612138
omics__wt_glu__2,-0.4190747345,6.8050152703
omics__wt_gly__1,1.5413723432,6.6081735629
omics__wt_gly__2,1.534985572,6.7868734192
omics__wt_thr__1,1.5360935684,5.3529675043000005
omics__wt_thr__2,1.0194795209,4.9724783
omics__bw_ac__1,13.4073398603,8.2368800507
omics__bw_ac__2,12.4370353625,8.2160235571
omics__bw_fum__1,4.4681488638,7.6694635186
omics__bw_fum__2,4.1615860974,7.5086476862
omics__bw_glc__1,-2.2318429949,5.9996139682
omics__bw_glc__2,-1.5606704575,6.2177714472
omics__bw_pyr__1,0.46050904400000003,7.6198124567
omics__bw_pyr__2,0.8894739537,7.5928220463
ompr__wt_nacl__1,1.1644426599,5.1898145407
ompr__wt_nacl__2,0.2295539128,5.3906511761
ompr__bw_delompr_nacl__1,1.3026196846,4.7892423118
ompr__bw_delompr_nacl__2,0.7159882449,4.8055258007
minspan__wt_ade__1,-4.9295298370000005,5.830212536
minspan__wt_glc__1,-1.2450224817,5.3035022131
minspan__wt_glc__2,-1.7512890622000001,5.2147544054
minspan__wt_glc__3,-2.8126346156,5.4638304199
minspan__wt_glc__4,-1.4539923079000001,5.5121345575
minspan__wt_glc_anaero__1,-3.7877810852,2.2035437382
minspan__wt_glc_anaero__2,-6.5900596060000005,1.9583086042
minspan__wt_trp__1,-3.9954219755000002,3.1055828568
minspan__bw_delcra_glc__1,-3.4397099022,2.5496900995000003
minspan__bw_delcra_glc__2,-3.3186595578,2.5638280169
minspan__bw_delcra_trp__1,-3.8997680229,3.0084594828
minspan__bw_delmntr__1,-3.0922586679,3.5597662762
minspan__bw_delnac_ade__1,-4.2860493472,5.5292719483
minspan__bw_delnac_glc__1,-2.2543562806,6.0437547658
cra_crp__wt_ac__1,13.3714813735,8.4676028805
cra_crp__wt_ac__2,12.9412398451,8.6341463827
cra_crp__wt_fru__1,3.7380297800999998,7.3820295397
cra_crp__wt_fru__2,3.3120969247,7.2529734774
cra_crp__delcra_ac__1,8.912421615,8.0640914018
cra_crp__delcra_ac__2,8.2535980654,7.9698297236
cra_crp__delcra_fru__1,1.5194609346,5.2602382871
cra_crp__delcra_fru__2,1.5482814131,5.4399612225
cra_crp__delcra_glc__1,-0.2433735418,6.1757642139
cra_crp__delcra_glc__2,-0.249637351,6.1672787964
rpoB__wt_031__1,12.2777613694,7.9480501899
rpoB__wt_044__1,5.3406865983,6.1683251307
rpoB__wt_lb__1,15.1069849228,8.3897396882
rpoB__wt_lb__2,15.2483509013,8.4097529853
rpoB__rpoBE546V_031__1,10.9841585859,7.3913010013000005
rpoB__rpoBE546V_044__1,9.599308669,7.100678587
rpoB__rpoBE546V_lb__1,17.9068979028,7.3879768798
rpoB__rpoBE546V_lb__2,17.9996781145,7.2779235955
rpoB__rpoBE546V_glc__1,0.0491607072,6.2839952996
rpoB__rpoBE672K_glc__1,0.39635848970000004,5.6697552207
rpoB__rpoBE672K_glc__2,1.5192303914,6.0516314742
