,name,x,y,cog,color,link
thresh,0.07138984006145001,,,,,
b0002,thrA,11.068424150700999,0.053634997620699995,Amino acid transport and metabolism,#ff0000,
b0003,thrB,10.469396039338351,0.023684440666999998,Amino acid transport and metabolism,#ff0000,
b0004,thrC,10.65996655717875,0.0236348295037,Amino acid transport and metabolism,#ff0000,
b0005,yaaX,6.2873000744642145,-0.00169516190255,Function unknown,#ffc0cb,
b0006,yaaA,6.906683976393445,-0.0037636287956599995,Function unknown,#ffc0cb,
b0007,yaaJ,3.5140856061334844,-0.008659837090549998,Amino acid transport and metabolism,#ff0000,
b0008,talB,11.200780947014199,0.005882499875920001,Carbohydrate transport and metabolism,#bfbf00,
b0009,mog,6.218502498182115,-0.0020099080642000003,Coenzyme transport and metabolism,#da70d6,
b0010,satP,5.40270026305286,0.0049291594765,Function unknown,#ffc0cb,
b0011,yaaW,1.999770249974985,0.00399563759071,Function unknown,#ffc0cb,
b0014,dnaK,10.344607056629151,-0.0016084879771400002,"Posttranslational modification, protein turnover, chaperones",#c71585,
b0015,dnaJ,8.02931371938137,-0.00133507767185,"Posttranslational modification, protein turnover, chaperones",#c71585,
b0016,insL1,6.466019463942975,-0.00297899916339,"Replication, recombination and repair",#008000,
b0018,mokC,1.22242933468779,-0.0208085386238,Function unknown,#ffc0cb,
b0019,nhaA,6.176786303721411,-0.00800527043788,Inorganic ion transport and metabolism,#d3d3d3,
b0020,nhaR,6.291555478473515,-0.0018380505921099998,Transcription,#90ee90,
b0021,insB1,1.8704205806914052,-0.007748098554079998,"Replication, recombination and repair",#008000,
b0022,insA,3.1555912832342554,-0.00729922224193,"Replication, recombination and repair",#008000,
b0023,rpsT,10.80725449636415,-0.00229672703187,"Translation, ribosomal structure and biogenesis",#708090,
b0025,ribF,8.387641765180799,0.0038932376564400004,Coenzyme transport and metabolism,#da70d6,
b0026,ileS,9.767934866736265,0.000408228609752,"Translation, ribosomal structure and biogenesis",#708090,
b0027,lspA,7.36784978184124,0.004432485384800001,Cell wall/membrane/envelope biogenesis,#0000ff,
b0028,fkpB,6.971977491429426,-0.000489388985514,"Posttranslational modification, protein turnover, chaperones",#c71585,
b0029,ispH,7.45726701588624,0.00545307951581,Lipid transport and metabolism,#8b4513,
b0030,rihC,5.054464012217576,0.0138571969096,Nucleotide transport and metabolism,#40e0d0,
b0031,dapB,8.67179918145924,-0.009371536038309999,Amino acid transport and metabolism,#ff0000,
b0032,carA,10.691470702446399,0.0312596971184,Nucleotide transport and metabolism,#40e0d0,
b0033,carB,10.72302557213245,0.0459026976533,Nucleotide transport and metabolism,#40e0d0,
b0034,caiF,4.783748918682775,-0.0125175898174,Transcription,#90ee90,
b0036,caiD,0.9907138950082834,0.0170608547165,Lipid transport and metabolism,#8b4513,
b0037,caiC,3.499185695539825,0.00502262245293,Lipid transport and metabolism,#8b4513,
b0038,caiB,3.0227558479810153,0.0106395177748,Energy production and conversion,#87cefa,
b0039,caiA,3.9903234216753853,-0.00419791755665,Lipid transport and metabolism,#8b4513,
b0040,caiT,1.1703172194045601,0.00525453756891,Inorganic ion transport and metabolism,#d3d3d3,
b0041,fixA,1.7161478818238696,-0.0139970358549,Energy production and conversion,#87cefa,
b0042,fixB,1.295615117839425,0.0028989629104799997,Energy production and conversion,#87cefa,
b0043,fixC,1.5362712757398902,-0.00292713517291,Energy production and conversion,#87cefa,
b0045,yaaU,0.6681326479774949,-0.0008619123430510001,Carbohydrate transport and metabolism,#bfbf00,
b0046,kefF,4.784503874558515,-0.005713250891520001,Function unknown,#ffc0cb,
b0047,kefC,5.17950457552965,-0.00417450324759,Inorganic ion transport and metabolism,#d3d3d3,
b0048,folA,7.115788514062375,-0.014333917881,Coenzyme transport and metabolism,#da70d6,
b0049,apaH,6.833691594887675,0.00213619242796,Signal transduction mechanisms,#00bfbf,
b0050,apaG,6.666430171915694,-0.009209394283870001,Inorganic ion transport and metabolism,#d3d3d3,
b0051,rsmA,8.39513414730147,-0.0008744212599439999,"Translation, ribosomal structure and biogenesis",#708090,
b0052,pdxA,7.883931798772695,-0.00220221143394,Coenzyme transport and metabolism,#da70d6,
b0053,surA,9.29625105362619,-0.00172066177677,"Posttranslational modification, protein turnover, chaperones",#c71585,
b0054,lptD,9.27244815907789,-0.0024428522854699998,Cell wall/membrane/envelope biogenesis,#0000ff,
b0055,djlA,5.930214120579105,-0.00574495017767,"Posttranslational modification, protein turnover, chaperones",#c71585,
b0058,rluA,5.517363152560694,0.00626192779867,"Translation, ribosomal structure and biogenesis",#708090,
b0059,rapA,6.979358491587485,0.00200002514574,"Replication, recombination and repair",#008000,
b0060,polB,4.909523656213784,0.00013207049692899998,"Replication, recombination and repair",#008000,
b0061,araD,1.801887407882635,-0.00422500297793,Carbohydrate transport and metabolism,#bfbf00,
b0062,araA,2.73919514835315,-0.0054049403717,Carbohydrate transport and metabolism,#bfbf00,
b0063,araB,2.255047849992165,-0.0022206743577,Carbohydrate transport and metabolism,#bfbf00,
b0064,araC,5.54478488394928,0.00772517706334,Transcription,#90ee90,
b0065,yabI,4.44523290891801,0.00399534465617,Function unknown,#ffc0cb,
b0066,thiQ,5.592908010204285,0.00637516305526,Coenzyme transport and metabolism,#da70d6,
b0067,thiP,5.6154222745307205,-0.000922815128632,Inorganic ion transport and metabolism,#d3d3d3,
b0068,thiB,8.186320551237955,-0.00631810786572,Coenzyme transport and metabolism,#da70d6,
b0069,sgrR,5.509871575187805,-0.0045283153932,Function unknown,#ffc0cb,
b0070,setA,4.623857233223069,0.0006661922787459999,Carbohydrate transport and metabolism,#bfbf00,
b0071,leuD,9.950906006019515,-0.023955222569999997,Amino acid transport and metabolism,#ff0000,
b0072,leuC,10.595573711538648,-0.0178411580503,Amino acid transport and metabolism,#ff0000,
b0073,leuB,10.2026202410455,-0.0115847568384,Amino acid transport and metabolism,#ff0000,
b0074,leuA,10.0014033202625,-0.00388158436668,Amino acid transport and metabolism,#ff0000,
b0076,leuO,3.1453629386704556,0.0135522128691,Transcription,#90ee90,
b0077,ilvI,8.842748364291676,-0.00535324354855,Amino acid transport and metabolism,#ff0000,
b0078,ilvH,8.019200756137526,-0.0173965205892,Amino acid transport and metabolism,#ff0000,
b0080,cra,7.639548017904925,0.0154354909877,Transcription,#90ee90,
b0081,mraZ,7.109018805200745,0.010635410381700001,Function unknown,#ffc0cb,
b0082,rsmH,7.848274837561555,0.0034452412966400003,Cell wall/membrane/envelope biogenesis,#0000ff,
b0083,ftsL,6.7547331840971605,-0.0060422531824099995,"Cell cycle control, cell division, chromosome partitioning",#87ceeb,
b0084,ftsI,7.388977926729085,0.00338956494711,Cell wall/membrane/envelope biogenesis,#0000ff,
b0085,murE,7.86359785165155,0.000843680255604,Cell wall/membrane/envelope biogenesis,#0000ff,
b0086,murF,7.732678866672865,0.0015621384412999998,Cell wall/membrane/envelope biogenesis,#0000ff,
b0087,mraY,6.924058188237236,-0.0040051352621,Cell wall/membrane/envelope biogenesis,#0000ff,
b0088,murD,7.67544405426476,-0.00255418946979,Cell wall/membrane/envelope biogenesis,#0000ff,
b0089,ftsW,6.93224847189658,-0.00503197564978,"Cell cycle control, cell division, chromosome partitioning",#87ceeb,
b0090,murG,7.041180899092245,0.00229945746867,Cell wall/membrane/envelope biogenesis,#0000ff,
b0091,murC,7.7037134404265,0.00575809988613,Cell wall/membrane/envelope biogenesis,#0000ff,
b0092,ddlB,7.794354864733824,-0.00240853725783,Cell wall/membrane/envelope biogenesis,#0000ff,
b0093,ftsQ,7.61270110859481,-0.0018634161873699998,Cell wall/membrane/envelope biogenesis,#0000ff,
b0094,ftsA,7.478807378703035,-0.000331946878838,"Cell cycle control, cell division, chromosome partitioning",#87ceeb,
b0095,ftsZ,9.608015387175406,-0.0037150403735699998,"Cell cycle control, cell division, chromosome partitioning",#87ceeb,
b0096,lpxC,9.981358169226784,0.0005184718314580001,Cell wall/membrane/envelope biogenesis,#0000ff,
b0097,secM,8.427576125836609,-0.00256039168627,Transcription,#90ee90,
b0098,secA,8.448474455390556,0.00627853333901,"Intracellular trafficking, secretion, and vesicular transport",#add8e6,
b0099,mutT,4.4126042734459645,0.0155443423845,"Replication, recombination and repair",#008000,
b0101,yacG,4.60275063405986,-0.00994422964404,Function unknown,#ffc0cb,
b0102,zapD,7.300824908340065,-0.009111892465059999,Function unknown,#ffc0cb,
b0103,coaE,6.7839174061211,0.006767898031399999,Coenzyme transport and metabolism,#da70d6,
b0104,guaC,9.419238479402775,0.00282018426843,Nucleotide transport and metabolism,#40e0d0,
b0106,hofC,2.790125025860455,-0.011584738626700002,"Intracellular trafficking, secretion, and vesicular transport",#add8e6,
b0107,hofB,3.37793634059778,0.0014971067239700005,"Intracellular trafficking, secretion, and vesicular transport",#add8e6,
b0109,nadC,7.546159978888616,-0.0076942571604700005,Coenzyme transport and metabolism,#da70d6,
b0110,ampD,5.57891115699741,-0.0082652403522,Cell wall/membrane/envelope biogenesis,#0000ff,
b0111,ampE,5.375057094969755,-0.0131001185567,Defense mechanisms,#ff00ff,
b0112,aroP,9.89473032863766,0.00523897523154,Amino acid transport and metabolism,#ff0000,
b0113,pdhR,8.220346748658969,0.0143266330854,Transcription,#90ee90,
b0114,aceE,10.706395298773451,-0.00042120547008399995,Energy production and conversion,#87cefa,
b0115,aceF,10.221677802057801,-0.013571625029799998,Energy production and conversion,#87cefa,
b0116,lpd,11.342445560305201,-0.0076598414163800005,Energy production and conversion,#87cefa,
b0117,yacH,2.4585778295942697,0.007133304806239998,Function unknown,#ffc0cb,
b0118,acnB,11.370056128839352,0.0131488580819,Energy production and conversion,#87cefa,
b0119,yacL,6.75736942164456,-0.0204199187614,Function unknown,#ffc0cb,
b0120,speD,9.307099608648599,-0.0060916249418,Amino acid transport and metabolism,#ff0000,
b0121,speE,9.129283706396599,-0.00784500141458,Amino acid transport and metabolism,#ff0000,
b0122,yacC,7.085685874946179,-0.00439292286325,Function unknown,#ffc0cb,
b0123,cueO,8.243338439813165,-0.015808764287900002,"Secondary metabolites biosynthesis, transport and catabolism",#1e90ff,
b0124,gcd,7.974150992550829,0.0113933220844,Carbohydrate transport and metabolism,#bfbf00,
b0125,hpt,8.199276295436924,-0.006702806983300001,Nucleotide transport and metabolism,#40e0d0,
b0126,can,10.85968874042955,0.0127019413344,Inorganic ion transport and metabolism,#d3d3d3,
b0127,yadG,6.859279333052925,0.000131877502526,Defense mechanisms,#ff00ff,
b0128,yadH,5.898002298623615,-0.0015952897018199999,Defense mechanisms,#ff00ff,
b0129,yadI,3.2259493679115248,0.0170006627706,Carbohydrate transport and metabolism,#bfbf00,
b0130,yadE,4.26304838439702,-0.00518117871311,Carbohydrate transport and metabolism,#bfbf00,
b0131,panD,9.093086505823944,-0.00028791708413200003,Coenzyme transport and metabolism,#da70d6,
b0132,yadD,2.938709685192595,-0.0107511579829,Function unknown,#ffc0cb,
b0133,panC,8.66649626164358,-0.011036487399600002,Coenzyme transport and metabolism,#da70d6,
b0134,panB,8.647634486547185,-0.0059682241488,Coenzyme transport and metabolism,#da70d6,
b0135,yadC,2.31372227857403,0.00841600450481,"Intracellular trafficking, secretion, and vesicular transport",#add8e6,
b0137,yadL,1.959945695690135,-0.0152507915248,Function unknown,#ffc0cb,
b0139,htrE,1.774925470398435,0.00205007812904,Cell wall/membrane/envelope biogenesis,#0000ff,
b0142,folK,6.673970405762775,-0.00768361613688,Coenzyme transport and metabolism,#da70d6,
b0143,pcnB,9.212573896461265,-0.0073089620438000005,"Translation, ribosomal structure and biogenesis",#708090,
b0144,gluQ,5.6377763228462,-0.00182249397294,"Translation, ribosomal structure and biogenesis",#708090,
b0145,dksA,9.45943265367869,-0.0036977802103599997,Signal transduction mechanisms,#00bfbf,
b0146,sfsA,6.12585065581694,-0.00390389043961,Function unknown,#ffc0cb,
b0147,ligT,5.54455029440326,0.00209793592464,"Translation, ribosomal structure and biogenesis",#708090,
b0148,hrpB,5.47997509262788,-0.0007334195534600001,"Replication, recombination and repair",#008000,
b0149,mrcB,6.6217352354024,-0.0059623847502000005,Cell wall/membrane/envelope biogenesis,#0000ff,
b0150,fhuA,9.01879169855102,0.0068699152801400005,Inorganic ion transport and metabolism,#d3d3d3,
b0151,fhuC,6.351232552575095,-0.0014487489138699998,Inorganic ion transport and metabolism,#d3d3d3,
b0152,fhuD,6.309820795278595,-0.00190238959179,Inorganic ion transport and metabolism,#d3d3d3,
b0153,fhuB,5.14454778765106,-0.00838580482358,Inorganic ion transport and metabolism,#d3d3d3,
b0154,hemL,8.249243358174695,-0.00500888511887,Coenzyme transport and metabolism,#da70d6,
b0155,clcA,5.29141044477488,-0.00755210749309,Inorganic ion transport and metabolism,#d3d3d3,
b0156,erpA,8.002563559727811,0.000995568954836,Function unknown,#ffc0cb,
b0157,yadS,4.2717917905721645,-0.0036825224136799997,Function unknown,#ffc0cb,
b0158,btuF,5.218980684791925,0.00762506198437,Inorganic ion transport and metabolism,#d3d3d3,
b0159,mtn,9.207459489422,0.0024325671803299997,Nucleotide transport and metabolism,#40e0d0,
b0160,dgt,5.8196807555104355,-0.00966443496007,Nucleotide transport and metabolism,#40e0d0,
b0161,degP,7.962914805437295,-0.0022090039194,"Posttranslational modification, protein turnover, chaperones",#c71585,
b0162,cdaR,3.465107068228315,-0.00214028435618,Transcription,#90ee90,
b0163,yaeH,8.018453457536019,0.00118666387846,Function unknown,#ffc0cb,
b0164,yaeI,3.9201307961299996,-0.00691559735102,Function unknown,#ffc0cb,
b0166,dapD,10.57606948706125,0.00165622439839,Amino acid transport and metabolism,#ff0000,
b0167,glnD,6.90661338228769,-0.0008219734530589999,"Posttranslational modification, protein turnover, chaperones",#c71585,
b0168,map,9.36628591106419,-0.00498798102186,"Translation, ribosomal structure and biogenesis",#708090,
b0169,rpsB,12.57422763021425,-0.00459047070083,"Translation, ribosomal structure and biogenesis",#708090,
b0170,tsf,11.141961964239801,-0.00880461086722,"Translation, ribosomal structure and biogenesis",#708090,
b0171,pyrH,8.764310232374964,0.00378334529531,Nucleotide transport and metabolism,#40e0d0,
b0172,frr,10.353449800703599,-0.00647755462097,"Translation, ribosomal structure and biogenesis",#708090,
b0173,dxr,5.418577454917435,-0.000125467127306,Lipid transport and metabolism,#8b4513,
b0174,ispU,7.6317653015454505,-0.0105436185693,Lipid transport and metabolism,#8b4513,
b0175,cdsA,7.30984097740603,-0.00931910236976,Lipid transport and metabolism,#8b4513,
b0176,rseP,8.37003331010718,0.000620778874375,Cell wall/membrane/envelope biogenesis,#0000ff,
b0177,bamA,9.445284055614245,0.00226081014164,Cell wall/membrane/envelope biogenesis,#0000ff,
b0178,skp,9.611025339684591,-0.0102446760584,Cell wall/membrane/envelope biogenesis,#0000ff,
b0179,lpxD,9.989790247188886,0.000717152044521,Cell wall/membrane/envelope biogenesis,#0000ff,
b0180,fabZ,8.707975370747153,0.00272864827435,Lipid transport and metabolism,#8b4513,
b0181,lpxA,9.043263809325055,0.00118337674687,Cell wall/membrane/envelope biogenesis,#0000ff,
b0182,lpxB,7.942627131489001,0.00326096894611,Cell wall/membrane/envelope biogenesis,#0000ff,
b0183,rnhB,6.817017031005831,0.00174138885067,"Replication, recombination and repair",#008000,
b0184,dnaE,7.0854959591981395,2.95518885547e-05,"Replication, recombination and repair",#008000,
b0185,accA,9.48983197918633,0.0018144414335,Lipid transport and metabolism,#8b4513,
b0186,ldcC,5.9500429487742705,-0.012631728985699999,Amino acid transport and metabolism,#ff0000,
b0187,yaeR,5.67519653928856,-0.00404422797185,Amino acid transport and metabolism,#ff0000,
b0188,tilS,6.227681891965865,-0.00257529367724,"Cell cycle control, cell division, chromosome partitioning",#87ceeb,
b0189,rof,5.837742409104865,0.0022943039236300003,Transcription,#90ee90,
b0190,yaeQ,5.640636432104681,0.00247139431352,Function unknown,#ffc0cb,
b0191,arfB,4.9668885328051395,0.0120524589467,"Translation, ribosomal structure and biogenesis",#708090,
b0192,nlpE,6.09444794232294,0.000614338368117,Cell wall/membrane/envelope biogenesis,#0000ff,
b0193,yaeF,2.309237710890395,-0.00780038167439,Function unknown,#ffc0cb,
b0194,proS,9.560479690439909,0.00095570900933,"Translation, ribosomal structure and biogenesis",#708090,
b0195,tsaA,6.616991299378061,0.0159264019264,Function unknown,#ffc0cb,
b0196,rcsF,7.790430193111501,0.00653590987759,Cell wall/membrane/envelope biogenesis,#0000ff,
b0197,metQ,10.8049889150507,0.00988731827957,Inorganic ion transport and metabolism,#d3d3d3,
b0198,metI,7.46555647260332,0.0113408570261,Inorganic ion transport and metabolism,#d3d3d3,
b0199,metN,8.77413119736382,0.0154259479803,Inorganic ion transport and metabolism,#d3d3d3,
b0200,gmhB,7.059921214593415,-0.004572244789749999,Amino acid transport and metabolism,#ff0000,
b0207,dkgB,5.8917158109067245,-0.0012113993792100001,Function unknown,#ffc0cb,
b0208,yafC,5.54218960726115,-0.0264155811527,Transcription,#90ee90,
b0209,yafD,7.725378295099825,-0.0019635616206900002,Function unknown,#ffc0cb,
b0210,yafE,4.415931423676705,-0.00307506459547,"Secondary metabolites biosynthesis, transport and catabolism",#1e90ff,
b0211,mltD,9.277298270619657,-0.008868639938469999,Cell wall/membrane/envelope biogenesis,#0000ff,
b0212,gloB,6.301380190106576,0.00762706607814,Function unknown,#ffc0cb,
b0213,yafS,6.059073183482715,-0.00245467366712,"Secondary metabolites biosynthesis, transport and catabolism",#1e90ff,
b0214,rnhA,6.571001898338955,0.0033680849674099997,"Replication, recombination and repair",#008000,
b0215,dnaQ,7.377655181239905,0.0032046646559000004,"Replication, recombination and repair",#008000,
b0217,yafT,2.926343627071035,-0.0046309212857100004,Function unknown,#ffc0cb,
b0219,yafV,5.3430230459759,-0.00399449053925,Function unknown,#ffc0cb,
b0220,ivy,8.42726939239866,-0.012169216171799998,Function unknown,#ffc0cb,
b0221,fadE,6.145679744881785,-0.009400497143059999,Lipid transport and metabolism,#8b4513,
b0222,gmhA,8.286112282464986,0.0044400111928500005,Carbohydrate transport and metabolism,#bfbf00,
b0223,yafJ,7.041490662637875,0.00447493765031,Function unknown,#ffc0cb,
b0224,yafK,8.241154607032026,-0.00145005366626,Function unknown,#ffc0cb,
b0225,yafQ,5.3419277775162755,-0.0130170751532,Function unknown,#ffc0cb,
b0226,dinJ,6.0273966087453354,-0.0016634200495800001,"Replication, recombination and repair",#008000,
b0227,yafL,3.46744043442922,-0.0079264443224,Cell wall/membrane/envelope biogenesis,#0000ff,
b0228,rayT,4.48091816799975,0.00158631143546,"Replication, recombination and repair",#008000,
b0229,lfhA,1.3152004633399401,0.0022350456805999997,No COG Annotation,#00ff00,
b0230,lafU,1.161599686368528,-0.0139753853445,No COG Annotation,#00ff00,
b0231,dinB,5.040932020616155,6.11202721937e-05,"Replication, recombination and repair",#008000,
b0232,yafN,3.633796191505385,0.011775001358499999,"Cell cycle control, cell division, chromosome partitioning",#87ceeb,
b0233,yafO,3.595254315511765,0.00837280564456,"Translation, ribosomal structure and biogenesis",#708090,
b0234,yafP,3.0045150346385547,0.00563798883646,Transcription,#90ee90,
b0237,pepD,8.9817910842136,-0.000380700741545,Amino acid transport and metabolism,#ff0000,
b0238,gpt,7.63153261540839,-0.0022830620357,Nucleotide transport and metabolism,#40e0d0,
b0239,frsA,6.830986640578514,-0.00224266788184,Function unknown,#ffc0cb,
b0240_2,crl_2,8.57107962805575,0.000836521216724,Transcription,#90ee90,
b0241,phoE,2.22625630240171,0.0101230657574,Cell wall/membrane/envelope biogenesis,#0000ff,
b0242,proB,8.248059320824215,0.00301596135375,Amino acid transport and metabolism,#ff0000,
b0243,proA,8.389490010525556,0.0027173062917199998,Amino acid transport and metabolism,#ff0000,
b0250,ykfB,5.14996966470877,-0.010118604327100001,Function unknown,#ffc0cb,
b0251,yafY,1.71843588588075,-0.0032255084002100003,Transcription,#90ee90,
b0252,yafZ,1.5853946402416148,-0.00773275364263,Function unknown,#ffc0cb,
b0253,ykfA,3.9547444921938197,0.0005380554587500001,Function unknown,#ffc0cb,
b0254,perR,3.1668383708008303,-0.00249161882985,Transcription,#90ee90,
b0258,ykfC,4.6594512190883055,0.00598831199117,No COG Annotation,#00ff00,
b0259,insH1,7.94542599774532,0.00261753200046,"Replication, recombination and repair",#008000,
b0260,mmuP,5.5655513022488705,0.00209771114522,Amino acid transport and metabolism,#ff0000,
b0261,mmuM,5.730438371082295,0.00104093971481,Amino acid transport and metabolism,#ff0000,
b0262,afuC,2.336062597515185,-0.014537318419700003,Amino acid transport and metabolism,#ff0000,
b0264,insB1,2.2492212181703097,-0.00514979150272,"Replication, recombination and repair",#008000,
b0265,insA,3.4445336875641797,0.010728953321400002,"Replication, recombination and repair",#008000,
b0266,yagB,4.30507970525265,-0.00320679721731,No COG Annotation,#00ff00,
b0267,yagA,1.233971643991075,0.009888023820200001,"Replication, recombination and repair",#008000,
b0268,yagE,2.7106065056355098,0.0261287406545,Amino acid transport and metabolism,#ff0000,
b0269,yagF,3.1412113434571802,0.0158887086158,Amino acid transport and metabolism,#ff0000,
b0270,yagG,2.59603992473159,-0.00840640674832,Carbohydrate transport and metabolism,#bfbf00,
b0271,yagH,3.4770025846321753,-0.00708946614434,Carbohydrate transport and metabolism,#bfbf00,
b0272,yagI,7.090834477077594,-0.0106001085122,Transcription,#90ee90,
b0273,argF,9.50945730074431,0.0066879629746,Amino acid transport and metabolism,#ff0000,
b0274,insB1,2.95997247947707,9.02577149422e-05,"Replication, recombination and repair",#008000,
b0275,insA,3.56348035674005,0.00588712630738,"Replication, recombination and repair",#008000,
b0276,yagJ,2.9519281545347553,-0.0006582217829299999,No COG Annotation,#00ff00,
b0277,yagK,4.302875694977001,0.0140761258565,Function unknown,#ffc0cb,
b0278,yagL,3.22465223646234,0.00128908442601,"Replication, recombination and repair",#008000,
b0280,yagN,8.430962013582285,-0.0042977719658999994,Function unknown,#ffc0cb,
b0281,intF,6.765129134363166,0.008781820185440001,"Replication, recombination and repair",#008000,
b0283,paoD,3.4217305987052247,0.00621862450663,"Posttranslational modification, protein turnover, chaperones",#c71585,
