k,name,in_iM,gene_weight,regulator,function,category
200,UC-8,False,0.0243009416630982,,Unknown,Unknown
66,nquinone ALE 3,False,-0.0181794719083463,,ubiC KO and associated adaptive regulatory changes,Energy Metabolism
89,UC-6,False,0.0171419803365332,,Unknown,Unknown
157,Microaerobic,False,0.0164959011848296,RpoS+Fis+NarP+NarL+AppY+YdeO+ArcA+IscR,Hydrogenase 1 and cytochrome bd-II ubiquinol oxidase: microaerobic respiratory chain between hydrogen and oxygen,Energy Metabolism
145,ppGpp,False,0.0162215391885942,ppGpp,Stringent response,Global Stress
190,Efflux Pump,False,-0.0160870244031616,,Multidrug/spermidine efflux pump,Resistance
80,Thiamine-2,False,0.0140220318904033,,Thiamine uptake and biosynthesis,Cofactor Metabolism
10,Nucleotide Stress,False,-0.0127742455368797,,DNA repair; stringent response signaling via ppGpp; ribosomal biogenesis and stability,DNA Damage
191,Tryptophanase,False,-0.0121961950193796,Crp+TorR+Nac+L-tryptophan,Tryptophan import and catabolism via tryptophanase; indole/pyruvate biosynthesis,Amino Acid Metabolism
197,CCK-PGI Del,False,0.0119825554564081,,Unknown,Unknown
105,Glycine,False,0.0118387809765162,PurR+Fnr+ppGpp+Crp+Lrp+GcvA,Glycine cleavage system,Amino Acid Metabolism
112,pts ALE,False,0.0117324518710299,,ptsHIcrr KO and associated adaptive regulatory changes,Energy Metabolism
100,Molybdenum,False,-0.01121664217986,Crp+FliA+ModE,Molybdenum transport and molybdoenzyme synthesis,Metal Homeostasis
21,Nucleoside,False,0.0111607309374131,Crp+CytR,Transport and utilization of ribonucleosides and deoxyribonucleosides,Nucleotide Metabolism
59,Magnesium,False,-0.0107892159198714,PhoP,Magnesium sensing and transport; magnesium-limitation response,Metal Homeostasis
83,yafF,False,0.0104469645513758,,Unknown,Unknown
108,PaaX,False,0.0101937077382834,Crp+IHF+PaaX+SlyA,Phenylacetic acid transport and catabolism,Carbon Metabolism
124,Thr/Ser-2,False,-0.009969856634822,Fnr+Crp+IHF+TdcA+TdcR,Threonine/serine transport and catabolism,Amino Acid Metabolism
95,Ribose,False,-0.0099313219424556,dsrA+Crp+RbsR,Ribose transport and catabolism,Carbon Metabolism
189,UC-7,False,0.0098189417011345,,Unknown,Unknown
113,FDH-O,False,-0.0098121507812985,sdhX,Formate dehydrogenase O; formate to carbon dioxide oxidation; formate-nitrate electron transport during aerobic/anerobic shift,Energy Metabolism
8,yqhI,False,0.0097531616019475,,Unknown,Unknown
68,Cellulose,False,-0.0097466008587649,,Cellulose biosynthesis; biofilm formation; membrane/periplasmic proteins,Extracellular Structures
142,UC-5,False,-0.009649706950317,,Unknown,Unknown
126,Thiamine-1,False,-0.0095039774524006,Thiamine diphosphate,Thiamine uptake and biosynthesis,Cofactor Metabolism
