,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,control__wt_glc,0.0,0.19316463034168765,2.0,0.0,0.13658802000000006,1.0,-0.13658802000000006,,,,,,,,
1,fur__wt_dpd,-0.0011067849999999435,0.007506320319957265,2.0,2.0,0.004200985000000213,3.0,-0.0064145550000001,,,,,,,,
2,fur__wt_fe,-0.23548951250000005,0.20302578524151665,2.0,4.0,-0.09192860299999994,5.0,-0.37905042200000016,,,,,,,,
3,fur__delfur_dpd,-0.09719284000000017,0.20178947055290192,2.0,6.0,0.04549386299999991,7.0,-0.23987954300000025,,,,,,,,
4,fur__delfur_fe2,0.6799515719999998,0.10371351110074058,2.0,8.0,0.7532880989999997,9.0,0.6066150449999999,,,,,,,,
5,acid__wt_ph5,0.09396136049999981,0.08927428809842791,2.0,10.0,0.030834905999999936,11.0,0.1570878149999997,,,,,,,,
6,acid__delgadx_ph5,-0.11105478800000013,,1.0,12.0,-0.11105478800000013,,,,,,,,,,
7,acid__delgadw_ph5,0.2315097264999999,0.09262210778137267,2.0,13.0,0.2970034469999998,14.0,0.166016006,,,,,,,,
8,acid__delgade_ph5,0.3011683395,0.08926316672297359,2.0,15.0,0.36428693,16.0,0.238049749,,,,,,,,
9,oxidative__wt_pq,0.012349503499999859,0.13807212729054988,2.0,17.0,-0.08528223400000012,18.0,0.10998124099999984,,,,,,,,
10,oxidative__deloxyr_pq,0.5088477874999999,0.16175487853202322,2.0,19.0,0.39446981600000003,20.0,0.6232257589999999,,,,,,,,
11,oxidative__delsoxr_pq,-0.29673225699999994,0.1722247533755046,2.0,21.0,-0.418513548,22.0,-0.17495096599999993,,,,,,,,
12,oxidative__delsoxs_pq,0.23227589800000015,0.054520970560214724,2.0,23.0,0.2708280460000001,24.0,0.1937237500000002,,,,,,,,
13,nac_ntrc__wt_csn,0.4276554104999999,0.03836368879743981,2.0,25.0,0.454782635,26.0,0.40052818599999984,,,,,,,,
14,nac_ntrc__wt_cytd,0.032989990999999774,0.1645615501024329,2.0,27.0,-0.08337259700000033,28.0,0.14935257899999987,,,,,,,,
15,nac_ntrc__wt_gln,0.32111909849999987,0.08911543656003483,2.0,29.0,0.3841332280000001,30.0,0.2581049689999997,,,,,,,,
16,nac_ntrc__bw_delnac_csn,0.2713273319999998,0.4649865236029435,2.0,31.0,0.6001224559999998,32.0,-0.05746779200000018,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,-0.18224732150000003,0.3234450532580342,2.0,33.0,0.04646286899999996,34.0,-0.410957512,,,,,,,,
18,nac_ntrc__bw_delnac_gln,0.12664495100000006,0.06320832042509966,2.0,35.0,0.08194991899999993,36.0,0.1713399830000002,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,-0.021560368500000093,0.780909751103523,2.0,37.0,-0.5737469490000002,38.0,0.530626212,,,,,,,,
20,misc__wt_no_te,0.048151264499999735,0.08029467968717043,2.0,39.0,0.10492817699999968,40.0,-0.008625648000000208,,,,,,,,
21,misc__bw_delcbl,-0.24737663300000007,0.05863545380009836,2.0,41.0,-0.2888381600000001,42.0,-0.205915106,,,,,,,,
22,misc__bw_delfabr,-0.16076019900000008,0.1651804212710358,2.0,43.0,-0.043960003000000025,44.0,-0.2775603950000001,,,,,,,,
23,misc__bw_delfadr,-0.04395571799999985,0.403156976548344,2.0,45.0,-0.3290307499999998,46.0,0.2411193140000001,,,,,,,,
24,misc__nitr_031,0.019356065999999842,,1.0,47.0,0.019356065999999842,,,,,,,,,,
