,b4169
p1k_00001,-0.03071589400000008
p1k_00002,0.03071589400000008
p1k_00003,1.0122314980000011
p1k_00004,0.9384766470000008
p1k_00005,-0.12983453299999947
p1k_00006,-0.15285684299999944
p1k_00007,0.9471313939999996
p1k_00008,0.7048367300000002
p1k_00009,0.06457755600000059
p1k_00010,0.09469500100000072
p1k_00011,0.2711993039999996
p1k_00012,0.3937012300000005
p1k_00014,0.20442569700000046
p1k_00015,0.16713052500000014
p1k_00016,0.23817679500000025
p1k_00017,0.33716724399999976
p1k_00018,0.3065544120000005
p1k_00019,0.44022380700000063
p1k_00020,0.4740618970000003
p1k_00021,0.6396855300000004
p1k_00022,0.6451426630000006
p1k_00023,0.28198286200000044
p1k_00024,0.35791352800000104
p1k_00025,0.5416794940000003
p1k_00026,0.4820928110000002
p1k_00027,0.5524075130000012
p1k_00028,0.5733468049999999
p1k_00029,-0.04187211099999999
p1k_00030,0.0004177690000002343
p1k_00031,0.3350850239999996
p1k_00032,0.2617286839999995
p1k_00033,0.9812288650000004
p1k_00034,1.4008047789999996
p1k_00035,0.3702963439999998
p1k_00036,0.3757765180000012
p1k_00037,0.5118074930000011
p1k_00038,0.6091774420000018
p1k_00039,0.05554178600000004
p1k_00040,-0.0036062519999990883
p1k_00041,0.4118655490000007
p1k_00042,0.2296218640000003
p1k_00043,0.03298109200000088
p1k_00044,-0.01963887999999958
p1k_00045,-0.11150333500000008
p1k_00046,-0.06146175499999984
p1k_00047,0.0699753800000007
p1k_00048,0.2273265100000001
p1k_00049,0.8749236400000004
p1k_00050,-0.4473655079999999
p1k_00051,-0.2920281119999988
p1k_00052,-0.23986799299999986
p1k_00053,-0.3099238979999992
p1k_00054,-0.4133724829999999
p1k_00055,-0.5318327929999995
p1k_00056,0.1971816620000002
p1k_00057,0.2743626870000009
p1k_00058,0.3519041180000011
p1k_00059,0.428017455
p1k_00060,0.6276444670000005
p1k_00061,0.6329240170000006
p1k_00062,0.4873995410000002
p1k_00063,0.10674769300000088
p1k_00064,0.265622681
p1k_00065,0.38649515
p1k_00066,0.7489781230000006
p1k_00067,0.6129703120000007
p1k_00068,0.15781248000000048
p1k_00070,0.019087751999999902
p1k_00071,-0.010375834999999613
p1k_00072,0.05544344000000034
p1k_00073,0.359799754
p1k_00074,0.4411876050000005
p1k_00075,-0.2307526969999989
p1k_00077,0.18877571600000032
p1k_00078,-0.1330647349999996
p1k_00079,0.16573047700000032
p1k_00080,-0.10732592799999983
p1k_00081,-0.07960069199999875
p1k_00082,-0.25795851399999936
p1k_00083,-0.4167851909999998
p1k_00084,-0.30572445799999937
p1k_00085,-0.3467954710000001
p1k_00086,-0.05549957000000028
p1k_00087,-0.010163676000000343
p1k_00088,0.28752277500000023
p1k_00089,0.18579042200000015
p1k_00090,0.04792495500000005
p1k_00091,-0.04992414699999959
p1k_00092,0.1095081320000002
p1k_00093,0.26370704100000003
p1k_00094,0.1713993389999997
p1k_00095,0.08707874899999979
