,118
control__wt_glc__1,0.344356521039949
control__wt_glc__2,-0.3443565210399469
fur__wt_dpd__1,-1.1105191453412244
fur__wt_dpd__2,-0.2956766220048102
fur__wt_fe__1,-0.9417350396063552
fur__wt_fe__2,-1.0619996095467856
fur__delfur_dpd__1,-2.3266694006156445
fur__delfur_dpd__2,-1.922692283555017
fur__delfur_fe2__1,-1.6539673755206217
fur__delfur_fe2__2,-0.9849339520984026
acid__wt_ph5__1,-0.8876129110989562
acid__wt_ph5__2,-1.5450742557653263
acid__delgadx_ph5__2,0.2353289850805033
acid__delgadw_ph5__1,-0.2638754140590668
acid__delgadw_ph5__2,-1.4120483969212914
acid__delgade_ph5__1,-0.9584612288421904
acid__delgade_ph5__2,-0.6547606824376319
oxidative__wt_pq__1,-1.4085093944256803
oxidative__wt_pq__2,-2.656074405636985
oxidative__deloxyr_pq__1,-1.9137203600416228
oxidative__deloxyr_pq__2,-2.0258084058237262
oxidative__delsoxr_pq__1,-2.620585323995696
oxidative__delsoxr_pq__2,-1.776784032195604
oxidative__delsoxs_pq__1,-4.385837953733172
oxidative__delsoxs_pq__2,-3.786706321026279
nac_ntrc__wt_csn__1,-0.6310742859125188
nac_ntrc__wt_csn__2,-0.6128913032493324
nac_ntrc__wt_cytd__1,-1.551117784922866
nac_ntrc__wt_cytd__2,-1.7166099266025006
nac_ntrc__wt_gln__1,-2.262564109759264
nac_ntrc__wt_gln__2,-2.1738292488460647
nac_ntrc__bw_delnac_csn__1,-0.9526371720945248
nac_ntrc__bw_delnac_csn__2,-1.6302480054903106
nac_ntrc__bw_delnac_cytd__1,-0.1125420207774752
nac_ntrc__bw_delnac_cytd__2,-0.8429777870741484
nac_ntrc__bw_delnac_gln__1,-2.9837929805300973
nac_ntrc__bw_delnac_gln__2,-2.851643364494965
nac_ntrc__bw_delnac_nh4__1,0.4440944847655095
nac_ntrc__bw_delnac_nh4__2,0.4914047385159213
misc__wt_no_te__1,-1.3417039472880463
misc__wt_no_te__2,-1.1581393106733695
misc__bw_delcbl__1,0.2551960638101486
misc__bw_delcbl__2,-0.889900602511588
misc__bw_delfabr__1,-1.4917032892902338
misc__bw_delfabr__2,-2.0263414346109445
misc__bw_delfadr__1,-1.7155010297076727
misc__bw_delfadr__2,-2.072937274676803
misc__nitr_031__1,-2.2050031445362186
omics__wt_glu__1,2.71432555142484
omics__wt_glu__2,1.7197004026710458
omics__wt_gly__1,2.1665589794273683
omics__wt_gly__2,2.352935092852132
omics__wt_thr__1,0.7848941409364176
omics__wt_thr__2,0.2454897696014656
omics__bw_ac__1,-4.812804669241922
omics__bw_ac__2,-1.269378944249375
omics__bw_fum__1,-1.144894545998974
omics__bw_fum__2,-1.871573176726736
omics__bw_glc__1,-0.0974502850509162
omics__bw_glc__2,-1.3136632325407371
omics__bw_pyr__1,-3.1247188589712103
omics__bw_pyr__2,-2.0733309847409043
ompr__wt_nacl__1,-1.7790495700643063
ompr__wt_nacl__2,-1.8045079702005289
ompr__bw_delompr_nacl__1,-0.6067970905963017
ompr__bw_delompr_nacl__2,-0.7464363934730603
minspan__wt_ade__1,4.766939642294471
minspan__wt_glc__2,-0.6647808863346889
minspan__wt_glc__3,0.1442472573153687
minspan__wt_glc__4,-1.827681330537571
minspan__wt_glc_anaero__1,0.631538804022318
minspan__wt_glc_anaero__2,-4.024349026428872
minspan__wt_trp__1,-0.3884560320070644
minspan__bw_delcra_glc__2,-0.5366135270038509
minspan__bw_delcra_trp__1,0.7361577909357588
minspan__bw_delmntr__1,0.2772823131393967
minspan__bw_delnac_ade__1,0.5972227983896221
minspan__bw_delnac_glc__1,0.7300773037657818
cra_crp__wt_ac__1,0.2341333672986043
cra_crp__wt_ac__2,0.244772123799256
cra_crp__wt_fru__1,1.9773853922022564
cra_crp__wt_fru__2,1.1569607231557553
cra_crp__delcra_ac__1,-2.957686728170484
cra_crp__delcra_ac__2,-3.5856427131862327
cra_crp__delcra_fru__1,0.332801732429109
cra_crp__delcra_fru__2,-0.4882662014189263
cra_crp__delcra_glc__1,0.1979163813293276
cra_crp__delcra_glc__2,-0.7621719683597706
rpoB__wt_031__1,0.6317058038616463
rpoB__wt_044__1,-1.6619625126311943
rpoB__wt_lb__1,-1.6873784014149091
rpoB__wt_lb__2,-0.9145415250935268
rpoB__rpoBE546V_031__1,-1.8990119117423825
rpoB__rpoBE546V_044__1,-2.7507814021816146
rpoB__rpoBE546V_lb__1,-1.611825387673453
rpoB__rpoBE546V_lb__2,-0.6421046829939755
rpoB__rpoBE546V_glc__1,2.3603801709530936
rpoB__rpoBE672K_glc__1,-0.7076574207566879
rpoB__rpoBE672K_glc__2,-2.6418757157126915
rpoB__rpoBE672K_lb__1,1.7568562165508648
rpoB__rpoBE672K_lb__2,1.0041019600927663
crp__wt_fru__1,-1.261973285984019
crp__wt_glyc__1,-0.8711496517830775
crp__wt_glyc__2,-1.259901993224444
crp__delar1_glyc__1,-1.671246451672465
crp__delar1_glyc__2,-1.3307833671627924
crp__delar1ar2_glyc__1,-1.136885239348922
crp__delar1ar2_glyc__2,-1.1228369242919802
crp__delar1ar2_glyc__3,0.5142463056619704
crp__delar2_glyc__1,-2.6292347411197614
crp__delar2_glyc__2,-1.9190976607654944
crp__delar2_glyc__3,-3.479407857374739
crp__delcrp_fru__1,-2.5036718853604194
crp__delcrp_fru__2,-1.2136959409658223
crp__delcrp_fru__3,-1.6857387820204537
crp__delcrp_glc__1,-1.1026353111549372
crp__delcrp_glc__2,-0.8004181741797745
crp__delcrp_glc__3,-1.034386702991135
crp__delcrp_glyc__1,-1.675958434800535
crp__delcrp_glyc__2,-0.0891912378283764
crp__delcrp_glyc__3,-1.1806839831067992
glu__glu_ale3__1,-1.9044460258811489
glu__glu_ale4__1,0.0266287192189256
glu__glu_ale5__1,-0.1294271637955522
glu__glu_ale6__1,1.5185668148828035
glu__glu_ale8__1,-2.237769340300796
glu__glu_ale9__1,-1.3429184003173082
glu__glu_ale10__1,-1.3553397622430514
42c__wt_42c__1,-0.6167905654518422
42c__42c_ale1__1,-1.764711932513659
42c__42c_ale2__1,0.6318247934170017
42c__42c_ale3__1,-1.2178409527665817
42c__42c_ale4__1,-2.378309421990151
42c__42c_ale5__1,-0.140087886246845
42c__42c_ale6__1,-0.7308173787520932
42c__42c_ale8__1,-2.6758495121070456
42c__42c_ale9__1,0.0662352954389129
42c__42c_ale10__1,-2.2722781527733864
ssw__wt_ac__1,-2.7187222803090427
ssw__wt_glc__1,-3.002102870120085
ssw__wt_glyc__1,-2.1850646419114854
ssw__wt_xyl__1,0.1402678950149592
ssw__glc_ale1__1,-2.125816383792839
ssw__glc_ale2__1,-2.811291497577878
ssw__glc_ale3__1,-2.398711158768344
ssw__glyc_ale1__1,-0.9103060786265031
ssw__glyc_ale2__1,-1.8977765175969497
ssw__xyl_ale1__1,1.2900386269382016
ssw__xyl_ale2__1,-0.5984014530678503
ssw__xyl_ale3__1,1.7460714861173647
ssw__glc_ac_ac2__1,-0.9560873994814834
ssw__glc_ac_glc1__1,-0.5312080534383555
ssw__glc_glyc_glc__1,1.9998991109265312
ssw__glc_glyc_glyc__1,-3.1352871417870567
ssw__glc_xyl_glc__1,1.5541906196439716
ssw__glc_xyl_xyl__1,-0.6951374980229803
ica__wt_glc__1,-0.4258840303127882
ica__wt_glc__2,-1.0729174136657065
ica__wt_glc__3,-1.544311439503398
ica__wt_glc__4,-0.3250527887006859
ica__arg_sbt__1,-3.055196876342165
ica__arg_sbt__2,-2.015178824693476
ica__cytd_rib__1,-3.025409419270032
ica__cytd_rib__2,-2.923621328425067
ica__gth__1,-3.74908035683332
ica__gth__2,-3.239000094549968
ica__leu_glcr__1,-1.5343027753841008
ica__leu_glcr__2,-0.4292456754229541
ica__met_glc__1,1.5758926982985968
ica__met_glc__2,-0.2173131092479198
ica__no3_anaero__1,-2.062979483466129
ica__no3_anaero__2,-1.4725097014984223
ica__phe_acgam__1,-0.5452937239724838
ica__phe_acgam__2,-0.6594989649479177
ica__thm_gal__1,-1.5127841231585826
ica__thm_gal__2,-2.143491912688321
ica__tyr_glcn__1,0.2647877845668304
ica__tyr_glcn__2,0.2240067563968583
ica__ura_pyr__1,-1.0968102105985174
ica__ura_pyr__2,-1.9173992825038788
ica__wt_glc__5,0.0213091335003408
ica__wt_glc__6,-0.5397609362507687
ica__bw_delpurR_cytd__1,0.3027549019346559
ica__bw_delpurR_cytd__2,0.4123378735344201
ica__ade_glc__1,0.7552279339291232
ica__ade_glc__2,2.0536452795049915
ytf__wt_glc__1,-0.8215930567177563
ytf__wt_glc__2,-1.6483508365295172
ytf__delyafC__1,-1.7497967727370392
ytf__delyafC__2,-2.3205396057716303
ytf__delyeiE__1,-0.4024399590470548
ytf__delyeiE__2,-1.5223760339886938
ytf__delyiaJ__1,-1.166887337286601
ytf__delyiaJ__2,-1.1988279926202003
ytf__delyieP__1,-1.4588498637630496
ytf__delyieP__2,-2.0117406809244303
ytf__wt_ph5__1,-1.988626498633497
ytf__wt_ph5__2,-1.227712977589208
ytf__wt_ph8__1,-1.0644343088182329
ytf__wt_ph8__2,1.161823335945385
ytf__delybaO__1,-2.3911116416431324
ytf__delybaO__2,-1.2333692294765322
ytf__delybaQ__1,-0.2335789424356333
ytf__delybaQ__2,0.1193696678391132
ytf__delybiH__1,-1.640655950195693
ytf__delybiH__2,0.218840801500915
ytf__delydcI_ph5__1,-0.5946321588966497
ytf__delydcI_ph5__2,-2.0896376991041765
ytf__delydcI_ph8__1,0.6835473103915701
ytf__delydcI_ph8__2,-0.5251463465508498
ytf__delyddM__1,-0.9867288841984414
ytf__delyddM__2,0.240720916015122
ytf__delyheO__1,-1.8073719049942163
ytf__delyheO__2,-0.2782703424271123
fps__bw_glc__1,0.231791780922016
fps__bw_glc__2,0.5099343060064327
fps__fps_thrA_ale1__1,0.6408887439957459
fps__fps_thrA_ale1__2,-0.2781625939932194
fps__fps_thrA_ale2__1,-0.4695225156090079
fps__fps_thrA_ale2__2,-0.5158205350932906
fps__fps_serB_ale1__1,-1.162292177027326
fps__fps_serB_ale1__2,-1.820150499479246
fps__fps_serB_ale4__1,-2.4463262340970693
fps__fps_serB_ale4__2,-2.7175786063467773
fps__fps_ptsI_ale1__1,-0.0614757522915905
fps__fps_ptsI_ale1__2,-1.2133032720796386
fps__fps_ptsI_ale3__1,-0.944036970763922
fps__fps_ptsI_ale3__2,-0.9605739968480844
pal__lyx_ale2_f6__1,-0.2835028112723234
pal__lyx_ale2__1,-0.5861929569680272
pal__lyx_ale2__2,-0.9140905223698476
pal__lyx_ale4__1,-0.9872076251801556
pal__lyx_ale4__2,0.0552304363873301
pal__5drib_ale10_f18__1,-1.164127499501543
pal__5drib_ale10_f18__2,-1.1039161051272883
pal__5drib_ale10__1,-0.9057112498320264
pal__arab_ale14_f9__1,0.0043165729240231
pal__arab_ale14_f9__2,-2.237550583176742
pal__arab_ale14__1,-0.4489505428813177
pal__arab_ale14__2,1.0460479986117344
pal__arab_ale16__1,0.5454880740925341
pal__arab_ale16__2,-0.7864574413199701
pal__tartr_ale26_f10__1,-2.693433988309406
pal__tartr_ale26_f10__2,0.5861793881737288
pal__tartr_ale26__1,-0.2246373547925217
pal__tartr_ale26__2,-0.9460584962263644
pal__tartr_ale28_f10__1,-0.9511309482735024
pal__tartr_ale28_f10__2,-1.5485847638623853
pal__tartr_ale28__1,-0.0055725714824646
pal__tartr_ale28__2,-0.3989102247813512
efeU__delmenFentC_citr__1,-1.0280564024145131
efeU__delmenFentC_citr__2,-0.0648301178902871
efeU__delmenFentC__1,-0.738879807372057
efeU__delmenFentC__2,-0.7778506542211943
efeU__menFentC_ale39__1,1.203976721672961
efeU__menFentC_ale39__2,-0.0031727938469266
efeU__menFentC_ale29__1,-0.5912103681821391
efeU__menFentC_ale29__2,-0.6931518597079568
efeU__menFentC_ale30__1,0.1971966136563998
efeU__menFentC_ale30__2,-0.8539070668308898
efeU__menFentCubiC_ale36__1,-1.9915652959508612
efeU__menFentCubiC_ale36__2,-1.1952284499618273
efeU__menFentCubiC_ale37__1,-1.4735439903714358
efeU__menFentCubiC_ale37__2,-0.8050922906908531
efeU__menFentCubiC_ale38__1,0.6795739780105314
efeU__menFentCubiC_ale38__2,-0.4187976372939365
misc2__salc_glc__1,-2.8549113977524176
misc2__salc_glc__2,-2.3306020000063543
misc2__dbcn_glc__1,-0.101346432271762
misc2__dbcn_glc__2,-1.4646957933862812
misc2__tyr_glc__1,-1.080602930202582
misc2__tyr_glc__2,-0.6188568171942238
misc2__arg_cytd__1,-0.0885113360171681
misc2__arg_cytd__2,0.8746126043225749
misc2__delyheO_pyr__1,-0.5659541625287392
misc2__delyheO_pyr__2,-1.6641905030633068
misc2__dellon_glc__1,-0.8525859373618201
misc2__dellon_glc__2,-1.1292083577673826
nquinone__delubiC__1,-0.4092300321824118
nquinone__delubiC__2,0.2964530728862798
nquinone__ubiC_ale1__1,-0.4366628455035846
nquinone__ubiC_ale1__2,-0.3301135271231486
nquinone__ubiC_ale2__1,-0.6860480470356989
nquinone__ubiC_ale2__2,-1.8816858068805928
nquinone__ubiC_ale3__1,0.0042972703705082
nquinone__ubiC_ale3__2,-1.499711046414408
nquinone__ubiC_ale4__1,-1.89332262809856
nquinone__ubiC_ale4__2,-2.417344429567526
